Population,Five-Year Age Groups,Gender,Hispanic Origin,Race,Year
93723,1-4 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
52646,1-4 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
156542,1-4 years,Female,Hispanic or Latino,Black or African American,2021
1639913,1-4 years,Female,Hispanic or Latino,White,2021
69680,1-4 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
489699,1-4 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1174387,1-4 years,Female,Not Hispanic or Latino,Black or African American,2021
3783406,1-4 years,Female,Not Hispanic or Latino,White,2021
97280,1-4 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
55027,1-4 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
163267,1-4 years,Male,Hispanic or Latino,Black or African American,2021
1700686,1-4 years,Male,Hispanic or Latino,White,2021
71930,1-4 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
521780,1-4 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1214287,1-4 years,Male,Not Hispanic or Latino,Black or African American,2021
3978593,1-4 years,Male,Not Hispanic or Latino,White,2021
97179,10-14 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
56669,10-14 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
178774,10-14 years,Female,Hispanic or Latino,Black or African American,2021
2389352,10-14 years,Female,Hispanic or Latino,White,2021
104215,10-14 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
631414,10-14 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1609290,10-14 years,Female,Not Hispanic or Latino,Black or African American,2021
5392669,10-14 years,Female,Not Hispanic or Latino,White,2021
101672,10-14 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
59331,10-14 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
187401,10-14 years,Male,Hispanic or Latino,Black or African American,2021
2499072,10-14 years,Male,Hispanic or Latino,White,2021
107222,10-14 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
662546,10-14 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1672113,10-14 years,Male,Not Hispanic or Latino,Black or African American,2021
5698866,10-14 years,Male,Not Hispanic or Latino,White,2021
90606,15-19 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
49204,15-19 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
155663,15-19 years,Female,Hispanic or Latino,Black or African American,2021
2317960,15-19 years,Female,Hispanic or Latino,White,2021
103836,15-19 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
646806,15-19 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1571301,15-19 years,Female,Not Hispanic or Latino,Black or African American,2021
5606314,15-19 years,Female,Not Hispanic or Latino,White,2021
94222,15-19 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
51477,15-19 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
164017,15-19 years,Male,Hispanic or Latino,Black or African American,2021
2417163,15-19 years,Male,Hispanic or Latino,White,2021
106714,15-19 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
655327,15-19 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1619274,15-19 years,Male,Not Hispanic or Latino,Black or African American,2021
5914782,15-19 years,Male,Not Hispanic or Latino,White,2021
82936,20-24 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
43779,20-24 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
139482,20-24 years,Female,Hispanic or Latino,Black or African American,2021
