Race	Hispanic Origin	Age_groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	Female	2000	10	1361689	0.734382079902239
Black or African American	Not Hispanic or Latino	20-24 years	Female	2001	9	1420272	0.633681435668661
Black or African American	Not Hispanic or Latino	20-24 years	Female	2002	6	1452733	0.413014642057419
Black or African American	Not Hispanic or Latino	20-24 years	Female	2003	10	1474407	0.678238776674283
Black or African American	Not Hispanic or Latino	20-24 years	Female	2004	10	1483898	0.673900766764292
Black or African American	Not Hispanic or Latino	20-24 years	Female	2005	13	1483098	0.876543559495057
Black or African American	Not Hispanic or Latino	20-24 years	Female	2006	9	1487479	0.605050558696963
Black or African American	Not Hispanic or Latino	20-24 years	Female	2007	11	1498025	0.734300161879808
Black or African American	Not Hispanic or Latino	20-24 years	Female	2008	16	1519892	1.0527063765057
Black or African American	Not Hispanic or Latino	20-24 years	Female	2009	10	1554094	0.643461721105673
Black or African American	Not Hispanic or Latino	20-24 years	Female	2010	7	1587829	0.440853517601706
Black or African American	Not Hispanic or Latino	20-24 years	Female	2011	1	1671217	0.0598366340217937
Black or African American	Not Hispanic or Latino	20-24 years	Female	2012	11	1731526	0.635277783873878
Black or African American	Not Hispanic or Latino	20-24 years	Female	2013	9	1770138	0.508434935581294
Black or African American	Not Hispanic or Latino	20-24 years	Female	2014	11	1785941	0.615921802567946
Black or African American	Not Hispanic or Latino	20-24 years	Female	2015	5	1762150	0.283744289646171
Black or African American	Not Hispanic or Latino	20-24 years	Female	2016	1	1714649	0.0583209741468954
Black or African American	Not Hispanic or Latino	20-24 years	Female	2017	7	1677678	0.41724335659167
Black or African American	Not Hispanic or Latino	20-24 years	Female	2018	5	1643358	0.304255067976667
Black or African American	Not Hispanic or Latino	20-24 years	Female	2019	1	1615209	0.061911492568454
Black or African American	Not Hispanic or Latino	20-24 years	Female	2020	8	1610597	0.496710226083868
Black or African American	Not Hispanic or Latino	20-24 years	Female	2021	13	1607120	0.808900393250037
Black or African American	Not Hispanic or Latino	20-24 years	Female	2022	10	1686424	0.592970688272937
Black or African American	Not Hispanic or Latino	20-24 years	Female	2023	11	1603843	0.685852667623951
Black or African American	Not Hispanic or Latino	20-24 years	Male	2000	13	1288774	1.00871060403143
Black or African American	Not Hispanic or Latino	20-24 years	Male	2001	16	1354373	1.18135845885882
Black or African American	Not Hispanic or Latino	20-24 years	Male	2002	13	1397013	0.930556838053762
Black or African American	Not Hispanic or Latino	20-24 years	Male	2003	21	1426855	1.47176832964807
Black or African American	Not Hispanic or Latino	20-24 years	Male	2004	11	1455519	0.755744170979561
Black or African American	Not Hispanic or Latino	20-24 years	Male	2005	21	1467280	1.43121967177362
Black or African American	Not Hispanic or Latino	20-24 years	Male	2006	19	1480574	1.2832860768864
Black or African American	Not Hispanic or Latino	20-24 years	Male	2007	23	1486497	1.54726178391211
Black or African American	Not Hispanic or Latino	20-24 years	Male	2008	21	1497956	1.40191033648518
Black or African American	Not Hispanic or Latino	20-24 years	Male	2009	22	1522604	1.44489309104665
Black or African American	Not Hispanic or Latino	20-24 years	Male	2010	15	1550237	0.967593987241951
Black or African American	Not Hispanic or Latino	20-24 years	Male	2011	25	1654175	1.51132739885441
Black or African American	Not Hispanic or Latino	20-24 years	Male	2012	15	1737366	0.863375938057957
Black or African American	Not Hispanic or Latino	20-24 years	Male	2013	15	1794159	0.836046303588478
Black or African American	Not Hispanic or Latino	20-24 years	Male	2014	23	1826372	1.25932723453929
Black or African American	Not Hispanic or Latino	20-24 years	Male	2015	12	1815640	0.660923971712454
Black or African American	Not Hispanic or Latino	20-24 years	Male	2016	19	1773358	1.07141366830612
Black or African American	Not Hispanic or Latino	20-24 years	Male	2017	28	1733291	1.61542406901092
Black or African American	Not Hispanic or Latino	20-24 years	Male	2018	21	1691428	1.24155447349813
Black or African American	Not Hispanic or Latino	20-24 years	Male	2019	18	1660340	1.0841153016852
Black or African American	Not Hispanic or Latino	20-24 years	Male	2020	18	1652385	1.08933450739386
Black or African American	Not Hispanic or Latino	20-24 years	Male	2021	23	1642560	1.40025326319891
Black or African American	Not Hispanic or Latino	20-24 years	Male	2022	20	1718441	1.16384560191476
Black or African American	Not Hispanic or Latino	20-24 years	Male	2023	22	1626325	1.35274314789479
