"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Essential (primary) hypertension"	"I10"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive renal disease with renal failure"	"I12.0"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive renal disease without renal failure"	"I12.9"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Renovascular hypertension"	"I15.0"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"Secondary hypertension, unspecified"	"I15.9"	0	7448	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Essential (primary) hypertension"	"I10"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Hypertensive renal disease with renal failure"	"I12.0"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Hypertensive renal disease without renal failure"	"I12.9"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Renovascular hypertension"	"I15.0"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"Secondary hypertension, unspecified"	"I15.9"	0	5626	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Essential (primary) hypertension"	"I10"	0	18607	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	0	18607	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	0	18607	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Hypertensive renal disease with renal failure"	"I12.0"	0	18607	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Hypertensive renal disease without renal failure"	"I12.9"	0	18607	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	0	18607	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	0	18607	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	0	18607	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	0	18607	Unreliable
