Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	30-34 years	F	487	10613254	4.58860213842051
Black or African American	Not Hispanic or Latino	30-34 years	M	586	9919714	5.90742837948755
Black or African American	Not Hispanic or Latino	35-39 years	F	695	10047903	6.91686613614801
Black or African American	Not Hispanic or Latino	35-39 years	M	950	9077463	10.4654791762853
Black or African American	Not Hispanic or Latino	40-44 years	F	1031	9642630	10.6921037102948
Black or African American	Not Hispanic or Latino	40-44 years	M	1498	8557976	17.5041388290876
Black or African American	Not Hispanic or Latino	45-49 years	F	1673	9848302	16.9877000116365
Black or African American	Not Hispanic or Latino	45-49 years	M	2343	8719974	26.8693461700689
Black or African American	Not Hispanic or Latino	50-54 years	F	2747	10074416	27.267089228795
Black or African American	Not Hispanic or Latino	50-54 years	M	3677	8859436	41.5037706689229
Black or African American	Not Hispanic or Latino	55-59 years	F	4063	9780084	41.5436104638774
Black or African American	Not Hispanic or Latino	55-59 years	M	5386	8407986	64.0581466239359
Black or African American	Not Hispanic or Latino	60-64 years	F	5355	8347902	64.1478541554513
Black or African American	Not Hispanic or Latino	60-64 years	M	6817	6828337	99.8339712875917
Black or African American	Not Hispanic or Latino	65-69 years	F	5847	6463659	90.4595988123755
Black or African American	Not Hispanic or Latino	65-69 years	M	7124	4991564	142.720798531282
Black or African American	Not Hispanic or Latino	70-74 years	F	6001	4495475	133.489786952436
Black or African American	Not Hispanic or Latino	70-74 years	M	6234	3253993	191.580006472048
Black or African American	Not Hispanic or Latino	75-79 years	F	6072	3167907	191.672293410129
Black or African American	Not Hispanic or Latino	75-79 years	M	5549	2083749	266.298868049847
Black or African American	Not Hispanic or Latino	80-84 years	F	5931	2195297	270.168455566604
Black or African American	Not Hispanic or Latino	80-84 years	M	4219	1252239	336.916515138085
White	Not Hispanic or Latino	30-34 years	F	648	43518467	1.48902303934557
White	Not Hispanic or Latino	30-34 years	M	1034	44373752	2.33020637966337
White	Not Hispanic or Latino	35-39 years	F	1118	41580520	2.68875906313822
White	Not Hispanic or Latino	35-39 years	M	1762	42151917	4.18011830873552
White	Not Hispanic or Latino	40-44 years	F	1762	41288694	4.26751207001122
White	Not Hispanic or Latino	40-44 years	M	2960	41648573	7.10708623798467
White	Not Hispanic or Latino	45-49 years	F	3247	45787793	7.09140971262799
White	Not Hispanic or Latino	45-49 years	M	5729	45806176	12.5070470846551
White	Not Hispanic or Latino	50-54 years	F	5554	51228757	10.8415669737995
White	Not Hispanic or Latino	50-54 years	M	10344	50377945	20.5327946584562
White	Not Hispanic or Latino	55-59 years	F	9138	54601071	16.7359354544529
White	Not Hispanic or Latino	55-59 years	M	16752	52712508	31.7799335216606
White	Not Hispanic or Latino	60-64 years	F	13191	51261435	25.7327950339275
White	Not Hispanic or Latino	60-64 years	M	22779	48293904	47.1674437419679
White	Not Hispanic or Latino	65-69 years	F	17243	45039876	38.2838531793471
White	Not Hispanic or Latino	65-69 years	M	27888	41449826	67.2813439554608
White	Not Hispanic or Latino	70-74 years	F	19718	35087001	56.1974504461068
White	Not Hispanic or Latino	70-74 years	M	29554	31094416	95.046004401562
White	Not Hispanic or Latino	75-79 years	F	20706	25568699	80.9818286022296
White	Not Hispanic or Latino	75-79 years	M	28009	21164051	132.342338430388
White	Not Hispanic or Latino	80-84 years	F	22984	18944368	121.323656719506
White	Not Hispanic or Latino	80-84 years	M	26777	14025993	190.909834334011
