Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	76	11969123	0.634967156741559
Black or African American	Not Hispanic or Latino	20-24 years	M	180	12294588	1.46405882002715
Black or African American	Not Hispanic or Latino	25-29 years	F	242	11831236	2.04543295391961
Black or African American	Not Hispanic or Latino	25-29 years	M	369	11677662	3.1598790922361
Black or African American	Not Hispanic or Latino	30-34 years	F	454	10613254	4.27767016600187
Black or African American	Not Hispanic or Latino	30-34 years	M	798	9919714	8.04458676933629
Black or African American	Not Hispanic or Latino	35-39 years	F	832	10047903	8.28033471262611
Black or African American	Not Hispanic or Latino	35-39 years	M	1528	9077463	16.8328970330146
Black or African American	Not Hispanic or Latino	40-44 years	F	1386	9642630	14.3736719131606
Black or African American	Not Hispanic or Latino	40-44 years	M	2437	8557976	28.4763593634757
Black or African American	Not Hispanic or Latino	45-49 years	F	2148	9848302	21.8108664823642
Black or African American	Not Hispanic or Latino	45-49 years	M	3563	8719974	40.8602135740313
Black or African American	Not Hispanic or Latino	50-54 years	F	3394	10074416	33.6892977220714
Black or African American	Not Hispanic or Latino	50-54 years	M	5215	8859436	58.8637922323724
Black or African American	Not Hispanic or Latino	55-59 years	F	4476	9780084	45.7664780793294
Black or African American	Not Hispanic or Latino	55-59 years	M	7274	8407986	86.5129889607333
Black or African American	Not Hispanic or Latino	60-64 years	F	5295	8347902	63.4291106915246
Black or African American	Not Hispanic or Latino	60-64 years	M	8107	6828337	118.72583324461
Black or African American	Not Hispanic or Latino	65-69 years	F	5014	6463659	77.5721615264667
Black or African American	Not Hispanic or Latino	65-69 years	M	7157	4991564	143.381913965242
Black or African American	Not Hispanic or Latino	70-74 years	F	4980	4495475	110.778060160495
Black or African American	Not Hispanic or Latino	70-74 years	M	5898	3253993	181.254231339772
Black or African American	Not Hispanic or Latino	75-79 years	F	5373	3167907	169.607251728034
Black or African American	Not Hispanic or Latino	75-79 years	M	5091	2083749	244.319253422557
Black or African American	Not Hispanic or Latino	80-84 years	F	6187	2195297	281.829747865551
Black or African American	Not Hispanic or Latino	80-84 years	M	4467	1252239	356.721041270876
White	Not Hispanic or Latino	20-24 years	F	88	42508943	0.207015262647203
White	Not Hispanic or Latino	20-24 years	M	189	44740216	0.422438729397283
White	Not Hispanic or Latino	25-29 years	F	165	44357865	0.371974620509801
White	Not Hispanic or Latino	25-29 years	M	391	45869026	0.852427082275521
White	Not Hispanic or Latino	30-34 years	F	374	43518467	0.85940527270871
White	Not Hispanic or Latino	30-34 years	M	916	44373752	2.06428340790294
White	Not Hispanic or Latino	35-39 years	F	733	41580520	1.76284471670869
White	Not Hispanic or Latino	35-39 years	M	1683	42151917	3.99270097253228
White	Not Hispanic or Latino	40-44 years	F	1356	41288694	3.28419203571806
White	Not Hispanic or Latino	40-44 years	M	3126	41648573	7.50565931754733
White	Not Hispanic or Latino	45-49 years	F	2568	45787793	5.60848171913418
White	Not Hispanic or Latino	45-49 years	M	5918	45806176	12.9196552010803
White	Not Hispanic or Latino	50-54 years	F	4673	51228757	9.12182975667358
White	Not Hispanic or Latino	50-54 years	M	10292	50377945	20.4295748863913
White	Not Hispanic or Latino	55-59 years	F	7197	54601071	13.1810601297546
White	Not Hispanic or Latino	55-59 years	M	15244	52712508	28.9191324381682
White	Not Hispanic or Latino	60-64 years	F	9025	51261435	17.605827850898
White	Not Hispanic or Latino	60-64 years	M	18197	48293904	37.679703840054
White	Not Hispanic or Latino	65-69 years	F	11184	45039876	24.8313294645838
White	Not Hispanic or Latino	65-69 years	M	18669	41449826	45.0399960665697
White	Not Hispanic or Latino	70-74 years	F	14011	35087001	39.9321674713664
White	Not Hispanic or Latino	70-74 years	M	18156	31094416	58.3899051199418
White	Not Hispanic or Latino	75-79 years	F	17787	25568699	69.5655261927875
White	Not Hispanic or Latino	75-79 years	M	18638	21164051	88.0644258511757
White	Not Hispanic or Latino	80-84 years	F	27246	18944368	143.821108204824
White	Not Hispanic or Latino	80-84 years	M	21808	14025993	155.48275262935
