Race	Hispanic Origin	Five-Year Age Groups	Cause of death Code	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2000	4	1361689	0.293752831960896
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2001	4	1420272	0.281636193630516
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2002	4	1452733	0.275343094704946
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2003	4	1474407	0.271295510669713
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2004	4	1483898	0.269560306705717
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2005	4	1483098	0.269705710613864
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2008	4	1519892	0.263176594126425
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2009	4	1554094	0.257384688442269
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2012	4	1731526	0.231010103226865
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2013	4	1770138	0.225971082480575
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2014	4	1785941	0.223971564570162
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2018	4	1643358	0.243404054381334
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2019	4	1615209	0.247645970273816
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2021	2	1607120	0.12444621434616
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2022	6	1686424	0.355782412963762
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2001	4	1354373	0.295339614714706
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2002	4	1397013	0.286325180939619
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2003	4	1426855	0.280336824694871
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2005	4	1467280	0.272613270814023
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2006	4	1480574	0.27016548987082
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2007	4	1486497	0.269089005897758
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2009	4	1522604	0.262707834735755
