Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	100	11050062	0.904972297892989
Black or African American	Not Hispanic or Latino	20-24 years	M	192	10929409	1.75672810853725
Black or African American	Not Hispanic or Latino	25-29 years	F	205	10158086	2.01809671625147
Black or African American	Not Hispanic or Latino	25-29 years	M	327	9335122	3.50290012278361
Black or African American	Not Hispanic or Latino	30-34 years	F	447	9566672	4.67247126273379
Black or African American	Not Hispanic or Latino	30-34 years	M	653	8570746	7.61894005492637
Black or African American	Not Hispanic or Latino	35-39 years	F	710	9701843	7.31819717140341
Black or African American	Not Hispanic or Latino	35-39 years	M	1230	8605616	14.292991925273
Black or African American	Not Hispanic or Latino	40-44 years	F	1414	10057585	14.0590410123305
Black or African American	Not Hispanic or Latino	40-44 years	M	2125	8954276	23.7316785857394
Black or African American	Not Hispanic or Latino	45-49 years	F	2323	10339811	22.4665615261246
Black or African American	Not Hispanic or Latino	45-49 years	M	3464	9185839	37.7102189576804
Black or African American	Not Hispanic or Latino	50-54 years	F	3379	9687107	34.8814150602445
Black or African American	Not Hispanic or Latino	50-54 years	M	4966	8486455	58.5167776179807
Black or African American	Not Hispanic or Latino	55-59 years	F	3557	8148890	43.6501167643691
Black or African American	Not Hispanic or Latino	55-59 years	M	5599	6885704	81.313399472298
Black or African American	Not Hispanic or Latino	60-64 years	F	3639	6151985	59.1516396740239
Black or African American	Not Hispanic or Latino	60-64 years	M	5612	4992332	112.412395649969
Black or African American	Not Hispanic or Latino	65-69 years	F	3576	4493494	79.5817241549672
Black or African American	Not Hispanic or Latino	65-69 years	M	4569	3438593	132.874114499739
Black or African American	Not Hispanic or Latino	70-74 years	F	3839	3451939	111.212857469382
Black or African American	Not Hispanic or Latino	70-74 years	M	4125	2447118	168.565635167573
Black or African American	Not Hispanic or Latino	75-79 years	F	4582	2652820	172.721858248958
Black or African American	Not Hispanic or Latino	75-79 years	M	3884	1655142	234.66264525944
Black or African American	Not Hispanic or Latino	80-84 years	F	5638	1924283	292.992246982383
Black or African American	Not Hispanic or Latino	80-84 years	M	3534	1013701	348.623509299093
White	Not Hispanic or Latino	20-24 years	F	68	43961502	0.154680793208567
White	Not Hispanic or Latino	20-24 years	M	164	45419515	0.36107827219203
White	Not Hispanic or Latino	25-29 years	F	126	42996556	0.293046726812259
White	Not Hispanic or Latino	25-29 years	M	328	43487715	0.754235995154034
White	Not Hispanic or Latino	30-34 years	F	245	40500557	0.604929951951031
White	Not Hispanic or Latino	30-34 years	M	696	41187939	1.6898150694066
White	Not Hispanic or Latino	35-39 years	F	549	43382242	1.26549476165847
White	Not Hispanic or Latino	35-39 years	M	1421	43852775	3.24038786599024
White	Not Hispanic or Latino	40-44 years	F	1224	48458553	2.52586989132754
White	Not Hispanic or Latino	40-44 years	M	2998	48599406	6.16879967627588
White	Not Hispanic or Latino	45-49 years	F	2361	54602317	4.32399233168072
White	Not Hispanic or Latino	45-49 years	M	5731	54105170	10.5923334128698
White	Not Hispanic or Latino	50-54 years	F	3579	55541764	6.44379966037809
White	Not Hispanic or Latino	50-54 years	M	8509	54413985	15.6375240666531
White	Not Hispanic or Latino	55-59 years	F	4618	51454895	8.97485069204786
White	Not Hispanic or Latino	55-59 years	M	10446	49562426	21.0764501317994
White	Not Hispanic or Latino	60-64 years	F	5783	44375263	13.0320354383026
White	Not Hispanic or Latino	60-64 years	M	11135	41990687	26.5177847649885
White	Not Hispanic or Latino	65-69 years	F	6664	34604279	19.257733992955
White	Not Hispanic or Latino	65-69 years	M	10080	31590281	31.9085480752767
White	Not Hispanic or Latino	70-74 years	F	8933	27266367	32.7619737532323
White	Not Hispanic or Latino	70-74 years	M	10083	23522947	42.8645271359919
White	Not Hispanic or Latino	75-79 years	F	14138	23422782	60.3600375053655
White	Not Hispanic or Latino	75-79 years	M	12656	18405785	68.7609900908872
White	Not Hispanic or Latino	80-84 years	F	25527	20018796	127.515161251456
White	Not Hispanic or Latino	80-84 years	M	17010	13434174	126.617386375969
