Race	Hispanic Origin	Age_groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	Female	1999	16	1331673	1.2014961630971
Black or African American	Not Hispanic or Latino	20-24 years	Female	2000	16	1361689	1.17501132784358
Black or African American	Not Hispanic or Latino	20-24 years	Female	2001	16	1420272	1.12654477452206
Black or African American	Not Hispanic or Latino	20-24 years	Female	2002	16	1452733	1.10137237881978
Black or African American	Not Hispanic or Latino	20-24 years	Female	2003	12	1474407	0.81388653200914
Black or African American	Not Hispanic or Latino	20-24 years	Female	2004	20	1483898	1.34780153352858
Black or African American	Not Hispanic or Latino	20-24 years	Female	2005	16	1483098	1.07882284245545
Black or African American	Not Hispanic or Latino	20-24 years	Female	2006	12	1487479	0.806734078262618
Black or African American	Not Hispanic or Latino	20-24 years	Female	2007	12	1498025	0.8010547220507
Black or African American	Not Hispanic or Latino	20-24 years	Female	2008	16	1519892	1.0527063765057
Black or African American	Not Hispanic or Latino	20-24 years	Female	2009	16	1554094	1.02953875376908
Black or African American	Not Hispanic or Latino	20-24 years	Female	2010	12	1587829	0.755748887317211
Black or African American	Not Hispanic or Latino	20-24 years	Female	2011	8	1671217	0.47869307217435
Black or African American	Not Hispanic or Latino	20-24 years	Female	2012	24	1731526	1.38606061936119
Black or African American	Not Hispanic or Latino	20-24 years	Female	2013	12	1770138	0.677913247441725
Black or African American	Not Hispanic or Latino	20-24 years	Female	2014	20	1785941	1.11985782285081
Black or African American	Not Hispanic or Latino	20-24 years	Female	2015	8	1762150	0.453990863433873
Black or African American	Not Hispanic or Latino	20-24 years	Female	2016	12	1714649	0.699851689762744
Black or African American	Not Hispanic or Latino	20-24 years	Female	2017	4	1677678	0.23842477519524
Black or African American	Not Hispanic or Latino	20-24 years	Female	2018	8	1643358	0.486808108762668
Black or African American	Not Hispanic or Latino	20-24 years	Female	2019	12	1615209	0.742937910821448
Black or African American	Not Hispanic or Latino	20-24 years	Female	2020	8	1610597	0.496710226083868
Black or African American	Not Hispanic or Latino	20-24 years	Female	2021	9	1607120	0.560007964557718
Black or African American	Not Hispanic or Latino	20-24 years	Female	2022	14	1686424	0.830158963582112
Black or African American	Not Hispanic or Latino	20-24 years	Male	1999	30	1262470	2.3762940901566
Black or African American	Not Hispanic or Latino	20-24 years	Male	2000	22	1288774	1.70704871451472
Black or African American	Not Hispanic or Latino	20-24 years	Male	2001	20	1354373	1.47669807357353
Black or African American	Not Hispanic or Latino	20-24 years	Male	2002	20	1397013	1.4316259046981
Black or African American	Not Hispanic or Latino	20-24 years	Male	2003	31	1426855	2.17261039138525
Black or African American	Not Hispanic or Latino	20-24 years	Male	2004	16	1455519	1.09926424869754
Black or African American	Not Hispanic or Latino	20-24 years	Male	2005	27	1467280	1.84013957799466
Black or African American	Not Hispanic or Latino	20-24 years	Male	2006	25	1480574	1.68853431169263
Black or African American	Not Hispanic or Latino	20-24 years	Male	2007	35	1486497	2.35452880160538
Black or African American	Not Hispanic or Latino	20-24 years	Male	2008	23	1497956	1.53542560662663
Black or African American	Not Hispanic or Latino	20-24 years	Male	2009	30	1522604	1.97030876051816
Black or African American	Not Hispanic or Latino	20-24 years	Male	2010	22	1550237	1.41913784795486
Black or African American	Not Hispanic or Latino	20-24 years	Male	2011	33	1654175	1.99495216648783
Black or African American	Not Hispanic or Latino	20-24 years	Male	2012	24	1737366	1.38140150089273
Black or African American	Not Hispanic or Latino	20-24 years	Male	2013	19	1794159	1.05899198454541
Black or African American	Not Hispanic or Latino	20-24 years	Male	2014	28	1826372	1.53309402465653
Black or African American	Not Hispanic or Latino	20-24 years	Male	2015	15	1815640	0.826154964640567
Black or African American	Not Hispanic or Latino	20-24 years	Male	2016	25	1773358	1.40975482671858
Black or African American	Not Hispanic or Latino	20-24 years	Male	2017	36	1733291	2.07697380301404
Black or African American	Not Hispanic or Latino	20-24 years	Male	2018	29	1691428	1.71452760625933
Black or African American	Not Hispanic or Latino	20-24 years	Male	2019	28	1660340	1.6864015803992
Black or African American	Not Hispanic or Latino	20-24 years	Male	2020	16	1652385	0.968297339905651
Black or African American	Not Hispanic or Latino	20-24 years	Male	2021	24	1642560	1.46113383985973
Black or African American	Not Hispanic or Latino	20-24 years	Male	2022	31	1718441	1.80396068296788
Black or African American	Not Hispanic or Latino	25-29 years	Female	1999	20	1358176	1.47256320241265
Black or African American	Not Hispanic or Latino	25-29 years	Female	2000	25	1345107	1.85858820153341
Black or African American	Not Hispanic or Latino	25-29 years	Female	2001	24	1304639	1.83958934233914
Black or African American	Not Hispanic or Latino	25-29 years	Female	2002	16	1293736	1.23672835879963
Black or African American	Not Hispanic or Latino	25-29 years	Female	2003	34	1295263	2.62494952762489
Black or African American	Not Hispanic or Latino	25-29 years	Female	2004	40	1324683	3.01959034727554
Black or African American	Not Hispanic or Latino	25-29 years	Female	2005	42	1363164	3.08106728170638
Black or African American	Not Hispanic or Latino	25-29 years	Female	2006	28	1406128	1.99128386604918
Black or African American	Not Hispanic or Latino	25-29 years	Female	2007	21	1434645	1.46377675313405
Black or African American	Not Hispanic or Latino	25-29 years	Female	2008	32	1454865	2.19951679365439
Black or African American	Not Hispanic or Latino	25-29 years	Female	2009	33	1459525	2.26100957503297
Black or African American	Not Hispanic or Latino	25-29 years	Female	2010	24	1454543	1.6500027843797
Black or African American	Not Hispanic or Latino	25-29 years	Female	2011	36	1465672	2.45621121233127
Black or African American	Not Hispanic or Latino	25-29 years	Female	2012	31	1482708	2.0907690523016
Black or African American	Not Hispanic or Latino	25-29 years	Female	2013	33	1510526	2.18466944627236
Black or African American	Not Hispanic or Latino	25-29 years	Female	2014	29	1571068	1.84587809057278
Black or African American	Not Hispanic or Latino	25-29 years	Female	2015	36	1639497	2.19579541774093
Black or African American	Not Hispanic or Latino	25-29 years	Female	2016	29	1707945	1.69794694794036
Black or African American	Not Hispanic or Latino	25-29 years	Female	2017	35	1773228	1.9738014513644
Black or African American	Not Hispanic or Latino	25-29 years	Female	2018	44	1811064	2.42951104985798
Black or African American	Not Hispanic or Latino	25-29 years	Female	2019	36	1817908	1.98029823291388
Black or African American	Not Hispanic or Latino	25-29 years	Female	2020	44	1789798	2.45837798455468
Black or African American	Not Hispanic or Latino	25-29 years	Female	2021	28	1717789	1.63000228782464
Black or African American	Not Hispanic or Latino	25-29 years	Female	2022	39	1673395	2.33059140250807
Black or African American	Not Hispanic or Latino	25-29 years	Male	1999	33	1227359	2.68869988324524
Black or African American	Not Hispanic or Latino	25-29 years	Male	2000	39	1217250	3.20394331484905
Black or African American	Not Hispanic or Latino	25-29 years	Male	2001	27	1176367	2.29520209254425
Black or African American	Not Hispanic or Latino	25-29 years	Male	2002	46	1161423	3.96065860586539
Black or African American	Not Hispanic or Latino	25-29 years	Male	2003	38	1156545	3.28564820218841
Black or African American	Not Hispanic or Latino	25-29 years	Male	2004	47	1184157	3.96906829077563
Black or African American	Not Hispanic or Latino	25-29 years	Male	2005	37	1219297	3.03453547412976
Black or African American	Not Hispanic or Latino	25-29 years	Male	2006	49	1261035	3.88569706629871
Black or African American	Not Hispanic or Latino	25-29 years	Male	2007	45	1295064	3.47473175070885
Black or African American	Not Hispanic or Latino	25-29 years	Male	2008	52	1326472	3.92017321134558
Black or African American	Not Hispanic or Latino	25-29 years	Male	2009	39	1341280	2.9076702851008
Black or African American	Not Hispanic or Latino	25-29 years	Male	2010	49	1342341	3.65033922080902
Black or African American	Not Hispanic or Latino	25-29 years	Male	2011	40	1368360	2.92320734309685
Black or African American	Not Hispanic or Latino	25-29 years	Male	2012	53	1400570	3.78417358646837
Black or African American	Not Hispanic or Latino	25-29 years	Male	2013	48	1442576	3.32738101840042
Black or African American	Not Hispanic or Latino	25-29 years	Male	2014	44	1517010	2.90044231745341
Black or African American	Not Hispanic or Latino	25-29 years	Male	2015	50	1599040	3.1268761256754
Black or African American	Not Hispanic or Latino	25-29 years	Male	2016	45	1683093	2.67364904969601
Black or African American	Not Hispanic or Latino	25-29 years	Male	2017	48	1765639	2.71856251476094
Black or African American	Not Hispanic or Latino	25-29 years	Male	2018	69	1824430	3.78200314618812
Black or African American	Not Hispanic or Latino	25-29 years	Male	2019	65	1845874	3.52136711389835
Black or African American	Not Hispanic or Latino	25-29 years	Male	2020	65	1830579	3.5507891219117
Black or African American	Not Hispanic or Latino	25-29 years	Male	2021	64	1736416	3.68575272284982
Black or African American	Not Hispanic or Latino	25-29 years	Male	2022	71	1704656	4.16506321510029
Black or African American	Not Hispanic or Latino	30-34 years	Female	1999	50	1393840	3.58721230557309
Black or African American	Not Hispanic or Latino	30-34 years	Female	2000	53	1384892	3.82701322558005
Black or African American	Not Hispanic or Latino	30-34 years	Female	2001	62	1388476	4.46532745254509
Black or African American	Not Hispanic or Latino	30-34 years	Female	2002	60	1393457	4.30583792682515
Black or African American	Not Hispanic or Latino	30-34 years	Female	2003	60	1388044	4.32262954200299
