Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	55 years	55	787	3820298	20.6004871871252
Black or African American	Female	F	60 years	60	930	3076150	30.2325959397299
Black or African American	Female	F	65 years	65	1291	2608482	49.492386759809
Black or African American	Female	F	70 years	70	1977	2206026	89.6181640651561
Black or African American	Female	F	75 years	75	2726	1765455	154.407787227655
Black or African American	Female	F	80 years	80	3293	1190665	276.568136293584
Black or African American	Female	F	85 years	85	8660	1132660	764.571892712729
Black or African American	Male	M	55 years	55	834	3150402	26.47281204113
Black or African American	Male	M	60 years	60	1001	2429662	41.1991462186921
Black or African American	Male	M	65 years	65	1295	1943194	66.6428570693405
Black or African American	Male	M	70 years	70	1615	1481345	109.022543701839
Black or African American	Male	M	75 years	75	1890	1060895	178.151466450497
Black or African American	Male	M	80 years	80	1901	603772	314.853951491623
Black or African American	Male	M	85 years	85	3125	414834	753.313373542188
White	Female	F	55 years	55	1431	28677233	4.99002117812412
White	Female	F	60 years	60	2518	23107569	10.8968624090228
White	Female	F	65 years	65	4427	20474320	21.6222077216728
White	Female	F	70 years	70	8739	20050407	43.5851501667772
White	Female	F	75 years	75	17403	18436539	94.3940725534223
White	Female	F	80 years	80	30577	13880472	220.287897990789
White	Female	F	85 years	85	113589	13300212	854.039018325422
White	Male	M	55 years	55	2249	27506719	8.1761841534063
White	Male	M	60 years	60	3409	21476748	15.8729803972184
White	Male	M	65 years	65	5492	18112629	30.3213851506592
White	Male	M	70 years	70	9921	16318138	60.7973777400338
White	Male	M	75 years	75	15900	13150237	120.910368383475
White	Male	M	80 years	80	21526	8383495	256.766420210187
White	Male	M	85 years	85	43308	5478295	790.537931966059
