Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black or African American	Female	F	55 years	55	2019	2019	381	1428980	26.6623745608756
Black or African American	Female	F	55 years	55	2020	2020	362	1421662	25.463155095937
Black or African American	Female	F	55 years	55	2021	2021	332	1392255	23.8462063343281
Black or African American	Female	F	55 years	55	2022	2022	363	1417444	25.6094773409038
Black or African American	Female	F	60 years	60	2019	2019	480	1301964	36.8673788215342
Black or African American	Female	F	60 years	60	2020	2020	543	1329313	40.848167436864
Black or African American	Female	F	60 years	60	2021	2021	580	1321124	43.9020107120906
Black or African American	Female	F	60 years	60	2022	2022	565	1343676	42.0488272470447
Black or African American	Female	F	65 years	65	2019	2019	589	1042963	56.4737195854503
Black or African American	Female	F	65 years	65	2020	2020	738	1077483	68.4929599817352
Black or African American	Female	F	65 years	65	2021	2021	716	1088159	65.7992076525581
Black or African American	Female	F	65 years	65	2022	2022	684	1106126	61.8374398576654
Black or African American	Female	F	70 years	70	2019	2019	643	756006	85.0522350351717
Black or African American	Female	F	70 years	70	2020	2020	799	806836	99.028798913286
Black or African American	Female	F	70 years	70	2021	2021	811	836516	96.9497295927394
Black or African American	Female	F	70 years	70	2022	2022	802	849725	94.3834770072671
Black or African American	Female	F	75 years	75	2019	2019	810	508214	159.381677797148
Black or African American	Female	F	75 years	75	2020	2020	849	526453	161.267957443494
Black or African American	Female	F	75 years	75	2021	2021	878	512535	171.305374267123
Black or African American	Female	F	75 years	75	2022	2022	895	520724	171.876080226761
Black or African American	Female	F	80 years	80	2019	2019	987	341870	288.706233363559
Black or African American	Female	F	80 years	80	2020	2020	1046	351927	297.220730435573
Black or African American	Female	F	80 years	80	2021	2021	1023	337044	303.521201979564
Black or African American	Female	F	80 years	80	2022	2022	1043	342317	304.688344429286
Black or African American	Female	F	85 years	85	2019	2019	2832	360819	784.881062250048
Black or African American	Female	F	85 years	85	2020	2020	2952	369171	799.629440015603
Black or African American	Female	F	85 years	85	2021	2021	2804	333725	840.212750018728
Black or African American	Female	F	85 years	85	2022	2022	2968	339046	875.397438695634
Black or African American	Male	M	55 years	55	2019	2019	513	1228490	41.7585816734365
Black or African American	Male	M	55 years	55	2020	2020	564	1221168	46.1852914586691
Black or African American	Male	M	55 years	55	2021	2021	553	1225274	45.1327621413659
Black or African American	Male	M	55 years	55	2022	2022	586	1245216	47.0601084470485
Black or African American	Male	M	60 years	60	2019	2019	750	1076824	69.6492648752257
Black or African American	Male	M	60 years	60	2020	2020	840	1102596	76.1838424953473
Black or African American	Male	M	60 years	60	2021	2021	846	1127301	75.0465048820147
Black or African American	Male	M	60 years	60	2022	2022	794	1145245	69.3301433317762
Black or African American	Male	M	65 years	65	2019	2019	794	800482	99.1902378816763
Black or African American	Male	M	65 years	65	2020	2020	942	827816	113.793403364999
Black or African American	Male	M	65 years	65	2021	2021	894	860401	103.905039626872
Black or African American	Male	M	65 years	65	2022	2022	995	874149	113.8249886461
Black or African American	Male	M	70 years	70	2019	2019	795	550140	144.508670520231
Black or African American	Male	M	70 years	70	2020	2020	964	586258	164.432724158988
Black or African American	Male	M	70 years	70	2021	2021	867	614962	140.984320982435
Black or African American	Male	M	70 years	70	2022	2022	964	624990	154.242467879486
Black or African American	Male	M	75 years	75	2019	2019	721	336433	214.307157740174
Black or African American	Male	M	75 years	75	2020	2020	842	349269	241.074930784009
Black or African American	Male	M	75 years	75	2021	2021	811	344967	235.094951111266
Black or African American	Male	M	75 years	75	2022	2022	897	350908	255.622556339553
Black or African American	Male	M	80 years	80	2019	2019	745	201218	370.24520669125
Black or African American	Male	M	80 years	80	2020	2020	720	207884	346.347001212214
Black or African American	Male	M	80 years	80	2021	2021	742	200559	369.965945183213
Black or African American	Male	M	80 years	80	2022	2022	747	204065	366.059833876461
Black or African American	Male	M	85 years	85	2019	2019	1281	158499	808.20699184222
Black or African American	Male	M	85 years	85	2020	2020	1368	163597	836.201152832876
Black or African American	Male	M	85 years	85	2021	2021	1291	148429	869.776121916876
Black or African American	Male	M	85 years	85	2022	2022	1337	151225	884.113076541577
White	Female	F	55 years	55	2019	2019	526	7625376	6.89802050416924
White	Female	F	55 years	55	2020	2020	540	7450226	7.24810227233375
White	Female	F	55 years	55	2021	2021	598	7172732	8.33713012001564
White	Female	F	55 years	55	2022	2022	612	7236952	8.45659885542974
White	Female	F	60 years	60	2019	2019	991	7581734	13.0708885328871
White	Female	F	60 years	60	2020	2020	1021	7604662	13.4259747507516
White	Female	F	60 years	60	2021	2021	1094	7556418	14.4777591710781
