Cause of death Code	Race	Gender	Gender Code	Five-Year Ages	Five-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
I110	Black or African American	Female	F	55-59 years	55-59	1999	1999	50	703574	7.10657301150981
I500	Black or African American	Female	F	55-59 years	55-59	1999	1999	87	703574	12.3654370400271
I132	Black or African American	Female	F	55-59 years	55-59	1999	1999	19	703574	2.70049774437373
I509	Black or African American	Female	F	55-59 years	55-59	1999	1999	14	703574	1.98984044322275
I110	Black or African American	Female	F	55-59 years	55-59	2000	2000	38	721707	5.26529464173134
I132	Black or African American	Female	F	55-59 years	55-59	2000	2000	11	721707	1.52416423839591
I509	Black or African American	Female	F	55-59 years	55-59	2000	2000	10	721707	1.38560385308719
I500	Black or African American	Female	F	55-59 years	55-59	2000	2000	89	721707	12.331874292476
I110	Black or African American	Female	F	55-59 years	55-59	2001	2001	35	749059	4.67252913321915
I132	Black or African American	Female	F	55-59 years	55-59	2001	2001	14	749059	1.86901165328766
I509	Black or African American	Female	F	55-59 years	55-59	2001	2001	11	749059	1.46850915615459
I500	Black or African American	Female	F	55-59 years	55-59	2001	2001	90	749059	12.0150749139921
I110	Black or African American	Female	F	55-59 years	55-59	2002	2002	46	799225	5.75557571397291
I501	Black or African American	Female	F	55-59 years	55-59	2002	2002	1	799225	0.125121211173324
I132	Black or African American	Female	F	55-59 years	55-59	2002	2002	12	799225	1.50145453407989
I500	Black or African American	Female	F	55-59 years	55-59	2002	2002	81	799225	10.1348181050393
I509	Black or African American	Female	F	55-59 years	55-59	2002	2002	14	799225	1.75169695642654
I110	Black or African American	Female	F	55-59 years	55-59	2003	2003	50	846733	5.90504917134445
I132	Black or African American	Female	F	55-59 years	55-59	2003	2003	14	846733	1.65341376797645
I500	Black or African American	Female	F	55-59 years	55-59	2003	2003	85	846733	10.0385835912856
I501	Black or African American	Female	F	55-59 years	55-59	2003	2003	1	846733	0.118100983426889
I509	Black or African American	Female	F	55-59 years	55-59	2003	2003	15	846733	1.77151475140333
I110	Black or African American	Female	F	55-59 years	55-59	2004	2004	32	906422	3.5303644439345
I132	Black or African American	Female	F	55-59 years	55-59	2004	2004	10	906422	1.10323888872953
I509	Black or African American	Female	F	55-59 years	55-59	2004	2004	18	906422	1.98582999971316
I500	Black or African American	Female	F	55-59 years	55-59	2004	2004	96	906422	10.5910933318035
I110	Black or African American	Female	F	55-59 years	55-59	2005	2005	43	976118	4.40520510839878
I500	Black or African American	Female	F	55-59 years	55-59	2005	2005	99	976118	10.14221641236
I132	Black or African American	Female	F	55-59 years	55-59	2005	2005	8	976118	0.819573043423029
I509	Black or African American	Female	F	55-59 years	55-59	2005	2005	18	976118	1.84403934770181
I110	Black or African American	Female	F	55-59 years	55-59	2006	2006	54	1046312	5.16098448646293
I132	Black or African American	Female	F	55-59 years	55-59	2006	2006	8	1046312	0.764590294290804
I509	Black or African American	Female	F	55-59 years	55-59	2006	2006	25	1046312	2.38934466965876
I500	Black or African American	Female	F	55-59 years	55-59	2006	2006	126	1046312	12.0422971350802
I110	Black or African American	Female	F	55-59 years	55-59	2007	2007	61	1085461	5.61973207697006
I500	Black or African American	Female	F	55-59 years	55-59	2007	2007	111	1085461	10.2260698449783
I132	Black or African American	Female	F	55-59 years	55-59	2007	2007	10	1085461	0.921267553601649
I509	Black or African American	Female	F	55-59 years	55-59	2007	2007	16	1085461	1.47402808576264
I110	Black or African American	Female	F	55-59 years	55-59	2008	2008	56	1123799	4.98309751120974
I132	Black or African American	Female	F	55-59 years	55-59	2008	2008	13	1123799	1.15679049367369
I509	Black or African American	Female	F	55-59 years	55-59	2008	2008	18	1123799	1.60170991431742
I500	Black or African American	Female	F	55-59 years	55-59	2008	2008	110	1123799	9.788227254162
I110	Black or African American	Female	F	55-59 years	55-59	2009	2009	48	1164471	4.12204339996445
I132	Black or African American	Female	F	55-59 years	55-59	2009	2009	10	1164471	0.85875904165926
I500	Black or African American	Female	F	55-59 years	55-59	2009	2009	115	1164471	9.87572897908149
I509	Black or African American	Female	F	55-59 years	55-59	2009	2009	21	1164471	1.80339398748445
I110	Black or African American	Female	F	55-59 years	55-59	2010	2010	52	1194067	4.35486450927795
I132	Black or African American	Female	F	55-59 years	55-59	2010	2010	15	1194067	1.25621091613787
I509	Black or African American	Female	F	55-59 years	55-59	2010	2010	22	1194067	1.84244267700221
I500	Black or African American	Female	F	55-59 years	55-59	2010	2010	104	1194067	8.70972901855591
I110	Black or African American	Female	F	55-59 years	55-59	2011	2011	48	1242711	3.86252314496291
