Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
Black or African American	Female	F	1999	1999	3903	3028957	128.856236651758	124.813622993132	132.898850310384	2.0625579890949	131.011800407985	126.901560131436	135.122040684533	2.09706136558589
White	Female	F	1999	1999	35180	26973470	130.424450395148	129.061540423328	131.787360366967	0.69536223052002	104.948818494338	103.852123888202	106.045513100474	0.559538064354984
Black or African American	Male	M	1999	1999	2303	2102592	109.531473533619	105.057967446014	114.004979621225	2.28240106510475	145.123950060947	139.196769013248	151.051131108646	3.02407196311156
White	Male	M	1999	1999	19683	21290404	92.4501009938562	91.1585313918438	93.7416705958686	0.658964082659395	112.150163832496	110.583375468723	113.716952196268	0.79938181825126
Black or African American	Female	F	2000	2000	3862	3072397	125.69990141248	121.735433805065	129.664369019895	2.02268755480354	127.460185548908	123.440200082208	131.480171015607	2.05101299321408
White	Female	F	2000	2000	35455	27128951	130.690641153062	129.330256214338	132.051026091785	0.694073948328336	104.652676443939	103.563325870896	105.742027016982	0.5557911086954
Black or African American	Male	M	2000	2000	2271	2138162	106.212719148502	101.844302721199	110.581135575806	2.22878389148135	141.792788524041	135.961001600334	147.624575447748	2.97540149168717
White	Male	M	2000	2000	20051	21492946	93.2910732665499	91.9997703191501	94.5823762139496	0.658828034387621	112.769320460331	111.208406315088	114.330234605575	0.796384767981301
Black or African American	Female	F	2001	2001	3911	3142503	124.45493289903	120.554397008632	128.355468789428	1.99006933183575	127.687344696522	123.685501948011	131.689187445033	2.04175650434238
White	Female	F	2001	2001	36264	27371961	132.485940630998	131.122337430623	133.849543831373	0.695715918558711	105.850728001115	104.761266049327	106.940189952903	0.55584793458585
Black or African American	Male	M	2001	2001	2350	2200887	106.775132026315	102.458030548349	111.092233504281	2.20260279488058	144.743451858757	138.891226175802	150.595677541712	2.98582943007918
White	Male	M	2001	2001	20452	21875975	93.49069012924	92.2093732567963	94.7720070016836	0.653733098185558	112.233664799452	110.695470053377	113.771859545527	0.784793237793396
Black or African American	Female	F	2002	2002	3941	3229900	122.016161491068	118.206641891475	125.82568109066	1.94363244877173	127.827929892226	123.836958545898	131.818901238554	2.03620987057551
White	Female	F	2002	2002	35599	27976759	127.244903528675	125.923067549209	128.566739508141	0.674406111972521	103.057222987406	101.986651659904	104.127794314909	0.546209860970653
Black or African American	Male	M	2002	2002	2344	2278683	102.866436445965	98.7020505903903	107.030822301539	2.12468666100729	141.667297866303	135.932120175553	147.402475557053	2.92611106670925
