Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black or African American	Female	F	55 years	55	1999	1999	170	703574	24.1623482391333
Black or African American	Female	F	55 years	55	2000	2000	148	721707	20.5069370256905
Black or African American	Female	F	55 years	55	2001	2001	150	749059	20.0251248566535
Black or African American	Female	F	55 years	55	2002	2002	154	799225	19.2686665206919
Black or African American	Female	F	55 years	55	2003	2003	165	846733	19.4866622654367
Black or African American	Female	F	60 years	60	1999	1999	170	585855	29.0174189859266
Black or African American	Female	F	60 years	60	2000	2000	169	596149	28.3486175436007
Black or African American	Female	F	60 years	60	2001	2001	216	610941	35.3552961742623
Black or African American	Female	F	60 years	60	2002	2002	174	629297	27.6499013979091
Black or African American	Female	F	60 years	60	2003	2003	201	653908	30.7382689919683
Black or African American	Female	F	65 years	65	1999	1999	250	507961	49.2163768478289
Black or African American	Female	F	65 years	65	2000	2000	261	508629	51.3144158119179
Black or African American	Female	F	65 years	65	2001	2001	260	522334	49.7765797363373
Black or African American	Female	F	65 years	65	2002	2002	250	530031	47.1670524931561
Black or African American	Female	F	65 years	65	2003	2003	270	539527	50.0438346922397
Black or African American	Female	F	70 years	70	1999	1999	417	435255	95.8059068821725
Black or African American	Female	F	70 years	70	2000	2000	415	440786	94.1499956895183
Black or African American	Female	F	70 years	70	2001	2001	386	440752	87.5775946564054
Black or African American	Female	F	70 years	70	2002	2002	383	442356	86.5818481042418
Black or African American	Female	F	70 years	70	2003	2003	376	446877	84.1394835715421
Black or African American	Female	F	75 years	75	1999	1999	588	343390	171.233874020793
Black or African American	Female	F	75 years	75	2000	2000	539	344364	156.520426060796
Black or African American	Female	F	75 years	75	2001	2001	523	354673	147.459772804809
Black or African American	Female	F	75 years	75	2002	2002	525	359611	145.991084811088
Black or African American	Female	F	75 years	75	2003	2003	551	363417	151.616462631082
Black or African American	Female	F	80 years	80	1999	1999	666	227780	292.387391342523
Black or African American	Female	F	80 years	80	2000	2000	625	231454	270.03205820595
Black or African American	Female	F	80 years	80	2001	2001	626	237908	263.126923012257
Black or African American	Female	F	80 years	80	2002	2002	696	243879	285.387425731613
Black or African American	Female	F	80 years	80	2003	2003	680	249644	272.387880341606
Black or African American	Female	F	85 years	85	1999	1999	1642	225142	729.31749740164
Black or African American	Female	F	85 years	85	2000	2000	1705	229308	743.541437716957
Black or African American	Female	F	85 years	85	2001	2001	1750	226836	771.48248073498
Black or African American	Female	F	85 years	85	2002	2002	1759	225501	780.040886736644
Black or African American	Female	F	85 years	85	2003	2003	1804	225873	798.678903631687
Black or African American	Male	M	55 years	55	1999	1999	151	573942	26.3092786379111
Black or African American	Male	M	55 years	55	2000	2000	133	590653	22.517451024544
Black or African American	Male	M	55 years	55	2001	2001	165	616383	26.7690705292002
Black or African American	Male	M	55 years	55	2002	2002	170	662769	25.6499625057901
Black or African American	Male	M	55 years	55	2003	2003	215	706655	30.4250306019203
Black or African American	Male	M	60 years	60	1999	1999	179	459389	38.9647988959248
Black or African American	Male	M	60 years	60	2000	2000	202	470342	42.9474722648626
Black or African American	Male	M	60 years	60	2001	2001	176	483638	36.3908543166583
Black or African American	Male	M	60 years	60	2002	2002	214	497980	42.9736133981284
Black or African American	Male	M	60 years	60	2003	2003	230	518313	44.3747310987762
Black or African American	Male	M	65 years	65	1999	1999	263	376469	69.8596697204816
Black or African American	Male	M	65 years	65	2000	2000	238	375235	63.4269191306781
Black or African American	Male	M	65 years	65	2001	2001	261	388334	67.2101850468926
Black or African American	Male	M	65 years	65	2002	2002	256	396851	64.5078379542952
Black or African American	Male	M	65 years	65	2003	2003	277	406305	68.1753854862726
Black or African American	Male	M	70 years	70	1999	1999	327	288848	113.208331025314
Black or African American	Male	M	70 years	70	2000	2000	330	292654	112.761144559787
Black or African American	Male	M	70 years	70	2001	2001	333	295838	112.561604662011
Black or African American	Male	M	70 years	70	2002	2002	322	299173	107.630033458902
Black or African American	Male	M	70 years	70	2003	2003	303	304832	99.3990132269578
Black or African American	Male	M	75 years	75	1999	1999	400	206886	193.343193836219
Black or African American	Male	M	75 years	75	2000	2000	353	207597	170.040992885254
Black or African American	Male	M	75 years	75	2001	2001	396	213265	185.684477059058
Black or African American	Male	M	75 years	75	2002	2002	389	215637	180.395757685369
Black or African American	Male	M	75 years	75	2003	2003	352	217510	161.831639924601
Black or African American	Male	M	80 years	80	1999	1999	349	112918	309.073841194495
Black or African American	Male	M	80 years	80	2000	2000	383	116516	328.710220055615
Black or African American	Male	M	80 years	80	2001	2001	401	120694	332.24518203059
Black or African American	Male	M	80 years	80	2002	2002	394	124874	315.518042186524
Black or African American	Male	M	80 years	80	2003	2003	374	128770	290.440319950299
Black or African American	Male	M	85 years	85	1999	1999	634	84140	753.506061326361
Black or African American	Male	M	85 years	85	2000	2000	632	85165	742.088886279575
Black or African American	Male	M	85 years	85	2001	2001	618	82735	746.963195745452
Black or African American	Male	M	85 years	85	2002	2002	599	81399	735.881276182754
Black or African American	Male	M	85 years	85	2003	2003	642	81395	788.746237483875
White	Female	F	55 years	55	1999	1999	264	5304072	4.97730800034389
White	Female	F	55 years	55	2000	2000	260	5440411	4.77905070039745
White	Female	F	55 years	55	2001	2001	297	5594924	5.30838309868016
White	Female	F	55 years	55	2002	2002	292	6061053	4.81764472278992
White	Female	F	55 years	55	2003	2003	318	6276773	5.06629760228703
White	Female	F	60 years	60	1999	1999	455	4417711	10.2994514580062
White	Female	F	60 years	60	2000	2000	506	4438847	11.3993566347297
White	Female	F	60 years	60	2001	2001	529	4553355	11.6178070894977
White	Female	F	60 years	60	2002	2002	522	4718079	11.0638249168782
White	Female	F	60 years	60	2003	2003	506	4979577	10.1615056861255
White	Female	F	65 years	65	1999	1999	897	4128908	21.7248725328828
White	Female	F	65 years	65	2000	2000	903	4101812	22.0146608376981
White	Female	F	65 years	65	2001	2001	904	4063803	22.245172809804
White	Female	F	65 years	65	2002	2002	863	4062380	21.2437044294231
White	Female	F	65 years	65	2003	2003	860	4117417	20.886881265609
White	Female	F	70 years	70	1999	1999	1822	4138627	44.0242621526414
White	Female	F	70 years	70	2000	2000	1789	4086093	43.7826549713871
White	Female	F	70 years	70	2001	2001	1737	4017544	43.2353696686334
White	Female	F	70 years	70	2002	2002	1762	3943356	44.6827524575514
White	Female	F	70 years	70	2003	2003	1629	3864787	42.1498002347865
White	Female	F	75 years	75	1999	1999	3591	3703159	96.9712615634381
White	Female	F	75 years	75	2000	2000	3573	3725948	95.8950581167531
White	Female	F	75 years	75	2001	2001	3530	3698950	95.4324875978318
White	Female	F	75 years	75	2002	2002	3313	3667267	90.3397543729431
White	Female	F	75 years	75	2003	2003	3396	3641215	93.2655720686639
White	Female	F	80 years	80	1999	1999	6082	2686103	226.424675449899
White	Female	F	80 years	80	2000	2000	5893	2702744	218.037668384427
White	Female	F	80 years	80	2001	2001	6184	2779168	222.512636875497
White	Female	F	80 years	80	2002	2002	6094	2840836	214.5143190244
White	Female	F	80 years	80	2003	2003	6324	2871621	220.224047672029
White	Female	F	85 years	85	1999	1999	22069	2594890	850.479211064824
White	Female	F	85 years	85	2000	2000	22531	2633096	855.684714875569
White	Female	F	85 years	85	2001	2001	23083	2664217	866.408404420511
White	Female	F	85 years	85	2002	2002	22753	2683788	847.794237100695
White	Female	F	85 years	85	2003	2003	23153	2724221	849.894336766364
White	Male	M	55 years	55	1999	1999	423	5063782	8.35344017574216
White	Male	M	55 years	55	2000	2000	421	5197809	8.09956656737483
White	Male	M	55 years	55	2001	2001	479	5364115	8.92971161132824
White	Male	M	55 years	55	2002	2002	432	5830597	7.40918983081835
White	Male	M	55 years	55	2003	2003	494	6050416	8.16472784681252
White	Male	M	60 years	60	1999	1999	631	4089994	15.4278954932452
White	Male	M	60 years	60	2000	2000	667	4113867	16.2134556124444
White	Male	M	60 years	60	2001	2001	695	4231056	16.4261593323274
White	Male	M	60 years	60	2002	2002	709	4393249	16.1383978008076
White	Male	M	60 years	60	2003	2003	707	4648582	15.208938983974
White	Male	M	65 years	65	1999	1999	1109	3619643	30.6383806358804
White	Male	M	65 years	65	2000	2000	1115	3605311	30.9265969010718
White	Male	M	65 years	65	2001	2001	1074	3595859	29.8676894728075
White	Male	M	65 years	65	2002	2002	1053	3612434	29.1493214824132
White	Male	M	65 years	65	2003	2003	1141	3679382	31.0106425481236
White	Male	M	70 years	70	1999	1999	2157	3298619	65.3910015069943
White	Male	M	70 years	70	2000	2000	2031	3288915	61.7528881105167
White	Male	M	70 years	70	2001	2001	1988	3278268	60.6417779144353
White	Male	M	70 years	70	2002	2002	1874	3245790	57.7363292141513
White	Male	M	70 years	70	2003	2003	1871	3206546	58.3493890310633
White	Male	M	75 years	75	1999	1999	3201	2598738	123.175171948846
White	Male	M	75 years	75	2000	2000	3202	2619131	122.254289686159
White	Male	M	75 years	75	2001	2001	3237	2630912	123.037182543544
White	Male	M	75 years	75	2002	2002	3089	2642321	116.904796956918
White	Male	M	75 years	75	2003	2003	3171	2659135	119.249304755118
White	Male	M	80 years	80	1999	1999	4095	1584789	258.394019645518
White	Male	M	80 years	80	2000	2000	4231	1606270	263.405280556818
White	Male	M	80 years	80	2001	2001	4376	1681282	260.277573898965
White	Male	M	80 years	80	2002	2002	4393	1737354	252.855779536007
White	Male	M	80 years	80	2003	2003	4431	1773800	249.802683504341
White	Male	M	85 years	85	1999	1999	8067	1034839	779.541551874253
White	Male	M	85 years	85	2000	2000	8384	1061643	789.719331262958
White	Male	M	85 years	85	2001	2001	8603	1094483	786.033222992043
White	Male	M	85 years	85	2002	2002	8869	1122659	789.999456647121
White	Male	M	85 years	85	2003	2003	9385	1164671	805.806961794361
