Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	55 years	55	1438	5660341	25.4048298503571
Black or African American	Female	F	60 years	60	2168	5296077	40.9359607120516
Black or African American	Female	F	65 years	65	2727	4314731	63.2020860628391
Black or African American	Female	F	70 years	70	3055	3249083	94.0265299470651
Black or African American	Female	F	75 years	75	3432	2067926	165.963385537007
Black or African American	Female	F	80 years	80	4099	1373158	298.508984399465
Black or African American	Female	F	85 years	85	11556	1402761	823.803912426992
Black or African American	Male	M	55 years	55	2216	4920148	45.0392955659057
Black or African American	Male	M	60 years	60	3230	4451966	72.5522162568178
Black or African American	Male	M	65 years	65	3625	3362848	107.79553521301
Black or African American	Male	M	70 years	70	3590	2376350	151.072022218949
Black or African American	Male	M	75 years	75	3271	1381577	236.758428954738
Black or African American	Male	M	80 years	80	2954	813726	363.021459311857
Black or African American	Male	M	85 years	85	5277	621750	848.733413751508
White	Female	F	55 years	55	2276	29485286	7.71910436954893
White	Female	F	60 years	60	4206	30359446	13.8540077444101
White	Female	F	65 years	65	6917	27549841	25.1072229418674
White	Female	F	70 years	70	12022	23775133	50.5654374257339
White	Female	F	75 years	75	18323	16547260	110.731323494041
White	Female	F	80 years	80	27800	11099730	250.456542636623
White	Female	F	85 years	85	135883	12483666	1088.48634687919
White	Male	M	55 years	55	4346	28852047	15.0630560112425
White	Male	M	60 years	60	7560	29049580	26.024472642978
White	Male	M	65 years	65	10820	25457118	42.5028473372359
White	Male	M	70 years	70	16020	21328476	75.1108518020697
White	Male	M	75 years	75	21203	13975529	151.71518731062
White	Male	M	80 years	80	27446	8501686	322.830083350526
White	Male	M	85 years	85	81383	7237749	1124.4241821594
