Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black or African American	Female	F	55 years	55	1999	1999	170	703574	24.1623482391333
Black or African American	Female	F	55 years	55	2000	2000	148	721707	20.5069370256905
Black or African American	Female	F	55 years	55	2001	2001	150	749059	20.0251248566535
Black or African American	Female	F	55 years	55	2002	2002	154	799225	19.2686665206919
Black or African American	Female	F	55 years	55	2003	2003	165	846733	19.4866622654367
Black or African American	Female	F	55 years	55	2004	2004	156	906422	17.2105266641807
Black or African American	Female	F	55 years	55	2005	2005	168	976118	17.2110339118836
Black or African American	Female	F	55 years	55	2006	2006	213	1046312	20.3572165854927
Black or African American	Female	F	55 years	55	2007	2007	198	1085461	18.2410975613127
Black or African American	Female	F	55 years	55	2008	2008	197	1123799	17.5298251733629
Black or African American	Female	F	55 years	55	2009	2009	194	1164471	16.6599254081896
Black or African American	Female	F	55 years	55	2010	2010	193	1194067	16.1632471209739
Black or African American	Female	F	55 years	55	2011	2011	208	1242711	16.7376002948393
Black or African American	Female	F	55 years	55	2012	2012	220	1292069	17.0269544428355
Black or African American	Female	F	55 years	55	2013	2013	252	1330735	18.9369032902869
Black or African American	Female	F	55 years	55	2014	2014	252	1364351	18.4703203207972
Black or African American	Female	F	55 years	55	2015	2015	264	1395987	18.9113508936688
Black or African American	Female	F	55 years	55	2016	2016	297	1412482	21.0268166249198
Black or African American	Female	F	55 years	55	2017	2017	331	1421202	23.2901445396221
Black or African American	Female	F	55 years	55	2018	2018	342	1426347	23.9773351084974
Black or African American	Female	F	55 years	55	2019	2019	381	1428980	26.6623745608756
Black or African American	Female	F	55 years	55	2020	2020	362	1421662	25.463155095937
Black or African American	Female	F	55 years	55	2021	2021	332	1392255	23.8462063343281
Black or African American	Female	F	55 years	55	2022	2022	363	1417444	25.6094773409038
Black or African American	Female	F	60 years	60	1999	1999	170	585855	29.0174189859266
Black or African American	Female	F	60 years	60	2000	2000	169	596149	28.3486175436007
Black or African American	Female	F	60 years	60	2001	2001	216	610941	35.3552961742623
Black or African American	Female	F	60 years	60	2002	2002	174	629297	27.6499013979091
Black or African American	Female	F	60 years	60	2003	2003	201	653908	30.7382689919683
Black or African American	Female	F	60 years	60	2004	2004	187	678186	27.5735565169437
Black or African American	Female	F	60 years	60	2005	2005	218	698748	31.1986581714724
Black or African American	Female	F	60 years	60	2006	2006	198	720394	27.4849596193194
Black or African American	Female	F	60 years	60	2007	2007	208	768767	27.0563122506559
Black or African American	Female	F	60 years	60	2008	2008	216	815179	26.4972478437251
Black or African American	Female	F	60 years	60	2009	2009	228	873483	26.1023969556362
Black or African American	Female	F	60 years	60	2010	2010	212	927423	22.8590405888144
Black or African American	Female	F	60 years	60	2011	2011	226	1006503	22.4539817566366
Black or African American	Female	F	60 years	60	2012	2012	274	1040236	26.3401766522212
Black or African American	Female	F	60 years	60	2013	2013	330	1075039	30.6965607759346
Black or African American	Female	F	60 years	60	2014	2014	342	1114807	30.6779559152391
Black or African American	Female	F	60 years	60	2015	2015	360	1153658	31.2050885097663
Black or African American	Female	F	60 years	60	2016	2016	414	1190046	34.7885711980881
Black or African American	Female	F	60 years	60	2017	2017	460	1239642	37.1074874842898
Black or African American	Female	F	60 years	60	2018	2018	470	1272746	36.9280280590157
Black or African American	Female	F	60 years	60	2019	2019	480	1301964	36.8673788215342
Black or African American	Female	F	60 years	60	2020	2020	543	1329313	40.848167436864
Black or African American	Female	F	60 years	60	2021	2021	580	1321124	43.9020107120906
Black or African American	Female	F	60 years	60	2022	2022	565	1343676	42.0488272470447
Black or African American	Female	F	65 years	65	1999	1999	250	507961	49.2163768478289
Black or African American	Female	F	65 years	65	2000	2000	261	508629	51.3144158119179
Black or African American	Female	F	65 years	65	2001	2001	260	522334	49.7765797363373
Black or African American	Female	F	65 years	65	2002	2002	250	530031	47.1670524931561
Black or African American	Female	F	65 years	65	2003	2003	270	539527	50.0438346922397
Black or African American	Female	F	65 years	65	2004	2004	223	548655	40.6448496778486
Black or African American	Female	F	65 years	65	2005	2005	282	561769	50.1985691627698
Black or African American	Female	F	65 years	65	2006	2006	252	574475	43.8661386483311
Black or African American	Female	F	65 years	65	2007	2007	274	592733	46.2265471974734
Black or African American	Female	F	65 years	65	2008	2008	250	617326	40.4972413279207
Black or African American	Female	F	65 years	65	2009	2009	261	641482	40.687034086693
Black or African American	Female	F	65 years	65	2010	2010	242	657563	36.8025573215038
Black or African American	Female	F	65 years	65	2011	2011	271	680703	39.8117828186448
Black or African American	Female	F	65 years	65	2012	2012	314	729212	43.0601800299501
Black or African American	Female	F	65 years	65	2013	2013	327	774692	42.2103235866641
Black or African American	Female	F	65 years	65	2014	2014	347	828528	41.8815055133924
Black or African American	Female	F	65 years	65	2015	2015	373	885437	42.1260914102302
Black or African American	Female	F	65 years	65	2016	2016	459	946010	48.519571674718
Black or African American	Female	F	65 years	65	2017	2017	511	978448	52.2255653851814
Black or African American	Female	F	65 years	65	2018	2018	534	1007581	52.9982204904618
Black or African American	Female	F	65 years	65	2019	2019	589	1042963	56.4737195854503
Black or African American	Female	F	65 years	65	2020	2020	738	1077483	68.4929599817352
Black or African American	Female	F	65 years	65	2021	2021	716	1088159	65.7992076525581
Black or African American	Female	F	65 years	65	2022	2022	684	1106126	61.8374398576654
Black or African American	Female	F	70 years	70	1999	1999	417	435255	95.8059068821725
Black or African American	Female	F	70 years	70	2000	2000	415	440786	94.1499956895183
Black or African American	Female	F	70 years	70	2001	2001	386	440752	87.5775946564054
Black or African American	Female	F	70 years	70	2002	2002	383	442356	86.5818481042418
Black or African American	Female	F	70 years	70	2003	2003	376	446877	84.1394835715421
Black or African American	Female	F	70 years	70	2004	2004	374	450801	82.9634361946846
Black or African American	Female	F	70 years	70	2005	2005	367	456614	80.3742329407333
Black or African American	Female	F	70 years	70	2006	2006	359	466664	76.9290110229201
Black or African American	Female	F	70 years	70	2007	2007	345	472797	72.9700061548614
Black or African American	Female	F	70 years	70	2008	2008	357	480483	74.3002353881407
Black or African American	Female	F	70 years	70	2009	2009	365	487912	74.8085720375805
Black or African American	Female	F	70 years	70	2010	2010	331	496664	66.6446531256544
Black or African American	Female	F	70 years	70	2011	2011	355	515854	68.8179213498393
Black or African American	Female	F	70 years	70	2012	2012	353	531565	66.4076829738602
Black or African American	Female	F	70 years	70	2013	2013	424	556554	76.1830837618632
Black or African American	Female	F	70 years	70	2014	2014	436	581078	75.0329559886969
Black or African American	Female	F	70 years	70	2015	2015	533	603471	88.32238831692
Black or African American	Female	F	70 years	70	2016	2016	517	621831	83.1415609707461
Black or African American	Female	F	70 years	70	2017	2017	565	668247	84.5495752319128
Black or African American	Female	F	70 years	70	2018	2018	611	708288	86.2643444474564
Black or African American	Female	F	70 years	70	2019	2019	643	756006	85.0522350351717
Black or African American	Female	F	70 years	70	2020	2020	799	806836	99.028798913286
Black or African American	Female	F	70 years	70	2021	2021	811	836516	96.9497295927394
Black or African American	Female	F	70 years	70	2022	2022	802	849725	94.3834770072671
Black or African American	Female	F	75 years	75	1999	1999	588	343390	171.233874020793
Black or African American	Female	F	75 years	75	2000	2000	539	344364	156.520426060796
Black or African American	Female	F	75 years	75	2001	2001	523	354673	147.459772804809
Black or African American	Female	F	75 years	75	2002	2002	525	359611	145.991084811088
Black or African American	Female	F	75 years	75	2003	2003	551	363417	151.616462631082
Black or African American	Female	F	75 years	75	2004	2004	515	365192	141.021709128349
Black or African American	Female	F	75 years	75	2005	2005	537	368751	145.626723724139
Black or African American	Female	F	75 years	75	2006	2006	494	367499	134.422134481999
Black or African American	Female	F	75 years	75	2007	2007	501	368272	136.040752487292
Black or African American	Female	F	75 years	75	2008	2008	477	371717	128.323428845062
Black or African American	Female	F	75 years	75	2009	2009	453	374583	120.934479140805
Black or African American	Female	F	75 years	75	2010	2010	459	378077	121.403841016513
Black or African American	Female	F	75 years	75	2011	2011	455	393168	115.726610507468
Black or African American	Female	F	75 years	75	2012	2012	459	399504	114.892466658657
Black or African American	Female	F	75 years	75	2013	2013	522	409261	127.546968804748
Black or African American	Female	F	75 years	75	2014	2014	552	420226	131.357888374351
Black or African American	Female	F	75 years	75	2015	2015	563	433526	129.865336796409
Black or African American	Female	F	75 years	75	2016	2016	632	445948	141.720559347727
Black or African American	Female	F	75 years	75	2017	2017	726	464257	156.378902202875
Black or African American	Female	F	75 years	75	2018	2018	693	486475	142.453363482193
Black or African American	Female	F	75 years	75	2019	2019	810	508214	159.381677797148
Black or African American	Female	F	75 years	75	2020	2020	849	526453	161.267957443494
Black or African American	Female	F	75 years	75	2021	2021	878	512535	171.305374267123
Black or African American	Female	F	75 years	75	2022	2022	895	520724	171.876080226761
Black or African American	Female	F	80 years	80	1999	1999	666	227780	292.387391342523
Black or African American	Female	F	80 years	80	2000	2000	625	231454	270.03205820595
Black or African American	Female	F	80 years	80	2001	2001	626	237908	263.126923012257
Black or African American	Female	F	80 years	80	2002	2002	696	243879	285.387425731613
Black or African American	Female	F	80 years	80	2003	2003	680	249644	272.387880341606
Black or African American	Female	F	80 years	80	2004	2004	691	254780	271.214381034618
Black or African American	Female	F	80 years	80	2005	2005	780	258762	301.4352957544
Black or African American	Female	F	80 years	80	2006	2006	697	264538	263.47821485004
Black or African American	Female	F	80 years	80	2007	2007	668	268871	248.44628093026
Black or African American	Female	F	80 years	80	2008	2008	697	272279	255.987424663672
Black or African American	Female	F	80 years	80	2009	2009	618	274423	225.199782817038
Black or African American	Female	F	80 years	80	2010	2010	669	277702	240.905719080165
Black or African American	Female	F	80 years	80	2011	2011	643	281890	228.103160807407
Black or African American	Female	F	80 years	80	2012	2012	649	284580	228.055379858036
Black or African American	Female	F	80 years	80	2013	2013	717	290087	247.167229141602
Black or African American	Female	F	80 years	80	2014	2014	693	296006	234.11687600927
Black or African American	Female	F	80 years	80	2015	2015	758	303164	250.029686902139
Black or African American	Female	F	80 years	80	2016	2016	890	312789	284.536860311584
Black or African American	Female	F	80 years	80	2017	2017	850	321524	264.365957129172
Black or African American	Female	F	80 years	80	2018	2018	893	329857	270.723374068157
Black or African American	Female	F	80 years	80	2019	2019	987	341870	288.706233363559
Black or African American	Female	F	80 years	80	2020	2020	1046	351927	297.220730435573
Black or African American	Female	F	80 years	80	2021	2021	1023	337044	303.521201979564
Black or African American	Female	F	80 years	80	2022	2022	1043	342317	304.688344429286
Black or African American	Female	F	85 years	85	1999	1999	1642	225142	729.31749740164
Black or African American	Female	F	85 years	85	2000	2000	1705	229308	743.541437716957
Black or African American	Female	F	85 years	85	2001	2001	1750	226836	771.48248073498
Black or African American	Female	F	85 years	85	2002	2002	1759	225501	780.040886736644
Black or African American	Female	F	85 years	85	2003	2003	1804	225873	798.678903631687
Black or African American	Female	F	85 years	85	2004	2004	1747	228060	766.026484258528
Black or African American	Female	F	85 years	85	2005	2005	1895	235430	804.91016438007
Black or African American	Female	F	85 years	85	2006	2006	1806	241177	748.827624524727
Black or African American	Female	F	85 years	85	2007	2007	1864	249077	748.362956033676
Black or African American	Female	F	85 years	85	2008	2008	1777	257804	689.283331523173
Black or African American	Female	F	85 years	85	2009	2009	1732	267385	647.755109673318
