Race	Hispanic Origin	Five-Year Age Groups	Cause of death Code	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	35-39 years	I20.1	Female	2003	5	1440844	0.347018830629825
Black or African American	Not Hispanic or Latino	35-39 years	I20.1	Female	2018	5	1494278	0.334609758023607
Black or African American	Not Hispanic or Latino	35-39 years	I20.9	Female	2014	5	1374316	0.36381734622896
Black or African American	Not Hispanic or Latino	35-39 years	I20.9	Male	2002	5	1298817	0.384965703405484
Black or African American	Not Hispanic or Latino	35-39 years	I21.3	Female	1999	5	1507328	0.331712805706522
Black or African American	Not Hispanic or Latino	35-39 years	I21.3	Female	2001	5	1491812	0.3351628757511
Black or African American	Not Hispanic or Latino	35-39 years	I21.3	Male	2007	5	1253650	0.39883540063016
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2007	5	1413720	0.35367682426506
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2015	5	1413525	0.353725615040413
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2016	5	1445255	0.345959709532228
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2017	5	1475146	0.338949500591806
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2018	5	1494278	0.334609758023607
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2019	5	1501244	0.333057117963502
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2020	5	1502992	0.332669768036024
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2021	3	1528319	0.196294098287072
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Female	2022	6	1533513	0.391258502536333
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Male	2006	5	1244414	0.4017955439267
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Male	2017	5	1336143	0.374211442936871
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Male	2018	5	1361639	0.367204523372201
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Male	2019	5	1374076	0.363880891595516
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Male	2020	5	1383849	0.361311096803192
Black or African American	Not Hispanic or Latino	35-39 years	I21.4	Male	2022	7	1453787	0.481501072715604
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	1999	54	1507328	3.58249830163044
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2000	56	1505402	3.71993660165192
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2001	57	1491812	3.82085678356254
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2002	55	1467701	3.74735726145857
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2003	58	1440844	4.02541843530597
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2004	36	1408319	2.55623903391206
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2005	52	1396992	3.7222833058457
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2006	54	1405559	3.84188781829863
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2007	39	1413720	2.75867922926746
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2008	40	1412276	2.8323075659432
