Race	Gender	Year	Hispanic Origin	Cause of death Code	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	1999	Not Hispanic or Latino	I20.0	0.221575781532447	15	1482219	1.01199620299025
Black or African American	F	1999	Not Hispanic or Latino	I20.1	0.131104525011806	10	1855951	0.538807328426235
Black or African American	F	1999	Not Hispanic or Latino	I20.9	0.498051769295823	35	4341085	0.806250050390628
Black or African American	F	1999	Not Hispanic or Latino	I21.2	0.152557648867346	10	663035	1.50821600669648
Black or African American	F	1999	Not Hispanic or Latino	I21.3	0.132967675437139	10	1850718	0.540330833762896
Black or African American	F	1999	Not Hispanic or Latino	I21.4	0.478996198581013	35	5208807	0.67193889118948
Black or African American	F	1999	Not Hispanic or Latino	I21.9	103.862603554243	7115	7854964	90.5796640188294
Black or African American	F	1999	Not Hispanic or Latino	I24.8	1.57080408980769	109	7854964	1.3876575373229
Black or African American	F	1999	Not Hispanic or Latino	I24.9	0.70057198011346	50	6347636	0.787694820559969
Black or African American	F	1999	Not Hispanic or Latino	I25.0	50.2882093850059	3461	7854964	44.0613095107756
Black or African American	F	1999	Not Hispanic or Latino	I25.1	96.9292066447007	6597	7854964	83.9851080157719
Black or African American	F	1999	Not Hispanic or Latino	I25.2	0.552806545303331	40	5644062	0.708709436572454
Black or African American	F	1999	Not Hispanic or Latino	I25.3	0.264797199410311	20	3464771	0.577238726599824
Black or African American	F	1999	Not Hispanic or Latino	I25.4	0.121535242579576	10	2093183	0.477741315498932
Black or African American	F	1999	Not Hispanic or Latino	I25.5	4.9444570879842	336	7854964	4.27754983982104
Black or African American	F	1999	Not Hispanic or Latino	I25.8	0.770876269396314	56	7854964	0.712924973303506
Black or African American	F	1999	Not Hispanic or Latino	I25.9	5.88328175405232	407	7854964	5.18143685954512
Black or African American	F	1999	Not Hispanic or Latino	I46.1	1.17094531141967	83	7854964	1.05665665686055
Black or African American	F	1999	Not Hispanic or Latino	I46.9	13.146511401852	908	7854964	11.5595692099926
Black or African American	F	2000	Not Hispanic or Latino	I20.0	0.223588883741542	15	1084447	1.38319346173672
Black or African American	F	2000	Not Hispanic or Latino	I20.8	0.0781076860949454	5	344364	1.45195200427455
Black or African American	F	2000	Not Hispanic or Latino	I20.9	0.362214715005755	25	2121382	1.17847704939516
Black or African American	F	2000	Not Hispanic or Latino	I21.4	0.486716734626795	35	4327741	0.808736012621827
Black or African American	F	2000	Not Hispanic or Latino	I21.9	102.015542807644	7102	7996868	88.8097690245731
Black or African American	F	2000	Not Hispanic or Latino	I24.8	1.4913982409973	107	7996868	1.33802383633192
Black or African American	F	2000	Not Hispanic or Latino	I24.9	0.663759101959234	47	5049448	0.930794811630895
Black or African American	F	2000	Not Hispanic or Latino	I25.0	47.2599245571215	3298	7996868	41.2411459086232
Black or African American	F	2000	Not Hispanic or Latino	I25.1	95.8933006837136	6619	7996868	82.7699044175795
Black or African American	F	2000	Not Hispanic or Latino	I25.2	0.610855355207805	45	6491466	0.693217833999285
Black or African American	F	2000	Not Hispanic or Latino	I25.3	0.347727504322552	25	3248172	0.769663675445758
Black or African American	F	2000	Not Hispanic or Latino	I25.4	0.0594461776181619	5	1225916	0.407858287190966
Black or African American	F	2000	Not Hispanic or Latino	I25.5	4.2918817571985	298	7996868	3.72645890866274
Black or African American	F	2000	Not Hispanic or Latino	I25.8	0.828702338210992	59	6491466	0.90888560457684
Black or African American	F	2000	Not Hispanic or Latino	I25.9	5.67546304562358	394	7996868	4.92692889266148
Black or African American	F	2000	Not Hispanic or Latino	I46.1	1.69483358290225	119	7996868	1.48808258433177
Black or African American	F	2000	Not Hispanic or Latino	I46.9	10.9820285485031	770	7996868	9.62876966332319
Black or African American	F	2001	Not Hispanic or Latino	I20.0	0.409638467777114	30	3642104	0.823699707641517
Black or African American	F	2001	Not Hispanic or Latino	I20.1	0.114986149130947	10	2541756	0.393428794896127
Black or African American	F	2001	Not Hispanic or Latino	I20.9	0.408658171202344	30	3868829	0.775428430669849
Black or African American	F	2001	Not Hispanic or Latino	I21.0	0.0572731075823005	5	1272430	0.392948924498794
Black or African American	F	2001	Not Hispanic or Latino	I21.2	0.0572731075823005	5	1272430	0.392948924498794
Black or African American	F	2001	Not Hispanic or Latino	I21.3	0.121406859214514	10	2014146	0.496488337985429
Black or African American	F	2001	Not Hispanic or Latino	I21.4	0.348091943637619	25	2710534	0.922327482333739
Black or African American	F	2001	Not Hispanic or Latino	I21.9	96.5984107592949	6914	8221665	84.0948883224991
Black or African American	F	2001	Not Hispanic or Latino	I24.8	1.60940265848319	118	8221665	1.43523240122287
Black or African American	F	2001	Not Hispanic or Latino	I24.9	0.64715801767281	50	8221665	0.608149322552062
Black or African American	F	2001	Not Hispanic or Latino	I25.0	45.7296388405799	3285	8221665	39.9554104916705
Black or African American	F	2001	Not Hispanic or Latino	I25.1	91.200124088336	6447	8221665	78.4147736498629
Black or African American	F	2001	Not Hispanic or Latino	I25.2	0.64715801767281	50	8221665	0.608149322552062
Black or African American	F	2001	Not Hispanic or Latino	I25.3	0.130561214068635	10	1713404	0.583633515504808
Black or African American	F	2001	Not Hispanic or Latino	I25.4	0.0572731075823005	5	1272430	0.392948924498794
Black or African American	F	2001	Not Hispanic or Latino	I25.5	3.91735607075338	277	8221665	3.36914724693842
Black or African American	F	2001	Not Hispanic or Latino	I25.8	0.882716004451276	65	6729853	0.96584576215855
Black or African American	F	2001	Not Hispanic or Latino	I25.9	5.78391800871513	414	8221665	5.03547639073107
Black or African American	F	2001	Not Hispanic or Latino	I46.1	1.35110405640596	98	8221665	1.19197267220204
Black or African American	F	2001	Not Hispanic or Latino	I46.9	11.0877822909355	804	8221665	9.77904110663716
Black or African American	F	2002	Not Hispanic or Latino	I20.0	0.27864367298928	20	2151795	0.929456569979947
Black or African American	F	2002	Not Hispanic or Latino	I20.1	0.119951874694261	10	1735246	0.576287166200066
Black or African American	F	2002	Not Hispanic or Latino	I20.9	0.336988675664367	25	2562043	0.975783778804649
Black or African American	F	2002	Not Hispanic or Latino	I21.4	0.3443753786293	25	2474368	1.0103590088459
Black or African American	F	2002	Not Hispanic or Latino	I21.9	91.346508188355	6675	8386293	79.5941663378563
Black or African American	F	2002	Not Hispanic or Latino	I24.8	1.5749041864619	118	8386293	1.40705792177783
Black or African American	F	2002	Not Hispanic or Latino	I24.9	0.522020600822565	40	5597516	0.714602691622498
Black or African American	F	2002	Not Hispanic or Latino	I25.0	43.016210900822	3160	8386293	37.6805341764234
Black or African American	F	2002	Not Hispanic or Latino	I25.1	90.0723888780973	6501	8386293	77.5193521142178
Black or African American	F	2002	Not Hispanic or Latino	I25.2	0.246158024152171	20	3834698	0.521553457403947
Black or African American	F	2002	Not Hispanic or Latino	I25.3	0.187633303360797	15	2786636	0.538283435655034
Black or African American	F	2002	Not Hispanic or Latino	I25.5	3.72767080033415	272	8386293	3.24338775189467
Black or African American	F	2002	Not Hispanic or Latino	I25.8	0.755198795445119	57	6918592	0.823867052718241
Black or African American	F	2002	Not Hispanic or Latino	I25.9	4.93401702947248	364	8386293	4.34041596209434
Black or African American	F	2002	Not Hispanic or Latino	I46.1	1.42890374182054	105	8386293	1.25204306598875
Black or African American	F	2002	Not Hispanic or Latino	I46.9	10.8743899418055	803	8386293	9.57514839989492
Black or African American	F	2003	Not Hispanic or Latino	I20.0	0.254875818276191	20	2907002	0.687994022707931
Black or African American	F	2003	Not Hispanic or Latino	I20.1	0.183316168759986	15	3189357	0.470314235753476
Black or African American	F	2003	Not Hispanic or Latino	I20.9	0.205798030730394	15	1266969	1.18392794140977
Black or African American	F	2003	Not Hispanic or Latino	I21.3	0.0534380400784797	5	1363748	0.366636651346143
Black or African American	F	2003	Not Hispanic or Latino	I21.4	0.455210963839903	35	4244510	0.824594593957842
Black or African American	F	2003	Not Hispanic or Latino	I21.9	82.5024649058803	6174	8547971	72.2276666591405
Black or African American	F	2003	Not Hispanic or Latino	I24.8	1.20165350814495	92	8547971	1.07627880347278
Black or African American	F	2003	Not Hispanic or Latino	I24.9	0.620114615554647	50	8547971	0.584934132322162
Black or African American	F	2003	Not Hispanic or Latino	I25.0	40.3339388620314	3039	8547971	35.552296562541
Black or African American	F	2003	Not Hispanic or Latino	I25.1	87.0461346224124	6424	8547971	75.1523373207513
Black or African American	F	2003	Not Hispanic or Latino	I25.2	0.427013919021096	35	6317956	0.553976634215243
Black or African American	F	2003	Not Hispanic or Latino	I25.3	0.319167206614114	25	3857973	0.648008682279529
Black or African American	F	2003	Not Hispanic or Latino	I25.4	0.0534380400784797	5	1363748	0.366636651346143
Black or African American	F	2003	Not Hispanic or Latino	I25.5	3.76891147150124	277	7107127	3.89749613310695
Black or African American	F	2003	Not Hispanic or Latino	I25.8	0.565808595536111	45	7049102	0.638379186455239
Black or African American	F	2003	Not Hispanic or Latino	I25.9	5.02960115755651	378	8547971	4.42210204035554
Black or African American	F	2003	Not Hispanic or Latino	I46.1	1.81417245419687	138	8547971	1.61441820520917
Black or African American	F	2003	Not Hispanic or Latino	I46.9	9.99278265619802	762	8547971	8.91439617658974
Black or African American	F	2004	Not Hispanic or Latino	I20.0	0.207942215695679	15	1364648	1.09918455162064
Black or African American	F	2004	Not Hispanic or Latino	I20.9	0.379111151277988	30	4054025	0.740005303371341
Black or African American	F	2004	Not Hispanic or Latino	I21.3	0.0712649760373703	5	450801	1.10913684752252
Black or African American	F	2004	Not Hispanic or Latino	I21.4	0.245112708636563	20	2388043	0.83750585730659
Black or African American	F	2004	Not Hispanic or Latino	I21.9	76.2275322365201	5821	8706471	66.8583172217538
Black or African American	F	2004	Not Hispanic or Latino	I22.9	0.063024270221958	5	548655	0.911319499503331
Black or African American	F	2004	Not Hispanic or Latino	I24.8	1.07718327249076	85	7298152	1.16467840077872
Black or African American	F	2004	Not Hispanic or Latino	I24.9	0.549847030051048	45	7298152	0.616594447471086
Black or African American	F	2004	Not Hispanic or Latino	I25.0	39.0893853414248	3018	8706471	34.6638724231666
Black or African American	F	2004	Not Hispanic or Latino	I25.1	80.2544119502357	6040	8706471	69.3736876858603
Black or African American	F	2004	Not Hispanic or Latino	I25.2	0.345155631022293	30	6043916	0.496366925020136
Black or African American	F	2004	Not Hispanic or Latino	I25.3	0.0736529694363507	5	365192	1.36914280707135
Black or African American	F	2004	Not Hispanic or Latino	I25.5	3.44069421666991	259	8706471	2.97479885937712
Black or African American	F	2004	Not Hispanic or Latino	I25.8	0.623499999487399	50	7298152	0.68510494163454
Black or African American	F	2004	Not Hispanic or Latino	I25.9	5.58535655802289	428	8706471	4.9158838293954
Black or African American	F	2004	Not Hispanic or Latino	I46.1	1.4308521921199	110	8706471	1.26342808699414
Black or African American	F	2004	Not Hispanic or Latino	I46.9	9.72461218751264	757	8706471	8.69468238049607
Black or African American	F	2005	Not Hispanic or Latino	I20.0	0.142260865953671	10	627513	1.59359248334297
Black or African American	F	2005	Not Hispanic or Latino	I20.9	0.266662839914475	20	2590256	0.772124454108011
Black or African American	F	2005	Not Hispanic or Latino	I21.3	0.0729421078570629	5	368751	1.35592852629552
Black or African American	F	2005	Not Hispanic or Latino	I21.4	0.264738613546781	20	2307909	0.866585294307531
Black or African American	F	2005	Not Hispanic or Latino	I21.9	70.7303347194767	5523	8883736	62.1697898271628
Black or African American	F	2005	Not Hispanic or Latino	I22.9	0.0729421078570629	5	368751	1.35592852629552
Black or African American	F	2005	Not Hispanic or Latino	I24.1	0.0521200221124573	5	1223782	0.408569500123388
Black or African American	F	2005	Not Hispanic or Latino	I24.8	1.24354098847464	105	8883736	1.18193516781678
Black or African American	F	2005	Not Hispanic or Latino	I24.9	1.06837150585457	84	7377607	1.13858057226415
Black or African American	F	2005	Not Hispanic or Latino	I25.0	36.3464808418707	2886	8883736	32.4863323268499
Black or African American	F	2005	Not Hispanic or Latino	I25.1	77.9182641038301	5980	8883736	67.3140219385178
Black or African American	F	2005	Not Hispanic or Latino	I25.2	0.394959239888614	35	6859231	0.510261281476014
Black or African American	F	2005	Not Hispanic or Latino	I25.3	0.142260865953671	10	627513	1.59359248334297
Black or African American	F	2005	Not Hispanic or Latino	I25.4	0.0507468086751606	5	1436071	0.348172200399562
Black or African American	F	2005	Not Hispanic or Latino	I25.5	3.53366533797431	274	8883736	3.08428796173142
Black or African American	F	2005	Not Hispanic or Latino	I25.8	0.768133754276778	62	8883736	0.697904575282291
Black or African American	F	2005	Not Hispanic or Latino	I25.9	5.38479273275826	422	8883736	4.75025372208269
Black or African American	F	2005	Not Hispanic or Latino	I46.1	1.52825601008338	124	8883736	1.39580915056458
Black or African American	F	2005	Not Hispanic or Latino	I46.9	9.69779139358646	771	8883736	8.67878108939752
Black or African American	F	2006	Not Hispanic or Latino	I20.0	0.196839365161057	15	1305677	1.14882930464426
Black or African American	F	2006	Not Hispanic or Latino	I20.9	0.224740231914916	20	3398368	0.588517782653321
Black or African American	F	2006	Not Hispanic or Latino	I21.3	0.0544033191108003	5	720394	0.694064636851501
Black or African American	F	2006	Not Hispanic or Latino	I21.4	0.246358694594037	20	3790244	0.527670514088275
Black or African American	F	2006	Not Hispanic or Latino	I21.9	63.8323537825126	5104	9065685	56.3002133870745
Black or African American	F	2006	Not Hispanic or Latino	I22.9	0.068842512948551	5	466664	1.07143469391254
Black or African American	F	2006	Not Hispanic or Latino	I24.8	1.14092619458712	95	9065685	1.04790757675785
Black or African American	F	2006	Not Hispanic or Latino	I24.9	1.07910496174435	88	9065685	0.970693334259904
Black or African American	F	2006	Not Hispanic or Latino	I25.0	34.1497749652895	2777	9065685	30.6319930595427
Black or African American	F	2006	Not Hispanic or Latino	I25.1	72.8965008715308	5732	9065685	63.2274339997474
Black or African American	F	2006	Not Hispanic or Latino	I25.3	0.164361765952904	15	2772305	0.541066008249453
Black or African American	F	2006	Not Hispanic or Latino	I25.5	2.9522664140303	233	9065685	2.57013121457452
Black or African American	F	2006	Not Hispanic or Latino	I25.8	0.62083249572135	52	7660126	0.678840008636934
Black or African American	F	2006	Not Hispanic or Latino	I25.9	4.69409831429267	374	9065685	4.12544667060459
Black or African American	F	2006	Not Hispanic or Latino	I46.1	1.65411623088131	131	9065685	1.44500939531872
Black or African American	F	2006	Not Hispanic or Latino	I46.9	9.67198533808157	779	9065685	8.59284212941438
Black or African American	F	2007	Not Hispanic or Latino	I20.9	0.116437104302957	10	1788258	0.559203425903869
Black or African American	F	2007	Not Hispanic or Latino	I21.4	0.324292805098708	25	3116393	0.80220947743112
Black or African American	F	2007	Not Hispanic or Latino	I21.9	59.7301074765298	4895	9231263	53.0263301998871
Black or African American	F	2007	Not Hispanic or Latino	I22.9	0.0679495057342212	5	472797	1.05753632108495
Black or African American	F	2007	Not Hispanic or Latino	I24.8	0.979292953967826	80	9231263	0.866620309701933
Black or African American	F	2007	Not Hispanic or Latino	I24.9	1.00141887807674	82	9231263	0.888285817444482
Black or African American	F	2007	Not Hispanic or Latino	I25.0	31.3596210601264	2619	9231263	28.370982388867
Black or African American	F	2007	Not Hispanic or Latino	I25.1	67.3067617734218	5387	9231263	58.356045104554
Black or African American	F	2007	Not Hispanic or Latino	I25.3	0.190729603862411	15	1405910	1.06692462533164
Black or African American	F	2007	Not Hispanic or Latino	I25.5	2.97101014983551	238	7817543	3.04443480515553
Black or African American	F	2007	Not Hispanic or Latino	I25.8	0.655074232422762	56	9231263	0.606634216791353
Black or African American	F	2007	Not Hispanic or Latino	I25.9	4.48447048993714	367	9231263	3.97562067075762
Black or African American	F	2007	Not Hispanic or Latino	I46.1	1.79812309324342	149	9231263	1.61408032681985
Black or African American	F	2007	Not Hispanic or Latino	I46.9	10.0123081867805	825	9231263	8.93702194380119
Black or African American	F	2008	Not Hispanic or Latino	I20.1	0.0562742516439704	5	1446445	0.345675086159515
Black or African American	F	2008	Not Hispanic or Latino	I20.9	0.109349250013053	10	1396078	0.71629235615775
Black or African American	F	2008	Not Hispanic or Latino	I21.3	0.049049130071388	5	1485776	0.336524482829175
Black or African American	F	2008	Not Hispanic or Latino	I21.4	0.218777229044872	20	3944967	0.506975090032439
Black or African American	F	2008	Not Hispanic or Latino	I21.9	56.3391380255735	4724	9386662	50.3267295658457
Black or African American	F	2008	Not Hispanic or Latino	I22.9	0.139222647045966	10	852200	1.17343346632246
Black or African American	F	2008	Not Hispanic or Latino	I24.8	1.16374851604502	104	7974386	1.30417564436936
Black or African American	F	2008	Not Hispanic or Latino	I24.9	1.04233555571908	87	9386662	0.926847051699529
Black or African American	F	2008	Not Hispanic or Latino	I25.0	29.5442714643918	2542	9386662	27.080979372646
Black or African American	F	2008	Not Hispanic or Latino	I25.1	64.1950146747181	5274	9386662	56.1861074788887
Black or African American	F	2008	Not Hispanic or Latino	I25.3	0.177422704649302	15	2474819	0.606104931310128
Black or African American	F	2008	Not Hispanic or Latino	I25.4	0.10286554095869	10	1978708	0.505380278444318
Black or African American	F	2008	Not Hispanic or Latino	I25.5	3.15111612387462	257	9386662	2.73792749754918
Black or African American	F	2008	Not Hispanic or Latino	I25.8	0.681733728462907	59	9386662	0.628551448853703
Black or African American	F	2008	Not Hispanic or Latino	I25.9	4.0616342086501	343	9386662	3.65412113486136
Black or African American	F	2008	Not Hispanic or Latino	I46.1	1.79890722353808	154	9386662	1.64062581565204
Black or African American	F	2008	Not Hispanic or Latino	I46.9	9.43758158616236	809	9386662	8.61861223936688
Black or African American	F	2009	Not Hispanic or Latino	I20.0	0.107797891992373	10	1652383	0.605186569941714
Black or African American	F	2009	Not Hispanic or Latino	I20.9	0.233026868138375	20	2454959	0.814677556733127
Black or African American	F	2009	Not Hispanic or Latino	I21.4	0.166062018831934	15	3271137	0.458556153410878
Black or African American	F	2009	Not Hispanic or Latino	I21.9	52.883352128336	4534	9530248	47.5748375068519
Black or African American	F	2009	Not Hispanic or Latino	I22.9	0.137169266900949	10	649006	1.54081780445789
Black or African American	F	2009	Not Hispanic or Latino	I24.8	1.19257486889334	103	9530248	1.08076935668411
Black or African American	F	2009	Not Hispanic or Latino	I24.9	0.955041121187823	84	9530248	0.881404135548204
Black or African American	F	2009	Not Hispanic or Latino	I25.0	27.6142003026535	2425	9530248	25.4452979607666
