"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	"2004"	"2004"	10	264514	Unreliable	1.8	7.0	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	"2020 "	"2020"	11	359410	Unreliable	1.5	5.5	0.9
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	"2005"	"2005"	14	261900	Unreliable	2.9	9.0	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	"2009"	"2009"	11	293954	Unreliable	1.9	6.7	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	"2011"	"2011"	11	290635	Unreliable	1.9	6.8	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2005"	"2005"	11	251383	Unreliable	2.2	7.8	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2017"	"2017"	10	323857	Unreliable	1.5	5.7	1.0
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2018"	"2018"	11	346376	Unreliable	1.6	5.7	1.0
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2020 "	"2020"	11	374474	Unreliable	1.5	5.3	0.9
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2002"	"2002"	13	274948	Unreliable	2.5	8.1	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2003"	"2003"	10	264513	Unreliable	1.8	7.0	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2005"	"2005"	12	262512	Unreliable	2.4	8.0	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2006"	"2006"	10	257114	Unreliable	1.9	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2009"	"2009"	11	286514	Unreliable	1.9	6.9	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2010"	"2010"	12	300549	Unreliable	2.1	7.0	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2017"	"2017"	12	312176	Unreliable	2.0	6.7	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2018"	"2018"	14	325150	Unreliable	2.4	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2020 "	"2020"	11	369804	Unreliable	1.5	5.3	0.9
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2001"	"2001"	10	289179	Unreliable	1.7	6.4	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2003"	"2003"	13	273727	Unreliable	2.5	8.1	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2007"	"2007"	10	254785	Unreliable	1.9	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2008"	"2008"	14	264321	Unreliable	2.9	8.9	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2009"	"2009"	13	267906	Unreliable	2.6	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2010"	"2010"	16	278760	Unreliable	3.3	9.3	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2011"	"2011"	19	302923	Unreliable	3.8	9.8	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2013"	"2013"	10	294534	Unreliable	1.6	6.2	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2014"	"2014"	12	295212	Unreliable	2.1	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2017"	"2017"	10	307531	Unreliable	1.6	6.0	1.0
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2018"	"2018"	17	313095	Unreliable	3.2	8.7	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2020 "	"2020"	19	348247	Unreliable	3.3	8.5	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"1999"	"1999"	11	272561	Unreliable	2.0	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2001"	"2001"	13	268151	Unreliable	2.6	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2002"	"2002"	11	290561	Unreliable	1.9	6.8	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2003"	"2003"	10	290217	Unreliable	1.7	6.3	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2004"	"2004"	11	276717	Unreliable	2.0	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2005"	"2005"	13	266944	Unreliable	2.6	8.3	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2008"	"2008"	12	260364	Unreliable	2.4	8.1	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2009"	"2009"	15	270838	Unreliable	3.1	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2010"	"2010"	12	275414	Unreliable	2.3	7.6	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2011"	"2011"	16	284146	Unreliable	3.2	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2014"	"2014"	12	296572	Unreliable	2.1	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2016"	"2016"	16	293147	Unreliable	3.1	8.9	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2017"	"2017"	15	306627	Unreliable	2.7	8.1	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2018"	"2018"	12	308173	Unreliable	2.0	6.8	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2019"	"2019"	20	313653	6.4	3.9	9.8	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2020 "	"2020"	21	326994	6.4	4.0	9.8	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"1999"	"1999"	17	279654	Unreliable	3.5	9.7	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2000"	"2000"	14	272072	Unreliable	2.8	8.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2001"	"2001"	11	270796	Unreliable	2.0	7.3	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2002"	"2002"	13	268601	Unreliable	2.6	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2004"	"2004"	16	290780	Unreliable	3.1	8.9	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2005"	"2005"	14	277331	Unreliable	2.8	8.5	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2006"	"2006"	20	267659	7.5	4.6	11.5	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2007"	"2007"	10	257833	Unreliable	1.9	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2009"	"2009"	11	261114	Unreliable	2.1	7.5	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2010"	"2010"	12	267041	Unreliable	2.3	7.8	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2011"	"2011"	15	274248	Unreliable	3.1	9.0	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2012"	"2012"	12	285149	Unreliable	2.2	7.4	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2013"	"2013"	16	304493	Unreliable	3.0	8.5	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2014"	"2014"	10	295122	Unreliable	1.6	6.2	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2015"	"2015"	13	297736	Unreliable	2.3	7.5	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2016"	"2016"	18	296979	Unreliable	3.6	9.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2017"	"2017"	17	294953	Unreliable	3.4	9.2	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2018"	"2018"	18	307231	Unreliable	3.5	9.3	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2019"	"2019"	19	308705	Unreliable	3.7	9.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2020 "	"2020"	19	314921	Unreliable	3.6	9.4	1.4
