"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	12	1515855	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	11	1476199	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	14	1471149	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	15	1463702	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	16	1470885	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	28	1431124	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	24	1416374	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	32	1355331	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	40	1309771	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	40	1312332	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	45	1296019	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	53	1326825	4.0
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	69	1359896	5.1
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	86	1386478	6.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	71	1409456	5.0
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	63	1412580	4.5
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	94	1405780	6.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	107	1397753	7.7
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	141	1411297	10.0
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	161	1442567	11.2
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	172	1475046	11.7
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	194	1496587	13.0
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	239	1515020	15.8
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	281	1499792	18.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	292	1480226	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	287	1472489	19.5
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	382	1467268	26.0
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	369	1436113	25.7
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	407	1399380	29.1
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	411	1351986	30.4
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	424	1321212	32.1
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	466	1261633	36.9
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	431	1227503	35.1
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	484	1187765	40.7
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	469	1128147	41.6
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	455	1098613	41.4
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	457	1046601	43.7
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	451	970315	46.5
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	450	894436	50.3
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	455	816093	55.8
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	405	779514	52.0
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	428	724924	59.0
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	469	698682	67.1
