"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	10	1609811	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	14	1547061	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	17	1503993	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	24	1473963	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	28	1472714	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	41	1461363	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	27	1460941	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	43	1464927	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	67	1436448	4.7
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	59	1427242	4.1
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	66	1392045	4.7
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	82	1362603	6.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	74	1339705	5.5
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	83	1337641	6.2
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	104	1350001	7.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	124	1379911	9.0
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	138	1407169	9.8
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	171	1411457	12.1
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	167	1415826	11.8
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	205	1409894	14.5
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	210	1406791	14.9
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	221	1413347	15.6
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	258	1437934	17.9
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	283	1453421	19.5
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	338	1476486	22.9
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	373	1484429	25.1
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	338	1495176	22.6
