"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"1999"	"1999"	0	280072	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2000"	"2000"	0	283794	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2001"	"2001"	0	296820	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2002"	"2002"	Suppressed	289527	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2003"	"2003"	0	283849	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"1999"	"1999"	0	284008	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2000"	"2000"	0	286737	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2001"	"2001"	0	286195	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2002"	"2002"	0	296024	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2003"	"2003"	0	288700	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"1999"	"1999"	0	282877	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2000"	"2000"	0	286215	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2001"	"2001"	0	283697	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2002"	"2002"	0	286087	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2003"	"2003"	0	295981	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"1999"	"1999"	0	284698	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2000"	"2000"	Suppressed	287829	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2001"	"2001"	0	286757	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2002"	"2002"	0	283844	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2003"	"2003"	0	286352	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"1999"	"1999"	0	305860	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2000"	"2000"	0	296725	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2001"	"2001"	0	288310	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2002"	"2002"	0	287985	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2003"	"2003"	0	285602	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"1999"	"1999"	0	315505	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2000"	"2000"	0	306833	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2001"	"2001"	Suppressed	294497	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2002"	"2002"	0	289265	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2003"	"2003"	0	289155	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"1999"	"1999"	0	322010	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2000"	"2000"	0	318100	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2001"	"2001"	0	305951	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2002"	"2002"	0	294696	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2003"	"2003"	0	289263	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"1999"	"1999"	0	329774	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2000"	"2000"	0	328060	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2001"	"2001"	0	316041	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2002"	"2002"	0	306748	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2003"	"2003"	0	295608	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"1999"	"1999"	0	330737	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2000"	"2000"	Suppressed	331166	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2001"	"2001"	0	326149	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2002"	"2002"	0	316746	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2003"	"2003"	0	307385	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"1999"	"1999"	Suppressed	337339	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2000"	"2000"	0	337378	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2001"	"2001"	0	331842	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2002"	"2002"	0	327932	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2003"	"2003"	0	318972	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"1999"	"1999"	0	329927	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2000"	"2000"	0	338448	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2001"	"2001"	0	339019	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2002"	"2002"	0	337648	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2003"	"2003"	0	335681	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"1999"	"1999"	0	309598	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2000"	"2000"	Suppressed	318696	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2001"	"2001"	0	344500	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2002"	"2002"	0	339952	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2003"	"2003"	0	337537	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"1999"	"1999"	0	301780	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2000"	"2000"	0	310511	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2001"	"2001"	0	325901	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2002"	"2002"	0	347189	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2003"	"2003"	0	342686	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"1999"	"1999"	0	294341	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2000"	"2000"	0	300180	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2001"	"2001"	0	313981	Unreliable
