"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	10	709793	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	16	726261	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	15	741367	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	20	743226	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	19	717019	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	27	674071	4.0
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	41	640647	6.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	38	623626	6.1
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	41	617206	6.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	41	604035	6.8
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	47	595716	7.9
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	52	599863	8.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	70	598248	11.7
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	61	606374	10.1
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	72	597088	12.1
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	95	567119	16.8
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	88	553833	15.9
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	85	539332	15.8
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	110	535105	20.6
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	132	534087	24.7
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	97	533815	18.2
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	118	550784	21.4
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	147	572236	25.7
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	175	582013	30.1
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	166	557684	29.8
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	193	537367	35.9
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	199	537983	37.0
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	231	546326	42.3
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	223	568074	39.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	254	579038	43.9
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	268	572930	46.8
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	284	565846	50.2
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	299	563511	53.1
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	321	569317	56.4
