"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2004"	"2004"	Suppressed	285612	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2005"	"2005"	Suppressed	286197	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2006"	"2006"	0	292848	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2007"	"2007"	0	307533	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2008"	"2008"	0	308940	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2004"	"2004"	0	283082	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2005"	"2005"	0	284927	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2006"	"2006"	0	285462	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2007"	"2007"	0	292000	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2008"	"2008"	0	306564	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2004"	"2004"	0	288839	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2005"	"2005"	0	283464	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2006"	"2006"	0	285501	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2007"	"2007"	0	286185	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2008"	"2008"	0	292885	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2004"	"2004"	0	296458	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2005"	"2005"	0	289630	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2006"	"2006"	0	284471	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2007"	"2007"	0	286671	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2008"	"2008"	0	287549	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2004"	"2004"	0	288694	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2005"	"2005"	0	299539	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2006"	"2006"	0	293286	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2007"	"2007"	0	288693	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2008"	"2008"	0	291459	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2004"	"2004"	0	287012	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2005"	"2005"	0	290370	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2006"	"2006"	0	301510	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2007"	"2007"	0	295354	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2008"	"2008"	0	290909	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2004"	"2004"	0	288926	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2005"	"2005"	0	286576	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2006"	"2006"	0	289738	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2007"	"2007"	0	300561	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2008"	"2008"	0	294198	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2004"	"2004"	0	290254	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2005"	"2005"	0	290188	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2006"	"2006"	0	288048	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2007"	"2007"	0	291313	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2008"	"2008"	Suppressed	302244	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2004"	"2004"	0	296229	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2005"	"2005"	0	290953	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2006"	"2006"	0	290884	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2007"	"2007"	0	288690	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2008"	"2008"	0	291902	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2004"	"2004"	0	310022	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2005"	"2005"	0	299363	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2006"	"2006"	0	294549	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2007"	"2007"	0	294860	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2008"	"2008"	0	293071	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2004"	"2004"	0	328583	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2005"	"2005"	0	321472	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2006"	"2006"	0	312284	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2007"	"2007"	0	309114	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2008"	"2008"	0	311330	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2004"	"2004"	Suppressed	334504	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2005"	"2005"	0	326570	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2006"	"2006"	0	318531	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2007"	"2007"	0	308565	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2008"	"2008"	0	304460	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2004"	"2004"	0	340327	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2005"	"2005"	0	337556	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2006"	"2006"	0	329688	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2007"	"2007"	0	321674	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2008"	"2008"	0	311742	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2004"	"2004"	0	343814	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2005"	"2005"	Suppressed	341312	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2006"	"2006"	0	338271	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2007"	"2007"	0	330147	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2008"	"2008"	0	321918	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2004"	"2004"	Suppressed	348140	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2005"	"2005"	0	342791	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2006"	"2006"	0	339696	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2007"	"2007"	0	336032	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2008"	"2008"	0	327352	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2004"	"2004"	Suppressed	331555	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2005"	"2005"	0	352662	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2006"	"2006"	0	347853	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2007"	"2007"	Suppressed	345265	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2008"	"2008"	0	342044	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2004"	"2004"	0	320943	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2005"	"2005"	0	334979	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2006"	"2006"	0	356426	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2007"	"2007"	0	351808	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2008"	"2008"	0	349399	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2004"	"2004"	Suppressed	311417	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2005"	"2005"	0	321646	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2006"	"2006"	0	335370	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2007"	"2007"	Suppressed	356432	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2008"	"2008"	0	351411	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2004"	"2004"	0	310151	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2005"	"2005"	0	315984	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2006"	"2006"	Suppressed	326764	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2007"	"2007"	0	341041	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2008"	"2008"	0	362706	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	"2004"	"2004"	Suppressed	307381	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	"2005"	"2005"	Suppressed	312396	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	"2006"	"2006"	Suppressed	317925	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	"2007"	"2007"	Suppressed	328414	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	"2008"	"2008"	Suppressed	342383	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	"2004"	"2004"	Suppressed	295427	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	"2005"	"2005"	0	304965	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	"2006"	"2006"	Suppressed	309102	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	"2007"	"2007"	0	313385	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	"2008"	"2008"	0	322608	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	"2004"	"2004"	Suppressed	295368	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	"2005"	"2005"	Suppressed	295295	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	"2006"	"2006"	Suppressed	304754	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	"2007"	"2007"	Suppressed	308310	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	"2008"	"2008"	Suppressed	312128	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	"2004"	"2004"	Suppressed	295343	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	"2005"	"2005"	Suppressed	291200	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	"2006"	"2006"	Suppressed	290344	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	"2007"	"2007"	Suppressed	298436	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	"2008"	"2008"	Suppressed	300876	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	"2004"	"2004"	Suppressed	298833	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	"2005"	"2005"	Suppressed	294654	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	"2006"	"2006"	Suppressed	290656	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	"2007"	"2007"	Suppressed	289569	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	"2008"	"2008"	Suppressed	297437	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	"2004"	"2004"	Suppressed	298927	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	"2005"	"2005"	Suppressed	296984	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	"2006"	"2006"	0	292623	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	"2007"	"2007"	Suppressed	288325	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	"2008"	"2008"	Suppressed	286843	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	"2004"	"2004"	Suppressed	283445	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	"2005"	"2005"	Suppressed	300880	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	"2006"	"2006"	Suppressed	299570	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	"2007"	"2007"	Suppressed	295518	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	"2008"	"2008"	Suppressed	291472	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	"2004"	"2004"	Suppressed	266131	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	"2005"	"2005"	Suppressed	280782	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	"2006"	"2006"	Suppressed	297595	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	"2007"	"2007"	Suppressed	295637	Suppressed
