Race,Hispanic Origin,Five-Year Age Groups,Cause of death Code,Gender,Deaths,Year
American Indian or Alaska Native,Hispanic or Latino,50-54 years,I12.0,Female,4,2000
American Indian or Alaska Native,Hispanic or Latino,60-64 years ,I10,Male,4,2000
American Indian or Alaska Native,Hispanic or Latino,80-84 years,I11.0,Male,4,2000
American Indian or Alaska Native,Hispanic or Latino,85-89 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,25-29 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,35-39 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,40-44 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,40-44 years,I12.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,45-49 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,45-49 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,45-49 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,45-49 years,I13.1,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,50-54 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,50-54 years,I11.9,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,50-54 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,I11.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,I11.9,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,I12.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,I13.2,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,I11.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,I11.9,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,I12.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,I12.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,I11.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,I11.9,Female,4,2000
