"Notes"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Essential (primary) hypertension"	"I10"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Essential (primary) hypertension"	"I10"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive renal disease with renal failure"	"I12.0"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive renal disease with renal failure"	"I12.0"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive renal disease without renal failure"	"I12.9"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive renal disease without renal failure"	"I12.9"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Renovascular hypertension"	"I15.0"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Renovascular hypertension"	"I15.0"	"Male"	"M"	0	10846	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Secondary hypertension, unspecified"	"I15.9"	"Female"	"F"	0	10485	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	"Secondary hypertension, unspecified"	"I15.9"	"Male"	"M"	0	10846	Unreliable
