"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	0	20822	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"1-4 years"	"1-4"	0	81441	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"5-9 years"	"5-9"	0	91317	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"10-14 years"	"10-14"	0	81293	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	0	76512	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	0	70348	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	0	69325	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	0	65159	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	0	63840	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	0	60590	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	0	54370	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"50-54 years"	"50-54"	0	48314	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"55-59 years"	"55-59"	0	41997	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"60-64 years "	"60-64"	0	33831	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"65-69 years"	"65-69"	0	23927	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"70-74 years"	"70-74"	0	16264	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"75-79 years"	"75-79"	0	9808	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"80-84 years"	"80-84"	0	5866	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"< 1 year"	"1"	0	13189	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"1-4 years"	"1-4"	0	56777	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"5-9 years"	"5-9"	0	80291	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"10-14 years"	"10-14"	0	88309	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"15-19 years"	"15-19"	0	88710	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"20-24 years"	"20-24"	0	89209	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"25-29 years"	"25-29"	0	93375	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"30-34 years"	"30-34"	0	92329	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"35-39 years"	"35-39"	0	82133	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"40-44 years"	"40-44"	0	75900	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"45-49 years"	"45-49"	0	70278	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"50-54 years"	"50-54"	0	73355	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"55-59 years"	"55-59"	0	79519	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"60-64 years "	"60-64"	0	78253	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"65-69 years"	"65-69"	0	64432	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"70-74 years"	"70-74"	0	48897	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"75-79 years"	"75-79"	0	30157	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"80-84 years"	"80-84"	0	19250	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"< 1 year"	"1"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"5-9 years"	"5-9"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"10-14 years"	"10-14"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"15-19 years"	"15-19"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"20-24 years"	"20-24"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"25-29 years"	"25-29"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"30-34 years"	"30-34"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"35-39 years"	"35-39"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"40-44 years"	"40-44"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"45-49 years"	"45-49"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"50-54 years"	"50-54"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"55-59 years"	"55-59"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"60-64 years "	"60-64"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"65-69 years"	"65-69"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"70-74 years"	"70-74"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"75-79 years"	"75-79"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"80-84 years"	"80-84"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	0	7621	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"1-4 years"	"1-4"	0	29706	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"5-9 years"	"5-9"	0	34401	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"10-14 years"	"10-14"	0	30277	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	0	26672	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	0	24220	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	0	24069	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	0	25131	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	0	22576	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	0	21662	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	0	19211	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50-54 years"	"50-54"	0	16676	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"55-59 years"	"55-59"	0	14234	Unreliable
