Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	478	10007770	4.77628882358407
Black or African American	Not Hispanic or Latino	20-24 years	M	635	9652284	6.57875379547473
Black or African American	Not Hispanic or Latino	25-29 years	F	886	9284768	9.54251091680481
Black or African American	Not Hispanic or Latino	25-29 years	M	729	8342398	8.73849461509748
Black or African American	Not Hispanic or Latino	30-34 years	F	1813	9676243	18.7366108932982
Black or African American	Not Hispanic or Latino	30-34 years	M	1208	8629446	13.99858113719
Black or African American	Not Hispanic or Latino	35-39 years	F	4035	10218398	39.487598741016
Black or African American	Not Hispanic or Latino	35-39 years	M	2295	9049287	25.3611140855628
Black or African American	Not Hispanic or Latino	40-44 years	F	7860	10340537	76.0115262872712
Black or African American	Not Hispanic or Latino	40-44 years	M	5708	9123463	62.5639628285882
Black or African American	Not Hispanic or Latino	45-49 years	F	12446	9210609	135.12678694753
Black or African American	Not Hispanic or Latino	45-49 years	M	11630	8043151	144.595072254643
Black or African American	Not Hispanic or Latino	50-54 years	F	16260	7636550	212.923375084299
Black or African American	Not Hispanic or Latino	50-54 years	M	18300	6532343	280.144505577861
Black or African American	Not Hispanic or Latino	55-59 years	F	18603	5702838	326.206004799716
Black or African American	Not Hispanic or Latino	55-59 years	M	22981	4730008	485.855415043695
Black or African American	Not Hispanic or Latino	60-64 years	F	20854	4453084	468.304662566437
Black or African American	Not Hispanic or Latino	60-64 years	M	26679	3525140	756.821005690554
Black or African American	Not Hispanic or Latino	65-69 years	F	24024	3718906	645.996430132948
Black or African American	Not Hispanic or Latino	65-69 years	M	30164	2786073	1082.67084171879
Black or African American	Not Hispanic or Latino	70-74 years	F	26203	3113441	841.609010737637
Black or African American	Not Hispanic or Latino	70-74 years	M	32133	2108189	1524.19920604841
Black or African American	Not Hispanic or Latino	75-79 years	F	26231	2499398	1049.49271784646
Black or African American	Not Hispanic or Latino	75-79 years	M	30444	1501977	2026.92850822616
Black or African American	Not Hispanic or Latino	80-84 years	F	21132	1704207	1239.99021245659
Black or African American	Not Hispanic or Latino	80-84 years	M	22483	869818	2584.79360050033
White	Not Hispanic or Latino	20-24 years	F	1755	42705590	4.10953226497983
White	Not Hispanic or Latino	20-24 years	M	2484	43675492	5.68740015567541
White	Not Hispanic or Latino	25-29 years	F	2719	40723128	6.67679555460474
White	Not Hispanic or Latino	25-29 years	M	3157	41199210	7.66276829094538
White	Not Hispanic or Latino	30-34 years	F	5954	45439511	13.1031339663845
White	Not Hispanic or Latino	30-34 years	M	5327	46078597	11.5606818497534
White	Not Hispanic or Latino	35-39 years	F	13590	51506257	26.3851438476688
White	Not Hispanic or Latino	35-39 years	M	10666	51758252	20.6073419944708
White	Not Hispanic or Latino	40-44 years	F	28626	56585763	50.5886966656259
White	Not Hispanic or Latino	40-44 years	M	23970	56429053	42.4781184968672
White	Not Hispanic or Latino	45-49 years	F	48836	54767272	89.1700430140103
White	Not Hispanic or Latino	45-49 years	M	47514	54187520	87.6843967024141
White	Not Hispanic or Latino	50-54 years	F	75242	50150113	150.033560243424
White	Not Hispanic or Latino	50-54 years	M	81275	49088689	165.567672829886
White	Not Hispanic or Latino	55-59 years	F	104250	42061184	247.853222581656
White	Not Hispanic or Latino	55-59 years	M	120807	40426612	298.830384302301
White	Not Hispanic or Latino	60-64 years	F	131609	33604952	391.635732733676
White	Not Hispanic or Latino	60-64 years	M	159935	31308616	510.83382286844
White	Not Hispanic or Latino	65-69 years	F	162042	28928441	560.147710690666
White	Not Hispanic or Latino	65-69 years	M	203735	25718224	792.181450787582
White	Not Hispanic or Latino	70-74 years	F	211634	27599305	766.809164216273
White	Not Hispanic or Latino	70-74 years	M	258829	22648385	1142.81437727238
White	Not Hispanic or Latino	75-79 years	F	248134	25545359	971.346693542259
White	Not Hispanic or Latino	75-79 years	M	282980	18465862	1532.44944644339
White	Not Hispanic or Latino	80-84 years	F	232131	19737871	1176.06909073425
White	Not Hispanic or Latino	80-84 years	M	236633	12053862	1963.13015695716
