Race	Gender	Year	Hispanic Origin	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	1999	Not Hispanic or Latino	248.525218270582	25267	11938653	211.64029141311
Black or African American	F	2000	Not Hispanic or Latino	243.902357680757	25205	12088556	208.502984144674
Black or African American	F	2001	Not Hispanic or Latino	241.743008968378	25672	12335052	208.122349220741
Black or African American	F	2002	Not Hispanic or Latino	239.346417793592	26005	12526219	207.604545314113
Black or African American	F	2003	Not Hispanic or Latino	235.390874100486	26187	12705685	206.104590189352
Black or African American	F	2004	Not Hispanic or Latino	229.161170466518	26086	12891647	202.348078565912
Black or African American	F	2005	Not Hispanic or Latino	226.113875414611	26403	13080937	201.843338898429
Black or African American	F	2006	Not Hispanic or Latino	222.020002575446	26498	13279693	199.537745337938
Black or African American	F	2007	Not Hispanic or Latino	221.010903802487	26985	13477307	200.225460472185
Black or African American	F	2008	Not Hispanic or Latino	213.452063620955	26757	13681660	195.568374013095
Black or African American	F	2009	Not Hispanic or Latino	211.171690078994	27098	13896876	194.993464718258
Black or African American	F	2010	Not Hispanic or Latino	209.802875801746	27541	14072907	195.702280985727
Black or African American	F	2011	Not Hispanic or Latino	209.142357366909	28373	14366479	197.49445915036
Black or African American	F	2012	Not Hispanic or Latino	204.40563635053	28437	14609655	194.645253430009
Black or African American	F	2013	Not Hispanic or Latino	200.341909897055	28715	14840618	193.489246876377
Black or African American	F	2014	Not Hispanic or Latino	197.399231061743	29229	15103320	193.526986119608
Black or African American	F	2015	Not Hispanic or Latino	192.391760695549	29371	15328437	191.611186450386
Black or African American	F	2016	Not Hispanic or Latino	191.713679825704	30100	15503005	194.155907193476
Black or African American	F	2017	Not Hispanic or Latino	186.662641960387	30215	15736275	192.008591613962
Black or African American	F	2018	Not Hispanic or Latino	182.650924406672	30372	15895642	191.071238267696
Black or African American	F	2019	Not Hispanic or Latino	179.178348859583	30635	16069891	190.636016137259
Black or African American	F	2020	Not Hispanic or Latino	174.712535990516	30755	16246943	189.297149623778
Black or African American	F	2021	Not Hispanic or Latino	172.489083046105	30567	16354341	186.904504437079
Black or African American	F	2022	Not Hispanic or Latino	169.970968728588	30850	16490786	187.074163717848
Black or African American	M	1999	Not Hispanic or Latino	423.900607992405	29508	10154285	290.596531415063
Black or African American	M	2000	Not Hispanic or Latino	417.525520302538	29486	10305707	286.113315660925
Black or African American	M	2001	Not Hispanic or Latino	402.739969502146	29333	10534967	278.43466429463
Black or African American	M	2002	Not Hispanic or Latino	391.477414802685	29331	10712463	273.80257929479
Black or African American	M	2003	Not Hispanic or Latino	378.260911744159	29261	10870424	269.179932631883
