Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	152	4904141	3.09942148890091
Black or African American	Not Hispanic or Latino	20-24 years	M	211	5013386	4.2087323816678
Black or African American	Not Hispanic or Latino	25-29 years	F	355	5180982	6.85198288664195
Black or African American	Not Hispanic or Latino	25-29 years	M	318	5271651	6.03226579301247
Black or African American	Not Hispanic or Latino	30-34 years	F	714	5164103	13.8262153175489
Black or African American	Not Hispanic or Latino	30-34 years	M	536	5035531	10.6443590556785
Black or African American	Not Hispanic or Latino	35-39 years	F	1322	4564824	28.9605908135779
Black or African American	Not Hispanic or Latino	35-39 years	M	859	4271949	20.107917955013
Black or African American	Not Hispanic or Latino	40-44 years	F	2218	4345933	51.0362216812822
Black or African American	Not Hispanic or Latino	40-44 years	M	1447	3949647	36.6361854616375
Black or African American	Not Hispanic or Latino	45-49 years	F	3316	4059458	81.6857816979508
Black or African American	Not Hispanic or Latino	45-49 years	M	2476	3616741	68.4594224468935
Black or African American	Not Hispanic or Latino	50-54 years	F	5558	4135774	134.388387760066
Black or African American	Not Hispanic or Latino	50-54 years	M	4650	3684666	126.198683951273
Black or African American	Not Hispanic or Latino	55-59 years	F	9710	4223086	229.926646059304
Black or African American	Not Hispanic or Latino	55-59 years	M	9317	3684049	252.901087906268
Black or African American	Not Hispanic or Latino	60-64 years	F	14416	4012493	359.277885344598
Black or African American	Not Hispanic or Latino	60-64 years	M	15722	3390287	463.736550917371
Black or African American	Not Hispanic or Latino	65-69 years	F	16263	3315232	490.553903919846
Black or African American	Not Hispanic or Latino	65-69 years	M	18973	2599098	729.984017532236
Black or African American	Not Hispanic or Latino	70-74 years	F	15517	2525613	614.385497698975
Black or African American	Not Hispanic or Latino	70-74 years	M	17834	1840747	968.845800101807
Black or African American	Not Hispanic or Latino	75-79 years	F	12400	1608056	771.117423771311
Black or African American	Not Hispanic or Latino	75-79 years	M	13500	1075567	1255.15193381723
Black or African American	Not Hispanic or Latino	80-84 years	F	10231	1052375	972.18196935503
Black or African American	Not Hispanic or Latino	80-84 years	M	9974	620058	1608.55919930071
White	Not Hispanic or Latino	20-24 years	F	456	17462377	2.61132834321467
White	Not Hispanic or Latino	20-24 years	M	657	18355140	3.57937885518716
White	Not Hispanic or Latino	25-29 years	F	914	18086242	5.05356502472985
White	Not Hispanic or Latino	25-29 years	M	1043	18960079	5.50103193135429
White	Not Hispanic or Latino	30-34 years	F	2080	19060137	10.9128281711721
White	Not Hispanic or Latino	30-34 years	M	1840	19574578	9.39994721725291
White	Not Hispanic or Latino	35-39 years	F	3988	18685335	21.3429408677982
White	Not Hispanic or Latino	35-39 years	M	3062	19143755	15.9947721854986
White	Not Hispanic or Latino	40-44 years	F	6676	17807055	37.4907585785522
White	Not Hispanic or Latino	40-44 years	M	5543	18232962	30.400984765942
White	Not Hispanic or Latino	45-49 years	F	11351	17191949	66.0250911633114
White	Not Hispanic or Latino	45-49 years	M	10286	17518712	58.7143621060726
White	Not Hispanic or Latino	50-54 years	F	21821	19379130	112.600514058165
White	Not Hispanic or Latino	50-54 years	M	21923	19647157	111.583574152739
White	Not Hispanic or Latino	55-59 years	F	40351	21591719	186.881831872673
White	Not Hispanic or Latino	55-59 years	M	45639	21276469	214.50457780377
White	Not Hispanic or Latino	60-64 years	F	65860	22715038	289.940082864929
White	Not Hispanic or Latino	60-64 years	M	80422	21866414	367.787786328385
White	Not Hispanic or Latino	65-69 years	F	82639	20865508	396.055538163748
White	Not Hispanic or Latino	65-69 years	M	104188	19366589	537.978061082414
White	Not Hispanic or Latino	70-74 years	F	98745	18028045	547.729939657905
White	Not Hispanic or Latino	70-74 years	M	122496	16170216	757.540901123399
White	Not Hispanic or Latino	75-79 years	F	99546	12888425	772.367453742408
White	Not Hispanic or Latino	75-79 years	M	118189	10931589	1081.16944389329
White	Not Hispanic or Latino	80-84 years	F	86851	8500853	1021.67394260317
White	Not Hispanic or Latino	80-84 years	M	98781	6501879	1519.26850684241
