Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	1999	30	1331673	2.25280530580706
Black or African American	Not Hispanic or Latino	20-24 years	F	2000	29	1361689	2.12970803171649
Black or African American	Not Hispanic or Latino	20-24 years	F	2001	20	1420272	1.40818096815258
Black or African American	Not Hispanic or Latino	20-24 years	F	2002	27	1452733	1.85856588925838
Black or African American	Not Hispanic or Latino	20-24 years	F	2003	28	1474407	1.89906857468799
Black or African American	Not Hispanic or Latino	20-24 years	F	2004	25	1483898	1.68475191691073
Black or African American	Not Hispanic or Latino	20-24 years	F	2005	30	1483098	2.02279282960398
Black or African American	Not Hispanic or Latino	20-24 years	F	2006	29	1487479	1.94960735580133
Black or African American	Not Hispanic or Latino	20-24 years	F	2007	34	1498025	2.26965504581032
Black or African American	Not Hispanic or Latino	20-24 years	F	2008	34	1519892	2.23700105007461
Black or African American	Not Hispanic or Latino	20-24 years	F	2009	40	1554094	2.57384688442269
Black or African American	Not Hispanic or Latino	20-24 years	F	2010	35	1587829	2.20426758800853
Black or African American	Not Hispanic or Latino	20-24 years	F	2011	33	1671217	1.97460892271919
Black or African American	Not Hispanic or Latino	20-24 years	F	2012	48	1731526	2.77212123872238
Black or African American	Not Hispanic or Latino	20-24 years	F	2013	28	1770138	1.58179757736402
Black or African American	Not Hispanic or Latino	20-24 years	F	2014	38	1785941	2.12772986341654
Black or African American	Not Hispanic or Latino	20-24 years	F	2015	26	1762150	1.47547030616009
Black or African American	Not Hispanic or Latino	20-24 years	F	2016	29	1714649	1.69130825025997
Black or African American	Not Hispanic or Latino	20-24 years	F	2017	34	1677678	2.02661058915954
Black or African American	Not Hispanic or Latino	20-24 years	F	2018	27	1643358	1.642977367074
Black or African American	Not Hispanic or Latino	20-24 years	F	2019	35	1615209	2.16690223989589
Black or African American	Not Hispanic or Latino	20-24 years	F	2020	49	1610597	3.04235013476369
Black or African American	Not Hispanic or Latino	20-24 years	F	2021	41	1607120	2.55114739409627
Black or African American	Not Hispanic or Latino	20-24 years	F	2022	35	1686424	2.07539740895528
Black or African American	Not Hispanic or Latino	20-24 years	M	1999	40	1262470	3.1683921202088
Black or African American	Not Hispanic or Latino	20-24 years	M	2000	35	1288774	2.71575931854615
Black or African American	Not Hispanic or Latino	20-24 years	M	2001	40	1354373	2.95339614714706
Black or African American	Not Hispanic or Latino	20-24 years	M	2002	31	1397013	2.21902015228205
Black or African American	Not Hispanic or Latino	20-24 years	M	2003	41	1426855	2.87345245312243
Black or African American	Not Hispanic or Latino	20-24 years	M	2004	46	1455519	3.16038471500544
Black or African American	Not Hispanic or Latino	20-24 years	M	2005	42	1467280	2.86243934354724
Black or African American	Not Hispanic or Latino	20-24 years	M	2006	31	1480574	2.09378254649886
Black or African American	Not Hispanic or Latino	20-24 years	M	2007	63	1486497	4.23815184288969
Black or African American	Not Hispanic or Latino	20-24 years	M	2008	46	1497956	3.07085121325326
Black or African American	Not Hispanic or Latino	20-24 years	M	2009	52	1522604	3.41520185156482
Black or African American	Not Hispanic or Latino	20-24 years	M	2010	40	1550237	2.5802506326452
Black or African American	Not Hispanic or Latino	20-24 years	M	2011	66	1654175	3.98990433297565
Black or African American	Not Hispanic or Latino	20-24 years	M	2012	58	1737366	3.33838696049077
Black or African American	Not Hispanic or Latino	20-24 years	M	2013	43	1794159	2.39666607028697
Black or African American	Not Hispanic or Latino	20-24 years	M	2014	49	1826372	2.68291454314893
Black or African American	Not Hispanic or Latino	20-24 years	M	2015	40	1815640	2.20307990570818
