Race	Hispanic Origin	Five-Year Age Groups	Cause of death Code	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	1999	5	1331673	0.375467550967843
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2000	14	1361689	1.02813491186313
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2001	5	1420272	0.352045242038145
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2002	12	1452733	0.826029284114837
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2003	13	1474407	0.881710409676568
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2004	10	1483898	0.673900766764292
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2005	15	1483098	1.01139641480199
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2006	14	1487479	0.941189757973054
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2007	12	1498025	0.8010547220507
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2008	14	1519892	0.921118079442487
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2009	20	1554094	1.28692344221135
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2010	15	1587829	0.944686109146514
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2011	16	1671217	0.957386144348699
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2012	18	1731526	1.03954546452089
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2013	13	1770138	0.734406018061869
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2014	13	1785941	0.727907584853027
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2015	11	1762150	0.624237437221576
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2016	14	1714649	0.816493638056535
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2017	11	1677678	0.65566813178691
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2018	5	1643358	0.304255067976667
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2019	11	1615209	0.681026418252994
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2020	20	1610597	1.24177556520967
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2021	19	1607120	1.18223903628852
Black or African American	Not Hispanic or Latino	20-24 years	I10	Female	2022	17	1686424	1.00805017006399
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	1999	5	1262470	0.3960490150261
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2000	5	1288774	0.387965616935165
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2001	12	1354373	0.886018844144117
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2002	13	1397013	0.930556838053762
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2003	12	1426855	0.841010474084613
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2004	20	1455519	1.37408031087193
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2005	16	1467280	1.09045308325609
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2006	5	1480574	0.337706862338525
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2007	20	1486497	1.34544502948879
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2008	13	1497956	0.8678492559194
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2009	17	1522604	1.11650829762696
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2010	13	1550237	0.838581455609691
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2011	20	1654175	1.20906191908353
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2012	19	1737366	1.09360952154008
