Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	125	4904141	2.54886635600404
Black or African American	Not Hispanic or Latino	20-24 years	M	196	5013386	3.90953339718905
Black or African American	Not Hispanic or Latino	25-29 years	F	405	5180982	7.81705089884504
Black or African American	Not Hispanic or Latino	25-29 years	M	633	5271651	12.0076234181663
Black or African American	Not Hispanic or Latino	30-34 years	F	1016	5164103	19.6742783790331
Black or African American	Not Hispanic or Latino	30-34 years	M	1522	5035531	30.2252135872066
Black or African American	Not Hispanic or Latino	35-39 years	F	1720	4564824	37.6794373671362
Black or African American	Not Hispanic or Latino	35-39 years	M	2873	4271949	67.2526755352182
Black or African American	Not Hispanic or Latino	40-44 years	F	2977	4345933	68.5008259446246
Black or African American	Not Hispanic or Latino	40-44 years	M	4804	3949647	121.631122983902
Black or African American	Not Hispanic or Latino	45-49 years	F	4263	4059458	105.014019112896
Black or African American	Not Hispanic or Latino	45-49 years	M	7141	3616741	197.442946564324
Black or African American	Not Hispanic or Latino	50-54 years	F	6609	4135774	159.800801494472
Black or African American	Not Hispanic or Latino	50-54 years	M	11173	3684666	303.229655008079
Black or African American	Not Hispanic or Latino	55-59 years	F	10160	4223086	240.582360861228
Black or African American	Not Hispanic or Latino	55-59 years	M	16521	3684049	448.446804046309
Black or African American	Not Hispanic or Latino	60-64 years	F	14824	4012493	369.446127382652
Black or African American	Not Hispanic or Latino	60-64 years	M	22582	3390287	666.079302430738
Black or African American	Not Hispanic or Latino	65-69 years	F	17643	3315232	532.179950000483
Black or African American	Not Hispanic or Latino	65-69 years	M	24370	2599098	937.632978825731
Black or African American	Not Hispanic or Latino	70-74 years	F	18629	2525613	737.603108631449
Black or African American	Not Hispanic or Latino	70-74 years	M	22940	1840747	1246.23318685295
Black or African American	Not Hispanic or Latino	75-79 years	F	18099	1608056	1125.52050426105
Black or African American	Not Hispanic or Latino	75-79 years	M	18170	1075567	1689.34152870068
Black or African American	Not Hispanic or Latino	80-84 years	F	18982	1052375	1803.72965910441
Black or African American	Not Hispanic or Latino	80-84 years	M	15315	620058	2469.9302323331
White	Not Hispanic or Latino	20-24 years	F	95	17462377	0.544026738169723
White	Not Hispanic or Latino	20-24 years	M	250	18355140	1.36201630714884
White	Not Hispanic or Latino	25-29 years	F	295	18086242	1.63107405065132
White	Not Hispanic or Latino	25-29 years	M	870	18960079	4.58858847581806
White	Not Hispanic or Latino	30-34 years	F	793	19060137	4.16051574025937
White	Not Hispanic or Latino	30-34 years	M	2157	19574578	11.0193946454427
White	Not Hispanic or Latino	35-39 years	F	1879	18685335	10.0560145161968
White	Not Hispanic or Latino	35-39 years	M	4439	19143755	23.1877183969394
White	Not Hispanic or Latino	40-44 years	F	3616	17807055	20.3065582714267
White	Not Hispanic or Latino	40-44 years	M	8128	18232962	44.5786043979031
White	Not Hispanic or Latino	45-49 years	F	6125	17191949	35.6271415183933
White	Not Hispanic or Latino	45-49 years	M	13618	17518712	77.7340251954596
White	Not Hispanic or Latino	50-54 years	F	11403	19379130	58.8416507861808
White	Not Hispanic or Latino	50-54 years	M	25596	19647157	130.278390914268
White	Not Hispanic or Latino	55-59 years	F	20668	21591719	95.7218830052392
White	Not Hispanic or Latino	55-59 years	M	44285	21276469	208.140739894388
White	Not Hispanic or Latino	60-64 years	F	34339	22715038	151.172980648326
White	Not Hispanic or Latino	60-64 years	M	67502	21866414	308.70173774264
White	Not Hispanic or Latino	65-69 years	F	47189	20865508	226.157925318665
White	Not Hispanic or Latino	65-69 years	M	82279	19366589	424.850240793565
White	Not Hispanic or Latino	70-74 years	F	68062	18028045	377.534003271015
White	Not Hispanic or Latino	70-74 years	M	98493	16170216	609.101325548156
White	Not Hispanic or Latino	75-79 years	F	87330	12888425	677.584732036692
White	Not Hispanic or Latino	75-79 years	M	106144	10931589	970.984181714113
White	Not Hispanic or Latino	80-84 years	F	109141	8500853	1283.88292327841
White	Not Hispanic or Latino	80-84 years	M	108187	6501879	1663.93437958473
