Race	Gender	Year	Hispanic Origin	Cause of death Code	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	1999	Not Hispanic or Latino	I10	52.4462068503544	5171	11938653	43.3130940316299
Black or African American	F	1999	Not Hispanic or Latino	I11.0	5.50145172683322	542	11938653	4.53987564593761
Black or African American	F	1999	Not Hispanic or Latino	I11.9	20.5935455268853	2104	11938653	17.6234287067394
Black or African American	F	1999	Not Hispanic or Latino	I12.0	12.9237603906967	1291	11938653	10.8136152378329
Black or African American	F	1999	Not Hispanic or Latino	I12.9	0.463716917815755	50	8318403	0.601076913441198
Black or African American	F	1999	Not Hispanic or Latino	I13.0	0.102891596534116	10	735741	1.3591739484411
Black or African American	F	1999	Not Hispanic or Latino	I13.1	3.07742247071731	317	11938653	2.65524092207052
Black or African American	F	1999	Not Hispanic or Latino	I13.2	2.58944610340514	253	10544813	2.39928389436588
Black or African American	F	1999	Not Hispanic or Latino	I13.9	0.371420926664815	40	6581173	0.607794385590532
Black or African American	F	2000	Not Hispanic or Latino	I10	134.763118441087	13443	12088556	111.204348972698
Black or African American	F	2000	Not Hispanic or Latino	I11.0	3.82400601148937	383	10726867	3.57047402564048
Black or African American	F	2000	Not Hispanic or Latino	I11.9	29.9918182976273	3097	12088556	25.6192716483259
Black or African American	F	2000	Not Hispanic or Latino	I12.0	14.2188016389204	1450	10726867	13.5174604103882
Black or African American	F	2000	Not Hispanic or Latino	I12.9	0.605155257979645	66	10743449	0.614327856910756
Black or African American	F	2000	Not Hispanic or Latino	I13.1	3.4828418737677	358	12088556	2.96147860836315
Black or African American	F	2000	Not Hispanic or Latino	I13.2	0.918911216288472	92	7996868	1.15045040133212
Black or African American	F	2000	Not Hispanic or Latino	I13.9	0.37942966200665	40	5833143	0.685736660321888
Black or African American	F	2001	Not Hispanic or Latino	I10	132.53182771129	13573	12335052	110.03601768359
Black or African American	F	2001	Not Hispanic or Latino	I11.0	3.39210035549336	350	10914780	3.20666105959076
Black or African American	F	2001	Not Hispanic or Latino	I11.9	29.817766168624	3178	12335052	25.7639773225115
Black or African American	F	2001	Not Hispanic or Latino	I12.0	14.0556905350269	1477	12335052	11.9740070816078
Black or African American	F	2001	Not Hispanic or Latino	I12.9	0.527932480375972	57	8221665	0.693290227709351
Black or African American	F	2001	Not Hispanic or Latino	I13.1	3.36531979316304	354	12335052	2.8698703499588
Black or African American	F	2001	Not Hispanic or Latino	I13.2	0.814156066876948	83	7155405	1.15996229423771
Black or African American	F	2001	Not Hispanic or Latino	I13.9	0.275123893085306	30	4814744	0.623086087235375
Black or African American	F	2002	Not Hispanic or Latino	I10	134.40217262863	14041	12526219	112.092882936184
Black or African American	F	2002	Not Hispanic or Latino	I11.0	3.06391457501597	324	11073486	2.9259078848341
Black or African American	F	2002	Not Hispanic or Latino	I11.9	29.2913116118109	3211	12526219	25.6342316863532
Black or African American	F	2002	Not Hispanic or Latino	I12.0	13.9957527318764	1502	12526219	11.990848954501
Black or African American	F	2002	Not Hispanic or Latino	I12.9	0.694954148970561	77	11073486	0.695354651642672
Black or African American	F	2002	Not Hispanic or Latino	I13.0	0.045719219153061	5	530031	0.943341049863121
Black or African American	F	2002	Not Hispanic or Latino	I13.1	3.44006001505891	372	12526219	2.96977084625456
Black or African American	F	2002	Not Hispanic or Latino	I13.2	0.783594364722406	85	9779750	0.8691428717503
Black or African American	F	2002	Not Hispanic or Latino	I13.9	0.27417273957996	30	4081596	0.735006600359271
Black or African American	F	2003	Not Hispanic or Latino	I10	135.843810571926	14518	12705685	114.263811829114
Black or African American	F	2003	Not Hispanic or Latino	I11.0	3.13943722480397	348	11231278	3.09848977115516
Black or African American	F	2003	Not Hispanic or Latino	I11.9	29.9094076782935	3387	12705685	26.657358497397
Black or African American	F	2003	Not Hispanic or Latino	I12.0	15.0229202977937	1646	12705685	12.9548308493403
Black or African American	F	2003	Not Hispanic or Latino	I12.9	0.434076779007993	50	8437146	0.592617456187199
Black or African American	F	2003	Not Hispanic or Latino	I13.1	3.09159482430535	344	12705685	2.70744946061546
Black or African American	F	2003	Not Hispanic or Latino	I13.2	0.787276729979832	86	9843234	0.873696591994054
Black or African American	F	2003	Not Hispanic or Latino	I13.9	0.239518299705528	25	2253373	1.10944792539895
Black or African American	F	2004	Not Hispanic or Latino	I10	134.981255572527	14713	12891647	114.128163763715
Black or African American	F	2004	Not Hispanic or Latino	I11.0	2.9084754002185	327	11407749	2.86647260559467
Black or African American	F	2004	Not Hispanic or Latino	I11.9	28.8428212417834	3331	12891647	25.8384363146152
Black or African American	F	2004	Not Hispanic or Latino	I12.0	14.8528320879381	1649	12891647	12.7912283046534
Black or African American	F	2004	Not Hispanic or Latino	I12.9	0.523391006332587	61	10083066	0.604974717015638
Black or African American	F	2004	Not Hispanic or Latino	I13.1	3.10335777793451	353	12891647	2.73820715072326
Black or African American	F	2004	Not Hispanic or Latino	I13.2	0.485704305528525	54	5787991	0.932966205372469
Black or African American	F	2004	Not Hispanic or Latino	I13.9	0.300410433567673	35	5432474	0.644273677149674
Black or African American	F	2005	Not Hispanic or Latino	I10	136.086915202166	15180	13080937	116.046732737877
Black or African American	F	2005	Not Hispanic or Latino	I11.0	2.77589397072746	315	11597839	2.71602321777359
Black or African American	F	2005	Not Hispanic or Latino	I11.9	27.3360127208938	3228	13080937	24.6771313094773
Black or African American	F	2005	Not Hispanic or Latino	I12.0	15.0563846322713	1720	13080937	13.1489051587054
Black or African American	F	2005	Not Hispanic or Latino	I12.9	0.453936994009455	55	10246900	0.53674769930418
Black or African American	F	2005	Not Hispanic or Latino	I13.1	2.79670496290233	323	13080937	2.46924207340804
Black or African American	F	2005	Not Hispanic or Latino	I13.2	0.856956672439283	95	8728546	1.08838287613997
Black or African American	F	2005	Not Hispanic or Latino	I13.9	0.294039770004587	35	6226227	0.562138193805012
Black or African American	F	2006	Not Hispanic or Latino	I10	131.680631287192	15032	13279693	113.195387875307
Black or African American	F	2006	Not Hispanic or Latino	I11.0	5.88276723432971	674	11792214	5.71563575762787
Black or African American	F	2006	Not Hispanic or Latino	I11.9	28.3876204401757	3451	13279693	25.9870465378981
Black or African American	F	2006	Not Hispanic or Latino	I12.0	18.4079809983859	2131	13279693	16.0470577143613
Black or African American	F	2006	Not Hispanic or Latino	I12.9	0.560163223620042	68	11792214	0.576651678811121
Black or African American	F	2006	Not Hispanic or Latino	I13.0	0.211055813453759	25	4261758	0.586612379210645
Black or African American	F	2006	Not Hispanic or Latino	I13.1	2.54798186230982	307	13279693	2.31180043092864
Black or African American	F	2006	Not Hispanic or Latino	I13.2	1.50100406228804	168	9065685	1.85314181995073
Black or African American	F	2006	Not Hispanic or Latino	I13.9	0.182413195415873	20	2362864	0.846430433575525
Black or African American	F	2007	Not Hispanic or Latino	I10	127.416394282695	14879	13477307	110.400393787869
Black or African American	F	2007	Not Hispanic or Latino	I11.0	5.923832371103	691	10544637	6.55309424117682
Black or African American	F	2007	Not Hispanic or Latino	I11.9	27.9261785093205	3474	13477307	25.7766629490595
Black or African American	F	2007	Not Hispanic or Latino	I12.0	17.5995294748697	2092	13477307	15.5223888570617
Black or African American	F	2007	Not Hispanic or Latino	I12.9	0.55210709093768	67	10544637	0.63539408706056
Black or African American	F	2007	Not Hispanic or Latino	I13.0	0.0766095938522804	10	1361500	0.734484024972457
Black or African American	F	2007	Not Hispanic or Latino	I13.1	2.52233312240396	307	13477307	2.27790314489386
Black or African American	F	2007	Not Hispanic or Latino	I13.2	1.4860350640513	172	10544637	1.63116093991666
Black or African American	F	2007	Not Hispanic or Latino	I13.9	0.289641815115429	35	6514082	0.537297504084229
Black or African American	F	2007	Not Hispanic or Latino	I15.0	0.0511841769428571	5	368272	1.35769214059174
Black or African American	F	2007	Not Hispanic or Latino	I15.9	0.0357267622115315	5	768767	0.650392121409998
Black or African American	F	2008	Not Hispanic or Latino	I10	126.686862849533	15112	13681660	110.454433160888
Black or African American	F	2008	Not Hispanic or Latino	I11.0	6.31864809266705	760	13681660	5.55488149829772
Black or African American	F	2008	Not Hispanic or Latino	I11.9	27.2996942435021	3488	13681660	25.4939824553453
Black or African American	F	2008	Not Hispanic or Latino	I12.0	17.2554176393204	2106	13681660	15.3928689939671
Black or African American	F	2008	Not Hispanic or Latino	I12.9	0.572280325253529	69	10706903	0.644444056325158
Black or African American	F	2008	Not Hispanic or Latino	I13.0	0.0796909837044126	10	1841865	0.542927956174855
Black or African American	F	2008	Not Hispanic or Latino	I13.1	2.60916937940454	326	12161768	2.68053131748608
Black or African American	F	2008	Not Hispanic or Latino	I13.2	1.32687064315314	160	10706903	1.49436302915979
Black or African American	F	2008	Not Hispanic or Latino	I13.9	0.26287708902883	35	7081045	0.494277327710811
Black or African American	F	2008	Not Hispanic or Latino	I15.0	0.0343735365881778	5	1485776	0.336524482829175
Black or African American	F	2008	Not Hispanic or Latino	I15.9	0.0805498213251084	10	1295662	0.771806227241364
Black or African American	F	2009	Not Hispanic or Latino	I10	122.426999154543	14932	13896876	107.448609313345
Black or African American	F	2009	Not Hispanic or Latino	I11.0	6.12698947605979	748	13896876	5.38250467227311
Black or African American	F	2009	Not Hispanic or Latino	I11.9	27.9510170218946	3663	13896876	26.3584419980433
Black or African American	F	2009	Not Hispanic or Latino	I12.0	16.0443760011866	1994	13896876	14.3485485514874
Black or African American	F	2009	Not Hispanic or Latino	I12.9	0.485377025213693	62	11144305	0.556337968137089
Black or African American	F	2009	Not Hispanic or Latino	I13.0	0.176387658612831	20	2633910	0.759327387799887
Black or African American	F	2009	Not Hispanic or Latino	I13.1	2.47162770512295	312	12342782	2.52779316688896
Black or African American	F	2009	Not Hispanic or Latino	I13.2	1.21222313427489	147	12342782	1.19097947286114
Black or African American	F	2009	Not Hispanic or Latino	I13.9	0.309502651134463	40	7485759	0.534347953226921
Black or African American	F	2009	Not Hispanic or Latino	I15.0	0.0377759679101145	5	641482	0.779445097446226
Black or African American	F	2009	Not Hispanic or Latino	I15.9	0.0377759679101145	5	641482	0.779445097446226
