Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2020	49	1610597	3.04235013476369
Black or African American	Not Hispanic or Latino	20-24 years	F	2021	41	1607120	2.55114739409627
Black or African American	Not Hispanic or Latino	20-24 years	F	2022	35	1686424	2.07539740895528
Black or African American	Not Hispanic or Latino	20-24 years	M	2020	64	1652385	3.87318935962261
Black or African American	Not Hispanic or Latino	20-24 years	M	2021	67	1642560	4.07899863627508
Black or African American	Not Hispanic or Latino	20-24 years	M	2022	65	1718441	3.78249820622297
Black or African American	Not Hispanic or Latino	25-29 years	F	2020	150	1789798	8.3808340382546
Black or African American	Not Hispanic or Latino	25-29 years	F	2021	134	1717789	7.80072523458935
Black or African American	Not Hispanic or Latino	25-29 years	F	2022	121	1673395	7.23080922316608
Black or African American	Not Hispanic or Latino	25-29 years	M	2020	222	1830579	12.1273105394523
Black or African American	Not Hispanic or Latino	25-29 years	M	2021	216	1736416	12.4394154396182
Black or African American	Not Hispanic or Latino	25-29 years	M	2022	195	1704656	11.4392581259797
Black or African American	Not Hispanic or Latino	30-34 years	F	2020	312	1669692	18.6860810257221
Black or African American	Not Hispanic or Latino	30-34 years	F	2021	335	1727635	19.3906699042332
Black or African American	Not Hispanic or Latino	30-34 years	F	2022	369	1766776	20.8854999162316
Black or African American	Not Hispanic or Latino	30-34 years	M	2020	516	1617245	31.906111937276
Black or African American	Not Hispanic or Latino	30-34 years	M	2021	510	1678798	30.3788782212035
Black or African American	Not Hispanic or Latino	30-34 years	M	2022	496	1739488	28.5141374933314
Black or African American	Not Hispanic or Latino	35-39 years	F	2020	539	1502992	35.8618009942834
Black or African American	Not Hispanic or Latino	35-39 years	F	2021	615	1528319	40.2402901488498
Black or African American	Not Hispanic or Latino	35-39 years	F	2022	566	1533513	36.9087187392608
Black or African American	Not Hispanic or Latino	35-39 years	M	2020	880	1383849	63.5907530373617
Black or African American	Not Hispanic or Latino	35-39 years	M	2021	1009	1434313	70.3472672980026
Black or African American	Not Hispanic or Latino	35-39 years	M	2022	984	1453787	67.6852936503078
Black or African American	Not Hispanic or Latino	40-44 years	F	2020	920	1414368	65.0467205140388
Black or African American	Not Hispanic or Latino	40-44 years	F	2021	1087	1459174	74.4942001433688
Black or African American	Not Hispanic or Latino	40-44 years	F	2022	970	1472391	65.8792399573211
Black or African American	Not Hispanic or Latino	40-44 years	M	2020	1528	1265505	120.742312357517
Black or African American	Not Hispanic or Latino	40-44 years	M	2021	1738	1329536	130.722297102147
Black or African American	Not Hispanic or Latino	40-44 years	M	2022	1538	1354606	113.538549216525
Black or African American	Not Hispanic or Latino	45-49 years	F	2020	1465	1375619	106.497511302185
Black or African American	Not Hispanic or Latino	45-49 years	F	2021	1510	1349300	111.90987919662
Black or African American	Not Hispanic or Latino	45-49 years	F	2022	1288	1334539	96.5127283653756
Black or African American	Not Hispanic or Latino	45-49 years	M	2020	2451	1207681	202.950944827318
Black or African American	Not Hispanic or Latino	45-49 years	M	2021	2472	1208836	204.494240740679
Black or African American	Not Hispanic or Latino	45-49 years	M	2022	2218	1200224	184.798837550324
Black or African American	Not Hispanic or Latino	50-54 years	F	2020	2221	1370203	162.092770195365
Black or African American	Not Hispanic or Latino	50-54 years	F	2021	2421	1385068	174.792862155504
Black or African American	Not Hispanic or Latino	50-54 years	F	2022	1967	1380503	142.484297390154
Black or African American	Not Hispanic or Latino	50-54 years	M	2020	3781	1200964	314.830419562951
Black or African American	Not Hispanic or Latino	50-54 years	M	2021	3930	1241322	316.59794960534
Black or African American	Not Hispanic or Latino	50-54 years	M	2022	3462	1242380	278.658703456269
Black or African American	Not Hispanic or Latino	55-59 years	F	2020	3544	1421662	249.285695193372
Black or African American	Not Hispanic or Latino	55-59 years	F	2021	3548	1417403	250.316952906125
Black or African American	Not Hispanic or Latino	55-59 years	F	2022	3068	1384021	221.672937043585
Black or African American	Not Hispanic or Latino	55-59 years	M	2020	5704	1221168	467.093798723845
Black or African American	Not Hispanic or Latino	55-59 years	M	2021	5790	1245183	464.991892757932
Black or African American	Not Hispanic or Latino	55-59 years	M	2022	5027	1217698	412.828139653674
Black or African American	Not Hispanic or Latino	60-64 years	F	2020	5069	1329313	381.324789571756
Black or African American	Not Hispanic or Latino	60-64 years	F	2021	5187	1343674	386.031135528409
Black or African American	Not Hispanic or Latino	60-64 years	F	2022	4568	1339506	341.021242159423
Black or African American	Not Hispanic or Latino	60-64 years	M	2020	7768	1102596	704.519152980784
Black or African American	Not Hispanic or Latino	60-64 years	M	2021	7817	1145296	682.530978891047
Black or African American	Not Hispanic or Latino	60-64 years	M	2022	6997	1142395	612.485173692112
Black or African American	Not Hispanic or Latino	65-69 years	F	2020	5913	1077483	548.778959853659
Black or African American	Not Hispanic or Latino	65-69 years	F	2021	6229	1106116	563.1416596451
Black or African American	Not Hispanic or Latino	65-69 years	F	2022	5501	1131633	486.111663410311
Black or African American	Not Hispanic or Latino	65-69 years	M	2020	8162	827816	985.967896247475
