"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	33	1434062	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	13	1481909	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	17	1452923	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	12	1418581	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	17	1362588	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	17	1324773	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	17	1304750	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	13	1289803	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	26	1310330	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	21	1333171	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	49	1358867	3.6
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	44	1392961	3.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	57	1384382	4.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	64	1392230	4.6
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	68	1381972	4.9
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	87	1397164	6.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	95	1447650	6.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	122	1464836	8.3
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	159	1495899	10.6
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	192	1498428	12.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	238	1506274	15.8
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	282	1514646	18.6
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	340	1480516	23.0
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	390	1479726	26.4
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	426	1447197	29.4
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	494	1402162	35.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	579	1373558	42.2
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	598	1314625	45.5
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	659	1277740	51.6
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	668	1223170	54.6
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	808	1186801	68.1
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	859	1154635	74.4
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	976	1102039	88.6
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	973	1067446	91.2
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	1021	979857	104.2
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	1099	923480	119.0
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	1156	856085	135.0
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	1226	801302	153.0
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	1216	754449	161.2
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	1328	716127	185.4
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	1374	692335	198.5
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	1548	670866	230.7
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	1649	633296	260.4
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	1697	610124	278.1
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	1777	590332	301.0
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	1938	571532	339.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	2081	559048	372.2
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	2189	539266	405.9
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	2299	530728	433.2
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	2343	499141	469.4
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	2628	480299	547.2
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	2616	472777	553.3
	"Black or African American"	"2054-5"	"Female"	"F"	"71 years"	"71"	2807	453067	619.6
	"Black or African American"	"2054-5"	"Female"	"F"	"72 years"	"72"	3038	441394	688.3
	"Black or African American"	"2054-5"	"Female"	"F"	"73 years"	"73"	3134	427699	732.8
	"Black or African American"	"2054-5"	"Female"	"F"	"74 years"	"74"	3322	411089	808.1
	"Black or African American"	"2054-5"	"Female"	"F"	"75 years"	"75"	3719	396132	938.8
	"Black or African American"	"2054-5"	"Female"	"F"	"76 years"	"76"	3733	375426	994.3
	"Black or African American"	"2054-5"	"Female"	"F"	"77 years"	"77"	3905	356406	1095.7
	"Black or African American"	"2054-5"	"Female"	"F"	"78 years"	"78"	3999	332370	1203.2
	"Black or African American"	"2054-5"	"Female"	"F"	"79 years"	"79"	3996	305121	1309.6
	"Black or African American"	"2054-5"	"Female"	"F"	"80 years"	"80"	4061	290689	1397.0
	"Black or African American"	"2054-5"	"Female"	"F"	"81 years"	"81"	4092	259966	1574.1
	"Black or African American"	"2054-5"	"Female"	"F"	"82 years"	"82"	4213	235949	1785.6
	"Black or African American"	"2054-5"	"Female"	"F"	"83 years"	"83"	3986	214394	1859.2
	"Black or African American"	"2054-5"	"Female"	"F"	"84 years"	"84"	4013	189667	2115.8
	"Black or African American"	"2054-5"	"Female"	"F"	"85 years"	"85"	4062	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"86 years"	"86"	4118	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"87 years"	"87"	4009	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"88 years"	"88"	3751	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"89 years"	"89"	3702	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"90 years"	"90"	3408	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"91 years"	"91"	3145	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"92 years"	"92"	2829	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"93 years"	"93"	2638	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"94 years"	"94"	2208	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"95 years"	"95"	1996	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"96 years"	"96"	1647	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"97 years"	"97"	1428	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"98 years"	"98"	1120	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"99 years"	"99"	894	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"100+ years"	"100"	2600	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"0"	37	1479379	2.5
	"Black or African American"	"2054-5"	"Male"	"M"	"18 years"	"18"	13	1516083	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"19 years"	"19"	13	1511969	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"20 years"	"20"	18	1468713	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"21 years"	"21"	14	1408231	Unreliable
	"Black or African American"	"2054-5"	"Male"	"M"	"22 years"	"22"	29	1350033	2.1
	"Black or African American"	"2054-5"	"Male"	"M"	"23 years"	"23"	30	1276951	2.3
	"Black or African American"	"2054-5"	"Male"	"M"	"24 years"	"24"	26	1225557	2.1
	"Black or African American"	"2054-5"	"Male"	"M"	"25 years"	"25"	26	1191902	2.2
	"Black or African American"	"2054-5"	"Male"	"M"	"26 years"	"26"	42	1162024	3.6
	"Black or African American"	"2054-5"	"Male"	"M"	"27 years"	"27"	53	1177636	4.5
	"Black or African American"	"2054-5"	"Male"	"M"	"28 years"	"28"	59	1194447	4.9
