"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	"2004"	"2004"	11	266131	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	"2008"	"2008"	10	290979	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	"2008"	"2008"	15	299318	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	"2008"	"2008"	10	295990	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2001"	"2001"	15	273287	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2003"	"2003"	11	250834	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2004"	"2004"	11	257747	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2007"	"2007"	13	263206	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2008"	"2008"	13	277106	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2010"	"2010"	10	294300	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2015"	"2015"	13	304709	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2016"	"2016"	11	309920	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2018"	"2018"	10	346376	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2000"	"2000"	15	287649	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2001"	"2001"	10	288905	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2004"	"2004"	10	254504	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2008"	"2008"	10	271120	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2009"	"2009"	11	286514	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2011"	"2011"	13	291207	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2012"	"2012"	15	293674	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2013"	"2013"	11	292983	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2015"	"2015"	10	304406	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2018"	"2018"	11	325150	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2020 "	"2020"	20	369804	5.4
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"1999"	"1999"	13	267952	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2000"	"2000"	10	265360	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2001"	"2001"	12	289179	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2002"	"2002"	11	288164	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2003"	"2003"	11	273727	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2006"	"2006"	10	260644	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2009"	"2009"	15	267906	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2010"	"2010"	11	278760	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2013"	"2013"	12	294534	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2014"	"2014"	10	295212	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2016"	"2016"	13	304808	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2019"	"2019"	13	325824	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2020 "	"2020"	11	348247	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"1999"	"1999"	15	272561	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2000"	"2000"	11	270740	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2001"	"2001"	10	268151	Unreliable
