"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	12	687059	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	12	726261	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	16	741367	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	11	743226	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	27	717019	3.8
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	24	674071	3.6
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	32	640647	5.0
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	30	623626	4.8
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	46	617206	7.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	48	604035	7.9
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	35	595716	5.9
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	55	599863	9.2
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	53	598248	8.9
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	101	606374	16.7
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	94	597088	15.7
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	117	567119	20.6
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	107	553833	19.3
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	107	539332	19.8
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	145	535105	27.1
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	168	534087	31.5
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	176	533815	33.0
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	175	550784	31.8
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	183	572236	32.0
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	239	582013	41.1
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	262	557684	47.0
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	251	537367	46.7
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	281	537983	52.2
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	330	546326	60.4
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	389	568074	68.5
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	431	579038	74.4
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	477	572930	83.3
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	553	565846	97.7
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	541	563511	96.0
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	623	569317	109.4
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	668	560747	119.1
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	692	537845	128.7
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	824	526368	156.5
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	831	512571	162.1
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	827	493746	167.5
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	887	472160	187.9
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	942	442272	213.0
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	924	415039	222.6
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	896	400660	223.6
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	927	390315	237.5
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	936	368137	254.3
	"Black or African American"	"2054-5"	"Female"	"F"	"71 years"	"71"	995	343344	289.8
	"Black or African American"	"2054-5"	"Female"	"F"	"72 years"	"72"	1004	323009	310.8
	"Black or African American"	"2054-5"	"Female"	"F"	"73 years"	"73"	987	280872	351.4
	"Black or African American"	"2054-5"	"Female"	"F"	"74 years"	"74"	865	247480	349.5
	"Black or African American"	"2054-5"	"Female"	"F"	"75 years"	"75"	916	236284	387.7
	"Black or African American"	"2054-5"	"Female"	"F"	"76 years"	"76"	985	224027	439.7
	"Black or African American"	"2054-5"	"Female"	"F"	"77 years"	"77"	1043	208136	501.1
	"Black or African American"	"2054-5"	"Female"	"F"	"78 years"	"78"	987	188847	522.6
	"Black or African American"	"2054-5"	"Female"	"F"	"79 years"	"79"	1002	177373	564.9
	"Black or African American"	"2054-5"	"Female"	"F"	"80 years"	"80"	1005	162313	619.2
	"Black or African American"	"2054-5"	"Female"	"F"	"81 years"	"81"	1060	148109	715.7
	"Black or African American"	"2054-5"	"Female"	"F"	"82 years"	"82"	1040	137234	757.8
	"Black or African American"	"2054-5"	"Female"	"F"	"83 years"	"83"	994	127297	780.9
	"Black or African American"	"2054-5"	"Female"	"F"	"84 years"	"84"	1028	118844	865.0
	"Black or African American"	"2054-5"	"Female"	"F"	"85 years"	"85"	1070	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"86 years"	"86"	1034	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"87 years"	"87"	1064	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"88 years"	"88"	958	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"89 years"	"89"	1063	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"90 years"	"90"	933	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"91 years"	"91"	921	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"92 years"	"92"	832	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"93 years"	"93"	778	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"94 years"	"94"	677	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"95 years"	"95"	586	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"96 years"	"96"	478	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"97 years"	"97"	449	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"98 years"	"98"	359	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"99 years"	"99"	285	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"100+ years"	"100"	787	Not Applicable	Not Applicable
