"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"1999"	"1999"	Suppressed	280072	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2000"	"2000"	Suppressed	283794	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2001"	"2001"	Suppressed	296820	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2002"	"2002"	Suppressed	289527	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2003"	"2003"	Suppressed	283849	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"1999"	"1999"	Suppressed	284008	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2000"	"2000"	Suppressed	286737	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2001"	"2001"	Suppressed	286195	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2002"	"2002"	0	296024	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2003"	"2003"	Suppressed	288700	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"1999"	"1999"	Suppressed	282877	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2000"	"2000"	0	286215	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2001"	"2001"	0	283697	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2002"	"2002"	0	286087	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2003"	"2003"	Suppressed	295981	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"1999"	"1999"	0	284698	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2000"	"2000"	Suppressed	287829	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2001"	"2001"	0	286757	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2002"	"2002"	Suppressed	283844	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2003"	"2003"	Suppressed	286352	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"1999"	"1999"	Suppressed	305860	Suppressed
