"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	13	1483843	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	10	1631059	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	15	1716115	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	13	1767180	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	14	1799110	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	12	1795270	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	23	1762532	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	21	1710639	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	26	1646937	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	47	1587424	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	41	1538392	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	50	1513514	3.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	74	1501141	4.9
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	63	1492021	4.2
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	94	1494700	6.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	113	1489321	7.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	109	1470285	7.4
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	135	1447654	9.3
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	153	1415395	10.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	168	1379865	12.2
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	170	1355443	12.5
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	189	1349222	14.0
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	238	1355060	17.6
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	286	1385869	20.6
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	277	1406475	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	365	1413676	25.8
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	381	1413825	26.9
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	449	1405094	32.0
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	466	1393012	33.5
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	564	1396983	40.4
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	612	1420021	43.1
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	725	1437908	50.4
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	843	1452834	58.0
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	917	1459511	62.8
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	1083	1458921	74.2
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	1063	1447329	73.4
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	1216	1430252	85.0
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	1331	1414152	94.1
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	1442	1385047	104.1
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	1543	1343589	114.8
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	1632	1300498	125.5
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	1629	1250559	130.3
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	1806	1190667	151.7
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	1883	1139956	165.2
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	1798	1089219	165.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	1977	1037878	190.5
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	1985	991352	200.2
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	1997	946492	211.0
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	1847	869966	212.3
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	1986	800316	248.2
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	1970	736327	267.5
	"Black or African American"	"2054-5"	"Female"	"F"	"71 years"	"71"	2030	680981	298.1
	"Black or African American"	"2054-5"	"Female"	"F"	"72 years"	"72"	2073	622412	333.1
	"Black or African American"	"2054-5"	"Female"	"F"	"73 years"	"73"	2150	589465	364.7
	"Black or African American"	"2054-5"	"Female"	"F"	"74 years"	"74"	2071	553730	374.0
	"Black or African American"	"2054-5"	"Female"	"F"	"75 years"	"75"	2149	516553	416.0
	"Black or African American"	"2054-5"	"Female"	"F"	"76 years"	"76"	2192	478610	458.0
	"Black or African American"	"2054-5"	"Female"	"F"	"77 years"	"77"	2182	446610	488.6
	"Black or African American"	"2054-5"	"Female"	"F"	"78 years"	"78"	2281	418430	545.1
	"Black or African American"	"2054-5"	"Female"	"F"	"79 years"	"79"	2228	390229	570.9
	"Black or African American"	"2054-5"	"Female"	"F"	"80 years"	"80"	2375	364188	652.1
	"Black or African American"	"2054-5"	"Female"	"F"	"81 years"	"81"	2407	338259	711.6
	"Black or African American"	"2054-5"	"Female"	"F"	"82 years"	"82"	2513	313135	802.5
	"Black or African American"	"2054-5"	"Female"	"F"	"83 years"	"83"	2487	285961	869.7
	"Black or African American"	"2054-5"	"Female"	"F"	"84 years"	"84"	2532	261797	967.2
	"Black or African American"	"2054-5"	"Female"	"F"	"85 years"	"85"	2547	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"86 years"	"86"	2519	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"87 years"	"87"	2535	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"88 years"	"88"	2467	Not Applicable	Not Applicable
