"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"1999"	"1999"	Suppressed	280072	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2000"	"2000"	Suppressed	283794	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2001"	"2001"	Suppressed	296820	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2002"	"2002"	Suppressed	289527	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2003"	"2003"	Suppressed	283849	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2004"	"2004"	Suppressed	285612	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2005"	"2005"	Suppressed	286197	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2006"	"2006"	Suppressed	292848	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	307533	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	308940	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	303502	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	297421	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	300740	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	297309	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	296741	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	297735	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	300980	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	298919	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	296615	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	289594	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2019"	"2019"	Suppressed	284243	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2020 "	"2020"	Suppressed	289028	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"1999"	"1999"	Suppressed	1157443	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2000"	"2000"	Suppressed	1157506	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2001"	"2001"	Suppressed	1144959	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2002"	"2002"	Suppressed	1153940	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2003"	"2003"	Suppressed	1156635	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2004"	"2004"	Suppressed	1157073	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2005"	"2005"	Suppressed	1157560	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2006"	"2006"	Suppressed	1148720	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	1153549	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	1178457	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	1203124	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2010"	"2010"	0	1216870	Unreliable
