Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	35 years	35	613	6009036	10.2013035035903
Black or African American	Female	F	40 years	40	1205	5667558	21.2613615952408
Black or African American	Female	F	45 years	45	1847	5438221	33.9633126347752
Black or African American	Female	F	50 years	50	3087	5488979	56.2399673964867
Black or African American	Female	F	55 years	55	5249	5660341	92.7329289878472
Black or African American	Female	F	60 years	60	7790	5296077	147.090006433064
Black or African American	Female	F	65 years	65	9272	4314731	214.891727896826
Black or African American	Female	F	70 years	70	9909	3249083	304.978358509155
Black or African American	Female	F	75 years	75	9905	2067926	478.982323351996
Black or African American	Female	F	80 years	80	10024	1373158	729.996111153997
Black or African American	Female	F	85 years	85	22905	1402761	1632.85121271549
Black or African American	Male	M	35 years	35	1290	5581235	23.1131640219414
Black or African American	Male	M	40 years	40	2432	5115540	47.5414130277546
Black or African American	Male	M	45 years	45	3917	4826437	81.1571766087489
Black or African American	Male	M	50 years	50	6670	4868646	136.999075307591
Black or African American	Male	M	55 years	55	10637	4920148	216.19268363472
Black or African American	Male	M	60 years	60	15258	4451966	342.724989364249
Black or African American	Male	M	65 years	65	16093	3362848	478.552702947026
Black or African American	Male	M	70 years	70	14870	2376350	625.7495739264
Black or African American	Male	M	75 years	75	11752	1381577	850.622151353128
Black or African American	Male	M	80 years	80	9637	813726	1184.30528212199
Black or African American	Male	M	85 years	85	12831	621750	2063.69119420989
White	Female	F	35 years	35	1014	24840720	4.082007284813
White	Female	F	40 years	40	2170	23381290	9.28092504733486
White	Female	F	45 years	45	4275	23390537	18.2766218663556
White	Female	F	50 years	50	8106	26071782	31.0910853734509
White	Female	F	55 years	55	15788	29485286	53.5453514000169
White	Female	F	60 years	60	25585	30359446	84.2736063102074
White	Female	F	65 years	65	33696	27549841	122.309235831887
White	Female	F	70 years	70	45709	23775133	192.255496530766
White	Female	F	75 years	75	54721	16547260	330.695232926781
White	Female	F	80 years	80	65112	11099730	586.608863458841
White	Female	F	85 years	85	222682	12483666	1783.78691003108
White	Male	M	35 years	35	2792	25327637	11.0235313306172
White	Male	M	40 years	40	6220	23805961	26.1279097281559
White	Male	M	45 years	45	12023	23680927	50.7708165309576
White	Male	M	50 years	50	24617	26198621	93.9629608749254
White	Male	M	55 years	55	43847	28852047	151.971886084894
White	Male	M	60 years	60	67010	29049580	230.674591508724
White	Male	M	65 years	65	80671	25457118	316.889759477094
White	Male	M	70 years	70	92572	21328476	434.030073222297
White	Male	M	75 years	75	96170	13975529	688.131375921441
White	Male	M	80 years	80	95049	8501686	1118.00177047235
White	Male	M	85 years	85	194790	7237749	2691.30637163571
