Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	0 years	0	1999	1999	10	280072	3.57051044017253
	Black	2054-5	Female	F	0 years	0	2000	2000	8	287034	2.78712626378757
	Black	2054-5	Female	F	0 years	0	2001	2001	9	296820	3.03214069132808
	Black	2054-5	Female	F	0 years	0	2002	2002	12	289527	4.14469116869929
	Black	2054-5	Female	F	1 years	1	1999	1999	1	284008	0.352102757668798
	Black	2054-5	Female	F	1 years	1	2000	2000	1	284007	0.352103997436683
	Black	2054-5	Female	F	1 years	1	2001	2001	1	286195	0.349412114117996
	Black	2054-5	Female	F	1 years	1	2003	2003	1	288700	0.346380325597506
	Black	2054-5	Female	F	2 years	2	1999	1999	2	282877	0.707021072763074
	Black	2054-5	Female	F	2 years	2	2003	2003	2	295981	0.675719049533585
	Black	2054-5	Female	F	3 years	3	2000	2000	1	287708	0.347574624271831
	Black	2054-5	Female	F	3 years	3	2002	2002	2	283844	0.704612392722763
	Black	2054-5	Female	F	3 years	3	2003	2003	1	286352	0.349220539755266
	Black	2054-5	Female	F	4 years	4	1999	1999	1	305860	0.326946969201595
	Black	2054-5	Female	F	4 years	4	2001	2001	1	288310	0.34684887794388
	Black	2054-5	Female	F	5 years	5	2001	2001	1	294497	0.339562032889978
	Black	2054-5	Female	F	5 years	5	2002	2002	1	289265	0.345703766442535
	Black	2054-5	Female	F	5 years	5	2003	2003	1	289155	0.345835278656776
	Black	2054-5	Female	F	6 years	6	1999	1999	2	322010	0.621098723642123
	Black	2054-5	Female	F	7 years	7	1999	1999	1	329774	0.303237975098097
	Black	2054-5	Female	F	9 years	9	2001	2001	1	331842	0.301348231989923
	Black	2054-5	Female	F	9 years	9	2002	2002	1	327932	0.304941268311723
	Black	2054-5	Female	F	9 years	9	2003	2003	1	318972	0.313507141692688
	Black	2054-5	Female	F	11 years	11	2003	2003	2	337537	0.592527634007531
	Black	2054-5	Female	F	12 years	12	1999	1999	2	301780	0.662734442308967
	Black	2054-5	Female	F	12 years	12	2001	2001	1	325901	0.306841648230598
	Black	2054-5	Female	F	12 years	12	2002	2002	1	347189	0.288027558476795
	Black	2054-5	Female	F	12 years	12	2003	2003	2	342686	0.583624659309105
