Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	35 years	35	697	7036866	9.90497758519204
Black or African American	Female	F	40 years	40	1649	7429012	22.1967604844359
Black or African American	Female	F	45 years	45	3153	7255476	43.4568317778186
Black or African American	Female	F	50 years	50	5124	6350099	80.691655358444
Black or African American	Female	F	55 years	55	6548	5138112	127.439806683856
Black or African American	Female	F	60 years	60	7660	3681274	208.080137474146
Black or African American	Female	F	65 years	65	9089	2894958	313.959649846388
Black or African American	Female	F	70 years	70	11407	2327359	490.126362112592
Black or African American	Female	F	75 years	75	14621	1841431	794.002056009701
Black or African American	Female	F	80 years	80	17496	1319230	1326.2281785587
Black or African American	Female	F	85 years	85	37498	1211548	3095.04864850588
Black or African American	Male	M	35 years	35	1395	6238830	22.3599617235924
Black or African American	Male	M	40 years	40	3004	6576944	45.6747084968338
Black or African American	Male	M	45 years	45	6041	6419026	94.1108510855074
Black or African American	Male	M	50 years	50	9964	5500032	181.162582326794
Black or African American	Male	M	55 years	55	12424	4318343	287.702945319536
Black or African American	Male	M	60 years	60	12801	2953950	433.351952470421
Black or African American	Male	M	65 years	65	13123	2200168	596.454452569077
Black or African American	Male	M	70 years	70	13918	1624551	856.729028513109
Black or African American	Male	M	75 years	75	14256	1119079	1273.90470199155
Black or African American	Male	M	80 years	80	13053	685376	1904.50205434681
Black or African American	Male	M	85 years	85	15673	450171	3481.56589384923
White	Female	F	35 years	35	1660	33221092	4.99682551073276
White	Female	F	40 years	40	4105	37653071	10.9021651912536
White	Female	F	45 years	45	8228	40360287	20.3863763406836
White	Female	F	50 years	50	13153	38350993	34.2963740208761
White	Female	F	55 years	55	19752	34806497	56.7480260940939
White	Female	F	60 years	60	29053	27977902	103.842668403085
White	Female	F	65 years	65	37898	22100289	171.481920440045
White	Female	F	70 years	70	56956	18823087	302.585861713331
White	Female	F	75 years	75	95516	17385694	549.394231832218
White	Female	F	80 years	80	153277	14595334	1050.17809116256
White	Female	F	85 years	85	446190	14448773	3088.08228906358
White	Male	M	35 years	35	5055	33558400	15.0632926480404
White	Male	M	40 years	40	13717	37581833	36.4990180228836
White	Male	M	45 years	45	27923	39974085	69.852755854199
White	Male	M	50 years	50	45306	37526033	120.732186106642
White	Male	M	55 years	55	61025	33573909	181.763166153813
White	Male	M	60 years	60	73334	26337876	278.435512415656
White	Male	M	65 years	65	79832	19979874	399.56207932042
White	Male	M	70 years	70	98559	15952761	617.817818495494
White	Male	M	75 years	75	133047	13242662	1004.68470765168
White	Male	M	80 years	80	162099	9339080	1735.70630083477
White	Male	M	85 years	85	255366	6572211	3885.54171495711
