Cause of death Code	Race	Gender	Gender Code	Five-Year Ages	Five-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
I213	Black or African American	Female	F	35-39 years	35-39	1999	1999	1	1507328	0.0663425611413044
I219	Black or African American	Female	F	35-39 years	35-39	1999	1999	54	1507328	3.58249830163044
I258	Black or African American	Female	F	35-39 years	35-39	1999	1999	1	1507328	0.0663425611413044
I248	Black or African American	Female	F	35-39 years	35-39	1999	1999	3	1507328	0.199027683423913
I259	Black or African American	Female	F	35-39 years	35-39	1999	1999	5	1507328	0.331712805706522
I250	Black or African American	Female	F	35-39 years	35-39	1999	1999	30	1507328	1.99027683423913
I461	Black or African American	Female	F	35-39 years	35-39	1999	1999	4	1507328	0.265370244565217
I251	Black or African American	Female	F	35-39 years	35-39	1999	1999	50	1507328	3.31712805706522
I469	Black or African American	Female	F	35-39 years	35-39	1999	1999	24	1507328	1.5922214673913
I255	Black or African American	Female	F	35-39 years	35-39	1999	1999	4	1507328	0.265370244565217
I254	Black or African American	Female	F	35-39 years	35-39	1999	1999	1	1507328	0.0663425611413044
I219	Black or African American	Female	F	35-39 years	35-39	2000	2000	56	1505402	3.71993660165192
I250	Black or African American	Female	F	35-39 years	35-39	2000	2000	22	1505402	1.46140366493468
I255	Black or African American	Female	F	35-39 years	35-39	2000	2000	3	1505402	0.199282317945638
I251	Black or African American	Female	F	35-39 years	35-39	2000	2000	58	1505402	3.85279148028234
I461	Black or African American	Female	F	35-39 years	35-39	2000	2000	4	1505402	0.265709757260851
I259	Black or African American	Female	F	35-39 years	35-39	2000	2000	8	1505402	0.531419514521703
I469	Black or African American	Female	F	35-39 years	35-39	2000	2000	12	1505402	0.797129271782554
I248	Black or African American	Female	F	35-39 years	35-39	2000	2000	2	1505402	0.132854878630426
I213	Black or African American	Female	F	35-39 years	35-39	2001	2001	1	1491812	0.06703257515022
I255	Black or African American	Female	F	35-39 years	35-39	2001	2001	1	1491812	0.06703257515022
I219	Black or African American	Female	F	35-39 years	35-39	2001	2001	57	1491812	3.82085678356254
I461	Black or African American	Female	F	35-39 years	35-39	2001	2001	4	1491812	0.26813030060088
I248	Black or African American	Female	F	35-39 years	35-39	2001	2001	3	1491812	0.20109772545066
I259	Black or African American	Female	F	35-39 years	35-39	2001	2001	3	1491812	0.20109772545066
I249	Black or African American	Female	F	35-39 years	35-39	2001	2001	1	1491812	0.06703257515022
I250	Black or African American	Female	F	35-39 years	35-39	2001	2001	25	1491812	1.6758143787555
I469	Black or African American	Female	F	35-39 years	35-39	2001	2001	14	1491812	0.93845605210308
I251	Black or African American	Female	F	35-39 years	35-39	2001	2001	45	1491812	3.0164658817599
I252	Black or African American	Female	F	35-39 years	35-39	2001	2001	1	1491812	0.06703257515022
I219	Black or African American	Female	F	35-39 years	35-39	2002	2002	55	1467701	3.74735726145857
I259	Black or African American	Female	F	35-39 years	35-39	2002	2002	2	1467701	0.136267536780312
I248	Black or African American	Female	F	35-39 years	35-39	2002	2002	1	1467701	0.0681337683901558
I461	Black or African American	Female	F	35-39 years	35-39	2002	2002	2	1467701	0.136267536780312
I250	Black or African American	Female	F	35-39 years	35-39	2002	2002	26	1467701	1.77147797814405
I469	Black or African American	Female	F	35-39 years	35-39	2002	2002	19	1467701	1.29454159941296
I251	Black or African American	Female	F	35-39 years	35-39	2002	2002	50	1467701	3.40668841950779
I255	Black or African American	Female	F	35-39 years	35-39	2002	2002	3	1467701	0.204401305170467
I201	Black or African American	Female	F	35-39 years	35-39	2003	2003	1	1440844	0.0694037661259651
I251	Black or African American	Female	F	35-39 years	35-39	2003	2003	43	1440844	2.9843619434165
I219	Black or African American	Female	F	35-39 years	35-39	2003	2003	58	1440844	4.02541843530597
I250	Black or African American	Female	F	35-39 years	35-39	2003	2003	21	1440844	1.45747908864527
I248	Black or African American	Female	F	35-39 years	35-39	2003	2003	2	1440844	0.13880753225193
I258	Black or African American	Female	F	35-39 years	35-39	2003	2003	1	1440844	0.0694037661259651
I249	Black or African American	Female	F	35-39 years	35-39	2003	2003	1	1440844	0.0694037661259651
I259	Black or African American	Female	F	35-39 years	35-39	2003	2003	8	1440844	0.555230129007721
I461	Black or African American	Female	F	35-39 years	35-39	2003	2003	5	1440844	0.347018830629825
I469	Black or African American	Female	F	35-39 years	35-39	2003	2003	11	1440844	0.763441427385616
I219	Black or African American	Female	F	35-39 years	35-39	2004	2004	36	1408319	2.55623903391206
I469	Black or African American	Female	F	35-39 years	35-39	2004	2004	12	1408319	0.852079677970687
I259	Black or African American	Female	F	35-39 years	35-39	2004	2004	2	1408319	0.142013279661781
I250	Black or African American	Female	F	35-39 years	35-39	2004	2004	15	1408319	1.06509959746336
I461	Black or African American	Female	F	35-39 years	35-39	2004	2004	4	1408319	0.284026559323562
I251	Black or African American	Female	F	35-39 years	35-39	2004	2004	54	1408319	3.83435855086809
I255	Black or African American	Female	F	35-39 years	35-39	2004	2004	3	1408319	0.213019919492672
I255	Black or African American	Female	F	35-39 years	35-39	2005	2005	1	1396992	0.0715823712662635
I219	Black or African American	Female	F	35-39 years	35-39	2005	2005	52	1396992	3.7222833058457
I258	Black or African American	Female	F	35-39 years	35-39	2005	2005	1	1396992	0.0715823712662635
I248	Black or African American	Female	F	35-39 years	35-39	2005	2005	3	1396992	0.214747113798791
I259	Black or African American	Female	F	35-39 years	35-39	2005	2005	4	1396992	0.286329485065054
I249	Black or African American	Female	F	35-39 years	35-39	2005	2005	1	1396992	0.0715823712662635
I461	Black or African American	Female	F	35-39 years	35-39	2005	2005	3	1396992	0.214747113798791
I250	Black or African American	Female	F	35-39 years	35-39	2005	2005	27	1396992	1.93272402418911
I469	Black or African American	Female	F	35-39 years	35-39	2005	2005	14	1396992	1.00215319772769
I251	Black or African American	Female	F	35-39 years	35-39	2005	2005	39	1396992	2.79171247938428
I255	Black or African American	Female	F	35-39 years	35-39	2006	2006	1	1405559	0.0711460707092338
I251	Black or African American	Female	F	35-39 years	35-39	2006	2006	49	1405559	3.48615746475246
I219	Black or African American	Female	F	35-39 years	35-39	2006	2006	54	1405559	3.84188781829863
I259	Black or African American	Female	F	35-39 years	35-39	2006	2006	5	1405559	0.355730353546169
I248	Black or African American	Female	F	35-39 years	35-39	2006	2006	4	1405559	0.284584282836935
I461	Black or African American	Female	F	35-39 years	35-39	2006	2006	5	1405559	0.355730353546169
I249	Black or African American	Female	F	35-39 years	35-39	2006	2006	3	1405559	0.213438212127702
I469	Black or African American	Female	F	35-39 years	35-39	2006	2006	17	1405559	1.20948320205698
I250	Black or African American	Female	F	35-39 years	35-39	2006	2006	21	1405559	1.49406748489391
I214	Black or African American	Female	F	35-39 years	35-39	2007	2007	1	1413720	0.0707353648530119
I219	Black or African American	Female	F	35-39 years	35-39	2007	2007	39	1413720	2.75867922926746
I259	Black or African American	Female	F	35-39 years	35-39	2007	2007	3	1413720	0.212206094559036
I248	Black or African American	Female	F	35-39 years	35-39	2007	2007	5	1413720	0.35367682426506
I249	Black or African American	Female	F	35-39 years	35-39	2007	2007	1	1413720	0.0707353648530119
I258	Black or African American	Female	F	35-39 years	35-39	2007	2007	2	1413720	0.141470729706024
I250	Black or African American	Female	F	35-39 years	35-39	2007	2007	25	1413720	1.7683841213253
I469	Black or African American	Female	F	35-39 years	35-39	2007	2007	20	1413720	1.41470729706024
I251	Black or African American	Female	F	35-39 years	35-39	2007	2007	33	1413720	2.33426704014939
I461	Black or African American	Female	F	35-39 years	35-39	2007	2007	2	1413720	0.141470729706024
I251	Black or African American	Female	F	35-39 years	35-39	2008	2008	33	1412276	2.33665374190314
I255	Black or African American	Female	F	35-39 years	35-39	2008	2008	4	1412276	0.28323075659432
I258	Black or African American	Female	F	35-39 years	35-39	2008	2008	2	1412276	0.14161537829716
I219	Black or African American	Female	F	35-39 years	35-39	2008	2008	40	1412276	2.8323075659432
I259	Black or African American	Female	F	35-39 years	35-39	2008	2008	7	1412276	0.49565382404006
I461	Black or African American	Female	F	35-39 years	35-39	2008	2008	2	1412276	0.14161537829716
I249	Black or African American	Female	F	35-39 years	35-39	2008	2008	1	1412276	0.07080768914858
I469	Black or African American	Female	F	35-39 years	35-39	2008	2008	20	1412276	1.4161537829716
I250	Black or African American	Female	F	35-39 years	35-39	2008	2008	27	1412276	1.91180760701166
I219	Black or African American	Female	F	35-39 years	35-39	2009	2009	44	1403007	3.13612120253142
I259	Black or African American	Female	F	35-39 years	35-39	2009	2009	7	1403007	0.498928373129999
I248	Black or African American	Female	F	35-39 years	35-39	2009	2009	2	1403007	0.142550963751428
I469	Black or African American	Female	F	35-39 years	35-39	2009	2009	15	1403007	1.06913222813571
I249	Black or African American	Female	F	35-39 years	35-39	2009	2009	2	1403007	0.142550963751428
I250	Black or African American	Female	F	35-39 years	35-39	2009	2009	27	1403007	1.92443801064428
I251	Black or African American	Female	F	35-39 years	35-39	2009	2009	23	1403007	1.63933608314142
I255	Black or African American	Female	F	35-39 years	35-39	2009	2009	1	1403007	0.0712754818757141
I255	Black or African American	Female	F	35-39 years	35-39	2010	2010	1	1384151	0.0722464528797797
I258	Black or African American	Female	F	35-39 years	35-39	2010	2010	1	1384151	0.0722464528797797
I250	Black or African American	Female	F	35-39 years	35-39	2010	2010	23	1384151	1.66166841623493
I259	Black or African American	Female	F	35-39 years	35-39	2010	2010	8	1384151	0.577971623038238
I249	Black or African American	Female	F	35-39 years	35-39	2010	2010	1	1384151	0.0722464528797797
I461	Black or African American	Female	F	35-39 years	35-39	2010	2010	2	1384151	0.144492905759559
I219	Black or African American	Female	F	35-39 years	35-39	2010	2010	38	1384151	2.74536520943163
I469	Black or African American	Female	F	35-39 years	35-39	2010	2010	12	1384151	0.866957434557357
I251	Black or African American	Female	F	35-39 years	35-39	2010	2010	32	1384151	2.31188649215295
I219	Black or African American	Female	F	35-39 years	35-39	2011	2011	53	1344610	3.94166338194718
I461	Black or African American	Female	F	35-39 years	35-39	2011	2011	1	1344610	0.0743710072065506
I248	Black or African American	Female	F	35-39 years	35-39	2011	2011	1	1344610	0.0743710072065506
I469	Black or African American	Female	F	35-39 years	35-39	2011	2011	14	1344610	1.04119410089171
I259	Black or African American	Female	F	35-39 years	35-39	2011	2011	2	1344610	0.148742014413101
I250	Black or African American	Female	F	35-39 years	35-39	2011	2011	21	1344610	1.56179115133756
I251	Black or African American	Female	F	35-39 years	35-39	2011	2011	32	1344610	2.37987223060962
I255	Black or African American	Female	F	35-39 years	35-39	2011	2011	1	1344610	0.0743710072065506
I219	Black or African American	Female	F	35-39 years	35-39	2012	2012	35	1338520	2.61482831784359
I259	Black or African American	Female	F	35-39 years	35-39	2012	2012	2	1338520	0.149418761019634
I248	Black or African American	Female	F	35-39 years	35-39	2012	2012	2	1338520	0.149418761019634
I461	Black or African American	Female	F	35-39 years	35-39	2012	2012	3	1338520	0.22412814152945
I249	Black or African American	Female	F	35-39 years	35-39	2012	2012	2	1338520	0.149418761019634
I469	Black or African American	Female	F	35-39 years	35-39	2012	2012	14	1338520	1.04593132713744
I250	Black or African American	Female	F	35-39 years	35-39	2012	2012	24	1338520	1.7930251322356
I251	Black or African American	Female	F	35-39 years	35-39	2012	2012	38	1338520	2.83895645937304
I255	Black or African American	Female	F	35-39 years	35-39	2012	2012	1	1338520	0.0747093805098168
I219	Black or African American	Female	F	35-39 years	35-39	2013	2013	29	1344139	2.15751495939036
I259	Black or African American	Female	F	35-39 years	35-39	2013	2013	8	1344139	0.595176540521479
I250	Black or African American	Female	F	35-39 years	35-39	2013	2013	13	1344139	0.967161878347403
I461	Black or African American	Female	F	35-39 years	35-39	2013	2013	1	1344139	0.0743970675651849
I251	Black or African American	Female	F	35-39 years	35-39	2013	2013	32	1344139	2.38070616208592
I469	Black or African American	Female	F	35-39 years	35-39	2013	2013	13	1344139	0.967161878347403
I255	Black or African American	Female	F	35-39 years	35-39	2013	2013	8	1344139	0.595176540521479
I209	Black or African American	Female	F	35-39 years	35-39	2014	2014	1	1374316	0.0727634692457921
I219	Black or African American	Female	F	35-39 years	35-39	2014	2014	52	1374316	3.78370040078119
I259	Black or African American	Female	F	35-39 years	35-39	2014	2014	8	1374316	0.582107753966337
I248	Black or African American	Female	F	35-39 years	35-39	2014	2014	2	1374316	0.145526938491584
I469	Black or African American	Female	F	35-39 years	35-39	2014	2014	8	1374316	0.582107753966337
I249	Black or African American	Female	F	35-39 years	35-39	2014	2014	1	1374316	0.0727634692457921
I250	Black or African American	Female	F	35-39 years	35-39	2014	2014	26	1374316	1.89185020039059
I258	Black or African American	Female	F	35-39 years	35-39	2014	2014	2	1374316	0.145526938491584
I251	Black or African American	Female	F	35-39 years	35-39	2014	2014	46	1374316	3.34711958530644
I214	Black or African American	Female	F	35-39 years	35-39	2015	2015	1	1413525	0.0707451230080826
I219	Black or African American	Female	F	35-39 years	35-39	2015	2015	43	1413525	3.04204028934755
I250	Black or African American	Female	F	35-39 years	35-39	2015	2015	29	1413525	2.0516085672344
I248	Black or African American	Female	F	35-39 years	35-39	2015	2015	1	1413525	0.0707451230080826
I251	Black or African American	Female	F	35-39 years	35-39	2015	2015	29	1413525	2.0516085672344
I469	Black or African American	Female	F	35-39 years	35-39	2015	2015	11	1413525	0.778196353088909
I255	Black or African American	Female	F	35-39 years	35-39	2015	2015	3	1413525	0.212235369024248
I258	Black or African American	Female	F	35-39 years	35-39	2015	2015	2	1413525	0.141490246016165
I259	Black or African American	Female	F	35-39 years	35-39	2015	2015	2	1413525	0.141490246016165
I461	Black or African American	Female	F	35-39 years	35-39	2015	2015	3	1413525	0.212235369024248
I214	Black or African American	Female	F	35-39 years	35-39	2016	2016	1	1445255	0.0691919419064456
I461	Black or African American	Female	F	35-39 years	35-39	2016	2016	2	1445255	0.138383883812891
I219	Black or African American	Female	F	35-39 years	35-39	2016	2016	36	1445255	2.49090990863204
I469	Black or African American	Female	F	35-39 years	35-39	2016	2016	24	1445255	1.66060660575469
I248	Black or African American	Female	F	35-39 years	35-39	2016	2016	1	1445255	0.0691919419064456
I255	Black or African American	Female	F	35-39 years	35-39	2016	2016	3	1445255	0.207575825719337
I249	Black or African American	Female	F	35-39 years	35-39	2016	2016	1	1445255	0.0691919419064456
I259	Black or African American	Female	F	35-39 years	35-39	2016	2016	2	1445255	0.138383883812891
I250	Black or African American	Female	F	35-39 years	35-39	2016	2016	35	1445255	2.4217179667256
I251	Black or African American	Female	F	35-39 years	35-39	2016	2016	26	1445255	1.79899048956759
I214	Black or African American	Female	F	35-39 years	35-39	2017	2017	2	1475146	0.135579800236722
I258	Black or African American	Female	F	35-39 years	35-39	2017	2017	3	1475146	0.203369700355083
I219	Black or African American	Female	F	35-39 years	35-39	2017	2017	35	1475146	2.37264650414264
I469	Black or African American	Female	F	35-39 years	35-39	2017	2017	17	1475146	1.15242830201214
I248	Black or African American	Female	F	35-39 years	35-39	2017	2017	4	1475146	0.271159600473445
I461	Black or African American	Female	F	35-39 years	35-39	2017	2017	2	1475146	0.135579800236722
I249	Black or African American	Female	F	35-39 years	35-39	2017	2017	2	1475146	0.135579800236722
I250	Black or African American	Female	F	35-39 years	35-39	2017	2017	38	1475146	2.57601620449772
I251	Black or African American	Female	F	35-39 years	35-39	2017	2017	33	1475146	2.23706670390592
I201	Black or African American	Female	F	35-39 years	35-39	2018	2018	1	1494278	0.0669219516047215
I258	Black or African American	Female	F	35-39 years	35-39	2018	2018	3	1494278	0.200765854814164
I214	Black or African American	Female	F	35-39 years	35-39	2018	2018	1	1494278	0.0669219516047215
I259	Black or African American	Female	F	35-39 years	35-39	2018	2018	3	1494278	0.200765854814164
I219	Black or African American	Female	F	35-39 years	35-39	2018	2018	37	1494278	2.47611220937469
I461	Black or African American	Female	F	35-39 years	35-39	2018	2018	1	1494278	0.0669219516047215
I248	Black or African American	Female	F	35-39 years	35-39	2018	2018	1	1494278	0.0669219516047215
I469	Black or African American	Female	F	35-39 years	35-39	2018	2018	22	1494278	1.47228293530387
I250	Black or African American	Female	F	35-39 years	35-39	2018	2018	38	1494278	2.54303416097942
I251	Black or African American	Female	F	35-39 years	35-39	2018	2018	33	1494278	2.20842440295581
I255	Black or African American	Female	F	35-39 years	35-39	2018	2018	2	1494278	0.133843903209443
I214	Black or African American	Female	F	35-39 years	35-39	2019	2019	3	1501244	0.199834270778101
I255	Black or African American	Female	F	35-39 years	35-39	2019	2019	4	1501244	0.266445694370802
I219	Black or African American	Female	F	35-39 years	35-39	2019	2019	44	1501244	2.93090263807882
I258	Black or African American	Female	F	35-39 years	35-39	2019	2019	2	1501244	0.133222847185401
I248	Black or African American	Female	F	35-39 years	35-39	2019	2019	1	1501244	0.0666114235927004
I259	Black or African American	Female	F	35-39 years	35-39	2019	2019	1	1501244	0.0666114235927004
I249	Black or African American	Female	F	35-39 years	35-39	2019	2019	1	1501244	0.0666114235927004
I461	Black or African American	Female	F	35-39 years	35-39	2019	2019	2	1501244	0.133222847185401
I250	Black or African American	Female	F	35-39 years	35-39	2019	2019	32	1501244	2.13156555496641
I469	Black or African American	Female	F	35-39 years	35-39	2019	2019	21	1501244	1.39883989544671
I251	Black or African American	Female	F	35-39 years	35-39	2019	2019	26	1501244	1.73189701341021
I251	Black or African American	Female	F	35-39 years	35-39	2020	2020	30	1502992	1.99601860821614
I255	Black or African American	Female	F	35-39 years	35-39	2020	2020	1	1502992	0.0665339536072048
I214	Black or African American	Female	F	35-39 years	35-39	2020	2020	2	1502992	0.13306790721441
I258	Black or African American	Female	F	35-39 years	35-39	2020	2020	1	1502992	0.0665339536072048
I219	Black or African American	Female	F	35-39 years	35-39	2020	2020	52	1502992	3.45976558757465
I259	Black or African American	Female	F	35-39 years	35-39	2020	2020	1	1502992	0.0665339536072048
I248	Black or African American	Female	F	35-39 years	35-39	2020	2020	4	1502992	0.266135814428819
I461	Black or African American	Female	F	35-39 years	35-39	2020	2020	2	1502992	0.13306790721441
I249	Black or African American	Female	F	35-39 years	35-39	2020	2020	3	1502992	0.199601860821614
I469	Black or African American	Female	F	35-39 years	35-39	2020	2020	20	1502992	1.3306790721441
I250	Black or African American	Female	F	35-39 years	35-39	2020	2020	39	1502992	2.59482419068099
I214	Black or African American	Female	F	35-39 years	35-39	2021	2021	2	1476602	0.135446112087076
I461	Black or African American	Female	F	35-39 years	35-39	2021	2021	2	1476602	0.135446112087076
I219	Black or African American	Female	F	35-39 years	35-39	2021	2021	56	1476602	3.79249113843812
I469	Black or African American	Female	F	35-39 years	35-39	2021	2021	27	1476602	1.82852251317552
I248	Black or African American	Female	F	35-39 years	35-39	2021	2021	3	1476602	0.203169168130613
I258	Black or African American	Female	F	35-39 years	35-39	2021	2021	1	1476602	0.0677230560435378
I249	Black or African American	Female	F	35-39 years	35-39	2021	2021	1	1476602	0.0677230560435378
I259	Black or African American	Female	F	35-39 years	35-39	2021	2021	2	1476602	0.135446112087076
I250	Black or African American	Female	F	35-39 years	35-39	2021	2021	41	1476602	2.77664529778505
I251	Black or African American	Female	F	35-39 years	35-39	2021	2021	27	1476602	1.82852251317552
I255	Black or African American	Female	F	35-39 years	35-39	2021	2021	3	1476602	0.203169168130613
	Black or African American	Female	F	35-39 years	35-39	2022	2022	156	1528198	10.2081013062443
