Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black or African American	Female	F	35 years	35	2019	2019	137	1501244	9.12576503219996
Black or African American	Female	F	35 years	35	2020	2020	155	1502992	10.3127628091167
Black or African American	Female	F	35 years	35	2021	2021	165	1476602	11.1743042471837
Black or African American	Female	F	35 years	35	2022	2022	156	1528198	10.2081013062443
Black or African American	Female	F	40 years	40	2019	2019	255	1378109	18.5036161871086
Black or African American	Female	F	40 years	40	2020	2020	317	1414368	22.4128373945112
Black or African American	Female	F	40 years	40	2021	2021	317	1415974	22.3874167181036
Black or African American	Female	F	40 years	40	2022	2022	316	1459107	21.6570820371638
Black or African American	Female	F	45 years	45	2019	2019	415	1397316	29.6997958944147
Black or African American	Female	F	45 years	45	2020	2020	529	1375619	38.4554153439288
Black or African American	Female	F	45 years	45	2021	2021	473	1315950	35.9436148789848
Black or African American	Female	F	45 years	45	2022	2022	430	1349336	31.867525953506
Black or African American	Female	F	50 years	50	2019	2019	723	1377231	52.4966399972118
Black or African American	Female	F	50 years	50	2020	2020	793	1370203	57.8746360940678
Black or African American	Female	F	50 years	50	2021	2021	821	1356439	60.5261276032317
Black or African American	Female	F	50 years	50	2022	2022	750	1385106	54.1474804094416
Black or African American	Female	F	55 years	55	2019	2019	1241	1428980	86.8451622835869
Black or African American	Female	F	55 years	55	2020	2020	1387	1421662	97.5618677294603
Black or African American	Female	F	55 years	55	2021	2021	1419	1392255	101.920984302445
Black or African American	Female	F	55 years	55	2022	2022	1202	1417444	84.8005282748384
Black or African American	Female	F	60 years	60	2019	2019	1803	1301964	138.483091698388
Black or African American	Female	F	60 years	60	2020	2020	2048	1329313	154.064543113623
Black or African American	Female	F	60 years	60	2021	2021	2024	1321124	153.202878760813
Black or African American	Female	F	60 years	60	2022	2022	1915	1343676	142.519476421399
Black or African American	Female	F	65 years	65	2019	2019	2124	1042963	203.650560949909
Black or African American	Female	F	65 years	65	2020	2020	2462	1077483	228.495484383512
Black or African American	Female	F	65 years	65	2021	2021	2411	1088159	221.566884986477
Black or African American	Female	F	65 years	65	2022	2022	2275	1106126	205.672771456416
Black or African American	Female	F	70 years	70	2019	2019	2176	756006	287.828403478279
Black or African American	Female	F	70 years	70	2020	2020	2621	806836	324.849163894521
Black or African American	Female	F	70 years	70	2021	2021	2565	836516	306.628922817974
Black or African American	Female	F	70 years	70	2022	2022	2547	849725	299.744034834799
Black or African American	Female	F	75 years	75	2019	2019	2313	508214	455.123235487413
Black or African American	Female	F	75 years	75	2020	2020	2631	526453	499.759712642914
Black or African American	Female	F	75 years	75	2021	2021	2520	512535	491.673739354386
Black or African American	Female	F	75 years	75	2022	2022	2441	520724	468.770404283267
Black or African American	Female	F	80 years	80	2019	2019	2388	341870	698.511129961681
Black or African American	Female	F	80 years	80	2020	2020	2746	351927	780.275454852853
Black or African American	Female	F	80 years	80	2021	2021	2484	337044	736.995763164453
Black or African American	Female	F	80 years	80	2022	2022	2406	342317	702.857293093828
Black or African American	Female	F	85 years	85	2019	2019	5849	360819	1621.03436903267
Black or African American	Female	F	85 years	85	2020	2020	6435	369171	1743.09466344865
Black or African American	Female	F	85 years	85	2021	2021	5332	333725	1597.72267585587
Black or African American	Female	F	85 years	85	2022	2022	5289	339046	1559.96531444111
Black or African American	Male	M	35 years	35	2019	2019	294	1374076	21.3961964258163
Black or African American	Male	M	35 years	35	2020	2020	314	1383849	22.6903368792404
Black or African American	Male	M	35 years	35	2021	2021	331	1389062	23.8290299497071
Black or African American	Male	M	35 years	35	2022	2022	351	1434248	24.4727550604916
Black or African American	Male	M	40 years	40	2019	2019	536	1228028	43.6472132557238
