Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	35 years	35	589	6814427	8.64342665935082
Black or African American	Female	F	40 years	40	1215	7057315	17.216179240972
Black or African American	Female	F	45 years	45	2550	7347446	34.7059372739861
Black or African American	Female	F	50 years	50	4463	7214091	61.8650360800827
Black or African American	Female	F	55 years	55	6457	6224053	103.742689851773
Black or African American	Female	F	60 years	60	7767	4922684	157.779780298715
Black or African American	Female	F	65 years	65	8347	3483652	239.604874424885
Black or African American	Female	F	70 years	70	9743	2588549	376.388470915559
Black or African American	Female	F	75 years	75	11545	1954593	590.660050455517
Black or African American	Female	F	80 years	80	13972	1408682	991.849118537754
Black or African American	Female	F	85 years	85	32715	1435752	2278.59686073918
Black or African American	Male	M	35 years	35	1274	6053947	21.0441221239631
Black or African American	Male	M	40 years	40	2649	6293297	42.0924040292394
Black or African American	Male	M	45 years	45	5180	6535823	79.2555122744297
Black or African American	Male	M	50 years	50	8969	6349325	141.259110220378
Black or African American	Male	M	55 years	55	12377	5285979	234.147733087854
Black or African American	Male	M	60 years	60	14023	4006790	349.980907409672
Black or African American	Male	M	65 years	65	13090	2683169	487.855964346636
Black or African American	Male	M	70 years	70	12594	1849501	680.940426633995
Black or African American	Male	M	75 years	75	12252	1242098	986.39559841494
Black or African American	Male	M	80 years	80	11064	753664	1468.02819293478
Black or African American	Male	M	85 years	85	14814	566145	2616.64414593435
White	Female	F	35 years	35	1336	29362544	4.55001446741127
White	Female	F	40 years	40	3454	33023991	10.4590629279181
White	Female	F	45 years	45	7221	37305864	19.3562063057969
White	Female	F	50 years	50	13186	40039144	32.9327719893312
White	Female	F	55 years	55	19304	37842474	51.0114639967778
White	Female	F	60 years	60	28594	33869975	84.4228553460698
White	Female	F	65 years	65	36814	26839710	137.162435808733
White	Female	F	70 years	70	46705	20424738	228.668783903128
White	Female	F	75 years	75	68453	16485957	415.220056682181
White	Female	F	80 years	80	109046	14004676	778.639934261956
White	Female	F	85 years	85	377269	16104286	2342.66207145104
White	Male	M	35 years	35	4148	29689988	13.9710396649537
White	Male	M	40 years	40	9951	33223829	29.9513942237061
White	Male	M	45 years	45	22695	37005856	61.3281314179032
White	Male	M	50 years	50	41922	39252942	106.799638101012
White	Male	M	55 years	55	59469	36433389	163.226649049859
White	Male	M	60 years	60	75835	32068150	236.480744913567
White	Male	M	65 years	65	82325	24651952	333.949214244779
White	Male	M	70 years	70	87645	17796157	492.493969344056
White	Male	M	75 years	75	104307	13201050	790.141693274399
White	Male	M	80 years	80	132461	9719689	1362.81109405867
White	Male	M	85 years	85	254139	7992428	3179.74713065917
