Cause of death Code	Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
I200	Black or African American	Female	F	1999	1999	4	1482219	0.269865654130732	0.0735302947810006	0.690964020836327	0.134932827065366	0.0581913662673379	0.0158554015668615	0.148993174190892	0.0290956831336689
I200	White	Female	F	1999	1999	52	21669398	0.239969749044251	0.179221407073699	0.31468912980416	0.0332778167207413	0.0684688673857212	0.0511359736070259	0.0897880186236133	0.00949492354354469
I201	Black or African American	Female	F	1999	1999	2	1855951	0.107761465685247	0.0130499134944834	0.389271052953445	0.0761988631366397	0.0254385591183747	0.00308060950923518	0.0918927246456697	0.0179877776562176
I201	White	Female	F	1999	1999	9	31035309	0.028999227943888	0.0132601869696222	0.0550495243981621	0.00966640931462935	0.0142382061407662	0.00651056213992677	0.027028529099078	0.00474606871358875
I209	Black or African American	Female	F	1999	1999	22	4566227	0.481798211083242	0.301938120903757	0.72944730956214	0.102719723741799	0.302331635206543	0.189468212467588	0.457733119019058	0.064457321202998
I209	White	Female	F	1999	1999	213	41763717	0.510012075792966	0.441518990615994	0.578505160969939	0.0349454516209044	0.264445009360304	0.228930841342657	0.299959177377952	0.0181194734783916
I210	White	Female	F	1999	1999	6	8984152	0.066784266339216	0.0245084900611655	0.145361298428611	0.0272645625628682	0.00796922256280824	0.00292454529609937	0.0173456504457572	0.00325342148759251
I211	White	Female	F	1999	1999	2	2686103	0.0744573085991118	0.00901678007135244	0.268965114144916	0.0526492678193314	0.00259139390773614	0.000313817802226847	0.00936099586867158	0.00183239220488573
I212	Black or African American	Female	F	1999	1999	2	663035	0.301643201339296	0.0365289916821887	1.08963780192599	0.213293953165835	0.0296011657059339	0.0035847011669886	0.106929474926173	0.0209311850016926
I212	White	Female	F	1999	1999	1	3703159	0.0270039714740847	0.000683740557723824	0.150456407623869	0.0270039714740847	0.0014093341761608	3.56843413403916e-05	0.00785230266926459	0.00140933417616081
