Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black	Female	F	35 years	35	457	6591374	6.93330404252588
Black	Female	F	36 years	36	526	6579154	7.99494889464512
Black	Female	F	37 years	37	614	6589090	9.31843395673758
Black	Female	F	38 years	38	722	6583123	10.9674390103299
Black	Female	F	39 years	39	884	6604997	13.3838062303435
Black	Female	F	40 years	40	989	6612350	14.9568610252028
Black	Female	F	41 years	41	1167	6584300	17.7239797700591
Black	Female	F	42 years	42	1366	6579434	20.761664301215
Black	Female	F	43 years	43	1529	6567725	23.2805118971942
Black	Female	F	44 years	44	1740	6527285	26.6573314938753
Black	Female	F	45 years	45	2065	6497803	31.7799723999019
Black	Female	F	46 years	46	2223	6450150	34.4643147833771
Black	Female	F	47 years	47	2476	6434128	38.4822931716621
Black	Female	F	48 years	48	2686	6373320	42.1444396327189
Black	Female	F	49 years	49	3135	6334890	49.4878364107348
Black	Female	F	50 years	50	3549	6249098	56.7921962497628
Black	Female	F	51 years	51	3843	6142216	62.5669953645394
Black	Female	F	52 years	52	4147	6036518	68.6985444257766
Black	Female	F	53 years	53	4428	5901378	75.0333227256414
Black	Female	F	54 years	54	4944	5795505	85.3074926171231
Black	Female	F	55 years	55	5252	5628273	93.3145922381519
Black	Female	F	56 years	56	5582	5481934	101.82537768605
Black	Female	F	57 years	57	5982	5304109	112.780487731304
Black	Female	F	58 years	58	6393	5106658	125.189507501775
Black	Female	F	59 years	59	6568	4924755	133.367040593898
Black	Female	F	60 years	60	7071	4712723	150.04064529148
Black	Female	F	61 years	61	7318	4521580	161.846080352443
Black	Female	F	62 years	62	7825	4321859	181.056346354659
Black	Female	F	63 years	63	8088	4120557	196.284143138901
Black	Female	F	64 years	64	8065	3926689	205.389324186357
Black	Female	F	65 years	65	8776	3739890	234.65930816147
Black	Female	F	66 years	66	8758	3544988	247.053022464392
Black	Female	F	67 years	67	9071	3366158	269.476358507236
Black	Female	F	68 years	68	9130	3179092	287.188920610036
Black	Female	F	69 years	69	9715	3011573	322.588892914102
Black	Female	F	70 years	70	9909	2846693	348.088114875752
Black	Female	F	71 years	71	10361	2690588	385.083111944304
Black	Female	F	72 years	72	10792	2531723	426.270962502612
Black	Female	F	73 years	73	11059	2387292	463.244546540599
Black	Female	F	74 years	74	11237	2247911	499.886338916443
Black	Female	F	75 years	75	12013	2099720	572.123902234584
Black	Female	F	76 years	76	12477	1991002	626.66938556566
Black	Female	F	77 years	77	12666	1873016	676.235547373861
Black	Female	F	78 years	78	13179	1756819	750.162651929425
Black	Female	F	79 years	79	13325	1638556	813.216026794324
Black	Female	F	80 years	80	13822	1525205	906.238833468288
Black	Female	F	81 years	81	14297	1412826	1011.94343818701
Black	Female	F	82 years	82	14453	1298691	1112.88982521631
Black	Female	F	83 years	83	14242	1192248	1194.55012715475
Black	Female	F	84 years	84	14618	1083788	1348.78777030194
Black	Female	F	85 years	85	160510	6525136	2459.87210075008
Black	Male	M	35 years	35	947	5954517	15.903892792648
Black	Male	M	36 years	36	1077	5907392	18.2313955126052
Black	Male	M	37 years	37	1246	5887181	21.1646287076956
Black	Male	M	38 years	38	1458	5867073	24.8505515441857
Black	Male	M	39 years	39	1721	5889114	29.22341119564
Black	Male	M	40 years	40	2050	5890837	34.7998085840773
Black	Male	M	41 years	41	2335	5851632	39.9033978896827
Black	Male	M	42 years	42	2557	5849891	43.7102161390699
Black	Male	M	43 years	43	2987	5820262	51.3207137410653
Black	Male	M	44 years	44	3456	5781052	59.7815068952848
Black	Male	M	45 years	45	3922	5755331	68.1455158704165
Black	Male	M	46 years	46	4321	5708721	75.691209992571
Black	Male	M	47 years	47	5020	5680759	88.3684732973182
Black	Male	M	48 years	48	5474	5616228	97.4675529554712
Black	Male	M	49 years	49	6154	5576363	110.358669261668
Black	Male	M	50 years	50	6884	5488793	125.419195076222
Black	Male	M	51 years	51	7594	5385439	141.009860106112
Black	Male	M	52 years	52	8401	5269676	159.421565955858
Black	Male	M	53 years	53	8984	5131501	175.075479864469
Black	Male	M	54 years	54	9595	5021307	191.085707366628
Black	Male	M	55 years	55	10389	4846225	214.373042935481
Black	Male	M	56 years	56	10879	4686873	232.116381220485
Black	Male	M	57 years	57	11437	4509556	253.616985796384
Black	Male	M	58 years	58	11861	4310947	275.136762293761
Black	Male	M	59 years	59	12300	4116539	298.794691365732
Black	Male	M	60 years	60	12817	3902355	328.442696781815
Black	Male	M	61 years	61	12972	3717062	348.98530075635
Black	Male	M	62 years	62	13358	3515403	379.984883667676
Black	Male	M	63 years	63	13774	3317465	415.196543143635
Black	Male	M	64 years	64	14124	3123421	452.196485840365
Black	Male	M	65 years	65	13777	2939461	468.691368927841
Black	Male	M	66 years	66	13797	2746761	502.300709817855
Black	Male	M	67 years	67	13671	2575389	530.832429586365
Black	Male	M	68 years	68	13620	2401918	567.046835070973
Black	Male	M	69 years	69	13727	2240918	612.561459187708
Black	Male	M	70 years	70	13637	2084189	654.307262920973
Black	Male	M	71 years	71	13701	1944130	704.73682315483
Black	Male	M	72 years	72	13637	1794210	760.055957775288
Black	Male	M	73 years	73	13629	1656709	822.655034770741
Black	Male	M	74 years	74	13255	1531282	865.614563483408
Black	Male	M	75 years	75	13081	1392926	939.1022925841
Black	Male	M	76 years	76	13241	1296226	1021.50396612936
Black	Male	M	77 years	77	13205	1184698	1114.63005761806
Black	Male	M	78 years	78	12851	1082075	1187.62562668946
Black	Male	M	79 years	79	12553	979179	1281.99236298981
Black	Male	M	80 years	80	12153	883731	1375.19222478333
Black	Male	M	81 years	81	11674	791496	1474.92848984707
Black	Male	M	82 years	82	11468	702899	1631.52885407434
Black	Male	M	83 years	83	11020	622590	1770.02521723767
Black	Male	M	84 years	84	10238	543485	1883.76864126885
Black	Male	M	85 years	85	72211	2613793	2762.69008295607
White	Female	F	35 years	35	971	29127660	3.33360112003505
White	Female	F	36 years	36	1197	29386958	4.07323548085515
White	Female	F	37 years	37	1275	29721143	4.2898753927465
White	Female	F	38 years	38	1625	30096507	5.3992976660049
White	Female	F	39 years	39	1959	30517454	6.41927730930634
White	Female	F	40 years	40	2405	30882951	7.78746823773415
White	Female	F	41 years	41	2774	31199690	8.89111398222226
White	Female	F	42 years	42	3226	31631747	10.198614701869
White	Female	F	43 years	43	3710	31980215	11.6009226329467
White	Female	F	44 years	44	4286	32335726	13.2546892560878
White	Female	F	45 years	45	4916	32736142	15.0170414094611
