Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	35 years	35	679	7202520	9.42725601594997
Black or African American	Female	F	40 years	40	1160	6852069	16.9291932115687
Black or African American	Female	F	45 years	45	2230	7022590	31.7546660135363
Black or African American	Female	F	50 years	50	4187	7229195	57.9179286213749
Black or African American	Female	F	55 years	55	6613	7020369	94.1973278042792
Black or African American	Female	F	60 years	60	8763	5970899	146.76181928383
Black or African American	Female	F	65 years	65	9813	4646004	211.213765636018
Black or African American	Female	F	70 years	70	10309	3182915	323.885494900115
Black or African American	Female	F	75 years	75	11050	2250432	491.016835878622
Black or African American	Female	F	80 years	80	12324	1563340	788.312203359474
Black or African American	Female	F	85 years	85	29805	1681461	1772.56564380619
Black or African American	Male	M	35 years	35	1331	6503444	20.4660792035728
Black or African American	Male	M	40 years	40	2480	6075075	40.8225412854985
Black or African American	Male	M	45 years	45	4581	6221353	73.6335006227745
Black or African American	Male	M	50 years	50	8240	6358909	129.581977034111
Black or African American	Male	M	55 years	55	13006	6040484	215.313872199645
Black or African American	Male	M	60 years	60	16079	4878583	329.583405673328
Black or African American	Male	M	65 years	65	16298	3589217	454.082324919335
Black or African American	Male	M	70 years	70	14154	2303763	614.386115238416
Black or African American	Male	M	75 years	75	12777	1482363	861.934627348362
Black or African American	Male	M	80 years	80	11161	891728	1251.61484219403
Black or African American	Male	M	85 years	85	15068	712118	2115.9414591402
White	Female	F	35 years	35	1307	29725025	4.39696854754538
White	Female	F	40 years	40	2950	29191120	10.105813000666
White	Female	F	45 years	45	5985	32725884	18.288276032513
White	Female	F	50 years	50	12290	36712459	33.4763737836248
White	Female	F	55 years	55	20698	39165570	52.8474371750494
White	Female	F	60 years	60	29631	36704470	80.7285870086123
White	Female	F	65 years	65	39870	32395039	123.074400373465
White	Female	F	70 years	70	50387	24961617	201.857916496355
White	Female	F	75 years	75	61994	18133396	341.877494982186
White	Female	F	80 years	80	86370	13426553	643.277541152968
White	Female	F	85 years	85	323693	16758921	1931.46682892055
White	Male	M	35 years	35	3590	30145038	11.9090909754368
White	Male	M	40 years	40	8008	29447762	27.1939171472521
White	Male	M	45 years	45	17284	32761559	52.7569521340544
White	Male	M	50 years	50	35316	36088961	97.8581788486512
White	Male	M	55 years	55	59212	37817716	156.572120854681
White	Male	M	60 years	60	79393	34558810	229.733026108249
White	Male	M	65 years	65	93676	29829851	314.034421425705
White	Male	M	70 years	70	100475	22122327	454.179164786779
White	Male	M	75 years	75	104388	15015321	695.209912595275
White	Male	M	80 years	80	117265	9950744	1178.45459595785
White	Male	M	85 years	85	252663	9086773	2780.55807050534
