Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black or African American	Female	F	20 years	20	1999	1999	8	1331673	0.600748081548548
Black or African American	Female	F	20 years	20	2000	2000	8	1361689	0.587505663921791
Black or African American	Female	F	20 years	20	2001	2001	4	1420272	0.281636193630516
Black or African American	Female	F	20 years	20	2002	2002	6	1452733	0.413014642057419
Black or African American	Female	F	20 years	20	2003	2003	9	1474407	0.610414899006855
Black or African American	Female	F	25 years	25	1999	1999	12	1358176	0.883537921447589
Black or African American	Female	F	25 years	25	2000	2000	22	1345107	1.6355576173494
Black or African American	Female	F	25 years	25	2001	2001	24	1304639	1.83958934233914
Black or African American	Female	F	25 years	25	2002	2002	14	1293736	1.08213731394968
Black or African American	Female	F	25 years	25	2003	2003	27	1295263	2.08451874252565
Black or African American	Female	F	30 years	30	1999	1999	45	1393840	3.22849107501578
Black or African American	Female	F	30 years	30	2000	2000	50	1384892	3.61038983545287
Black or African American	Female	F	30 years	30	2001	2001	51	1388476	3.67309193677096
Black or African American	Female	F	30 years	30	2002	2002	52	1393457	3.73172620324847
Black or African American	Female	F	30 years	30	2003	2003	53	1388044	3.81832276210264
Black or African American	Female	F	35 years	35	1999	1999	95	1507328	6.30254330842391
Black or African American	Female	F	35 years	35	2000	2000	92	1505402	6.11132441699958
Black or African American	Female	F	35 years	35	2001	2001	100	1491812	6.703257515022
Black or African American	Female	F	35 years	35	2002	2002	82	1467701	5.58696900799277
Black or African American	Female	F	35 years	35	2003	2003	100	1440844	6.94037661259651
Black or African American	Female	F	40 years	40	1999	1999	166	1420696	11.6844138365984
Black or African American	Female	F	40 years	40	2000	2000	148	1442018	10.2633947703843
Black or African American	Female	F	40 years	40	2001	2001	171	1475496	11.5893231835261
Black or African American	Female	F	40 years	40	2002	2002	178	1487168	11.969057967896
Black or African American	Female	F	40 years	40	2003	2003	214	1498869	14.2774318502818
Black or African American	Female	F	45 years	45	1999	1999	223	1192724	18.6966976433777
Black or African American	Female	F	45 years	45	2000	2000	240	1225916	19.5771977851664
Black or African American	Female	F	45 years	45	2001	2001	216	1272430	16.9753935383479
Black or African American	Female	F	45 years	45	2002	2002	264	1321076	19.9837102483127
Black or African American	Female	F	45 years	45	2003	2003	321	1363748	23.5380730164224
Black or African American	Female	F	50 years	50	1999	1999	231	930401	24.828004269127
Black or African American	Female	F	50 years	50	2000	2000	245	980443	24.9887040858061
