Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	12 years	12	2020	2020	1	318143	0.314324061821256
	Black	2054-5	Female	F	18 years	18	2019	2019	1	316348	0.316107577730853
	Black	2054-5	Female	F	19 years	19	2019	2019	2	325358	0.614707491440198
	Black	2054-5	Female	F	19 years	19	2020	2020	1	317408	0.315051920556508
	Black	2054-5	Female	F	20 years	20	2019	2019	1	318336	0.314133494169682
	Black	2054-5	Female	F	20 years	20	2020	2020	1	326337	0.306431694843061
	Black	2054-5	Female	F	21 years	21	2019	2019	1	320596	0.311919050767945
	Black	2054-5	Female	F	23 years	23	2020	2020	2	321526	0.622033676903267
	Black	2054-5	Female	F	24 years	24	2019	2019	3	335749	0.893524627027929
	Black	2054-5	Female	F	24 years	24	2020	2020	2	322075	0.620973375766514
	Black	2054-5	Female	F	25 years	25	2019	2019	3	350839	0.855093076881419
	Black	2054-5	Female	F	25 years	25	2020	2020	5	336475	1.48599450182034
	Black	2054-5	Female	F	26 years	26	2019	2019	5	358442	1.39492581784501
	Black	2054-5	Female	F	26 years	26	2020	2020	5	351487	1.42252771795258
	Black	2054-5	Female	F	27 years	27	2019	2019	5	367015	1.36234213860469
	Black	2054-5	Female	F	27 years	27	2020	2020	11	359410	3.06057149216772
	Black	2054-5	Female	F	28 years	28	2019	2019	7	373709	1.87311517785229
	Black	2054-5	Female	F	28 years	28	2020	2020	8	367952	2.17419663434361
	Black	2054-5	Female	F	29 years	29	2019	2019	9	369121	2.43822486393351
	Black	2054-5	Female	F	29 years	29	2020	2020	11	374474	2.93745360158516
	Black	2054-5	Female	F	30 years	30	2019	2019	8	347655	2.30113186923818
	Black	2054-5	Female	F	30 years	30	2020	2020	11	369804	2.97454867984121
	Black	2054-5	Female	F	31 years	31	2019	2019	8	326477	2.45040232543181
	Black	2054-5	Female	F	31 years	31	2020	2020	19	348247	5.45589768181779
	Black	2054-5	Female	F	32 years	32	2019	2019	20	314339	6.36255762091245
	Black	2054-5	Female	F	32 years	32	2020	2020	21	326994	6.42213618598506
	Black	2054-5	Female	F	33 years	33	2019	2019	19	309321	6.1424862844747
	Black	2054-5	Female	F	33 years	33	2020	2020	19	314921	6.03325913483064
	Black	2054-5	Female	F	34 years	34	2019	2019	20	308111	6.49116714430838
	Black	2054-5	Female	F	34 years	34	2020	2020	21	309726	6.78018635826505
	Black	2054-5	Female	F	35 years	35	2019	2019	17	296215	5.73907465860946
	Black	2054-5	Female	F	35 years	35	2020	2020	24	308355	7.7832368536265
	Black	2054-5	Female	F	36 years	36	2019	2019	20	299671	6.67398580443219
	Black	2054-5	Female	F	36 years	36	2020	2020	27	296468	9.10722236463969
	Black	2054-5	Female	F	37 years	37	2019	2019	26	300457	8.65348452523988
	Black	2054-5	Female	F	37 years	37	2020	2020	26	299803	8.67236151739642
	Black	2054-5	Female	F	38 years	38	2019	2019	40	298082	13.4191262806879
	Black	2054-5	Female	F	38 years	38	2020	2020	30	300422	9.98595309264967
	Black	2054-5	Female	F	39 years	39	2019	2019	30	308614	9.72088110066296
	Black	2054-5	Female	F	39 years	39	2020	2020	31	297944	10.4046397980829
	Black	2054-5	Female	F	40 years	40	2019	2019	39	288854	13.5016305815395
	Black	2054-5	Female	F	40 years	40	2020	2020	33	308388	10.7008054788124
	Black	2054-5	Female	F	41 years	41	2019	2019	41	278623	14.7152245148462
	Black	2054-5	Female	F	41 years	41	2020	2020	55	288655	19.0538878592091
	Black	2054-5	Female	F	42 years	42	2019	2019	34	275690	12.3326925169575
	Black	2054-5	Female	F	42 years	42	2020	2020	54	278298	19.4036608240088
	Black	2054-5	Female	F	43 years	43	2019	2019	37	264224	14.0032699527674
	Black	2054-5	Female	F	43 years	43	2020	2020	49	275275	17.8003814367451
	Black	2054-5	Female	F	44 years	44	2019	2019	49	271569	18.0432965471022
	Black	2054-5	Female	F	44 years	44	2020	2020	61	263752	23.1277867087264
	Black	2054-5	Female	F	45 years	45	2019	2019	47	263255	17.8534120909384
	Black	2054-5	Female	F	45 years	45	2020	2020	85	271025	31.3624204409187
	Black	2054-5	Female	F	46 years	46	2019	2019	45	271388	16.5814258552331
	Black	2054-5	Female	F	46 years	46	2020	2020	52	262660	19.7974567882434
	Black	2054-5	Female	F	47 years	47	2019	2019	49	280179	17.4888196474397
	Black	2054-5	Female	F	47 years	47	2020	2020	69	270709	25.4886243161476
	Black	2054-5	Female	F	48 years	48	2019	2019	68	292937	23.2131823566159
	Black	2054-5	Female	F	48 years	48	2020	2020	79	279356	28.2793281690746
	Black	2054-5	Female	F	49 years	49	2019	2019	83	290233	28.5977128720717
	Black	2054-5	Female	F	49 years	49	2020	2020	93	291869	31.8636100442322
	Black	2054-5	Female	F	50 years	50	2019	2019	67	268859	24.9201254188999
	Black	2054-5	Female	F	50 years	50	2020	2020	99	288991	34.2571221941168
	Black	2054-5	Female	F	51 years	51	2019	2019	97	269903	35.9388372859879
	Black	2054-5	Female	F	51 years	51	2020	2020	96	267640	35.8690778657899
	Black	2054-5	Female	F	52 years	52	2019	2019	84	269494	31.169525110021
	Black	2054-5	Female	F	52 years	52	2020	2020	115	268583	42.817304148066
	Black	2054-5	Female	F	53 years	53	2019	2019	108	278430	38.7889236073699
	Black	2054-5	Female	F	53 years	53	2020	2020	124	268113	46.249156139389
	Black	2054-5	Female	F	54 years	54	2019	2019	108	291476	37.0527933689223
	Black	2054-5	Female	F	54 years	54	2020	2020	115	276876	41.5348387003568
	Black	2054-5	Female	F	55 years	55	2019	2019	102	289560	35.2258599254041
	Black	2054-5	Female	F	55 years	55	2020	2020	152	289680	52.4716929025131
	Black	2054-5	Female	F	56 years	56	2019	2019	113	285563	39.5709528195179
	Black	2054-5	Female	F	56 years	56	2020	2020	155	287523	53.9087307797985
	Black	2054-5	Female	F	57 years	57	2019	2019	126	282611	44.5842518514849
	Black	2054-5	Female	F	57 years	57	2020	2020	160	283364	56.464476786042
	Black	2054-5	Female	F	58 years	58	2019	2019	152	283410	53.632546487421
	Black	2054-5	Female	F	58 years	58	2020	2020	147	280243	52.4544770074543
	Black	2054-5	Female	F	59 years	59	2019	2019	140	288550	48.5184543406689
	Black	2054-5	Female	F	59 years	59	2020	2020	182	280852	64.8028142936493
	Black	2054-5	Female	F	60 years	60	2019	2019	141	275116	51.2511086232716
	Black	2054-5	Female	F	60 years	60	2020	2020	178	285662	62.3114029867466
	Black	2054-5	Female	F	61 years	61	2019	2019	174	265681	65.4920750825238
	Black	2054-5	Female	F	61 years	61	2020	2020	223	272101	81.9548623489072
	Black	2054-5	Female	F	62 years	62	2019	2019	172	263612	65.2474090709072
	Black	2054-5	Female	F	62 years	62	2020	2020	183	262530	69.7063192777968
	Black	2054-5	Female	F	63 years	63	2019	2019	163	252033	64.6740704590272
	Black	2054-5	Female	F	63 years	63	2020	2020	226	260334	86.8115574608004
	Black	2054-5	Female	F	64 years	64	2019	2019	178	245049	72.6385335177862
	Black	2054-5	Female	F	64 years	64	2020	2020	247	248686	99.3220366244984
	Black	2054-5	Female	F	65 years	65	2019	2019	185	230743	80.1757799803244
	Black	2054-5	Female	F	65 years	65	2020	2020	228	241521	94.4017290421951
	Black	2054-5	Female	F	66 years	66	2019	2019	183	215145	85.0589137558391
	Black	2054-5	Female	F	66 years	66	2020	2020	234	227228	102.98026651645
	Black	2054-5	Female	F	67 years	67	2019	2019	153	203340	75.2434346414872
	Black	2054-5	Female	F	67 years	67	2020	2020	216	211641	102.059619827916
	Black	2054-5	Female	F	68 years	68	2019	2019	157	200723	78.2172446605521
	Black	2054-5	Female	F	68 years	68	2020	2020	228	199928	114.041054779721
	Black	2054-5	Female	F	69 years	69	2019	2019	181	193295	93.6392560593911
	Black	2054-5	Female	F	69 years	69	2020	2020	226	197165	114.624806634037
	Black	2054-5	Female	F	70 years	70	2019	2019	168	178620	94.054417198522
	Black	2054-5	Female	F	70 years	70	2020	2020	240	189606	126.578272839467
	Black	2054-5	Female	F	71 years	71	2019	2019	189	168395	112.236111523501
	Black	2054-5	Female	F	71 years	71	2020	2020	242	175050	138.246215367038
	Black	2054-5	Female	F	72 years	72	2019	2019	173	158414	109.207519537415
	Black	2054-5	Female	F	72 years	72	2020	2020	248	164656	150.617044019046
	Black	2054-5	Female	F	73 years	73	2019	2019	175	126209	138.658891204272
	Black	2054-5	Female	F	73 years	73	2020	2020	247	154613	159.753707644247
	Black	2054-5	Female	F	74 years	74	2019	2019	164	124520	131.705750080308
	Black	2054-5	Female	F	74 years	74	2020	2020	212	122911	172.482528008071
	Black	2054-5	Female	F	75 years	75	2019	2019	179	115181	155.407575902276
	Black	2054-5	Female	F	75 years	75	2020	2020	207	121057	170.993829353115
	Black	2054-5	Female	F	76 years	76	2019	2019	179	112267	159.441331825024
	Black	2054-5	Female	F	76 years	76	2020	2020	203	111679	181.77096857959
	Black	2054-5	Female	F	77 years	77	2019	2019	206	99481	207.074717785306
	Black	2054-5	Female	F	77 years	77	2020	2020	218	108558	200.814311243759
	Black	2054-5	Female	F	78 years	78	2019	2019	177	92851	190.627995390464
	Black	2054-5	Female	F	78 years	78	2020	2020	229	95927	238.723195763445
	Black	2054-5	Female	F	79 years	79	2019	2019	183	88099	207.720859487622
	Black	2054-5	Female	F	79 years	79	2020	2020	251	89232	281.289223596916
	Black	2054-5	Female	F	80 years	80	2019	2019	205	77902	263.151138610049
	Black	2054-5	Female	F	80 years	80	2020	2020	232	84346	275.057501244872
	Black	2054-5	Female	F	81 years	81	2019	2019	172	73775	233.141308031176
	Black	2054-5	Female	F	81 years	81	2020	2020	243	74259	327.233062659072
	Black	2054-5	Female	F	82 years	82	2019	2019	207	67110	308.448815377738
	Black	2054-5	Female	F	82 years	82	2020	2020	247	70048	352.615349474646
	Black	2054-5	Female	F	83 years	83	2019	2019	216	63845	338.31936721748
	Black	2054-5	Female	F	83 years	83	2020	2020	252	63392	397.526501766784
	Black	2054-5	Female	F	84 years	84	2019	2019	209	58897	354.856783876938
	Black	2054-5	Female	F	84 years	84	2020	2020	246	59882	410.807922247086
	Black	2054-5	Female	F	85 years	85	2019	2019	193	NA	NA
	Black	2054-5	Female	F	85 years	85	2020	2020	270	NA	NA
	Black	2054-5	Female	F	86 years	86	2019	2019	224	NA	NA
	Black	2054-5	Female	F	86 years	86	2020	2020	265	NA	NA
	Black	2054-5	Female	F	87 years	87	2019	2019	228	NA	NA
	Black	2054-5	Female	F	87 years	87	2020	2020	253	NA	NA
	Black	2054-5	Female	F	88 years	88	2019	2019	199	NA	NA
	Black	2054-5	Female	F	88 years	88	2020	2020	238	NA	NA
	Black	2054-5	Female	F	89 years	89	2019	2019	197	NA	NA
	Black	2054-5	Female	F	89 years	89	2020	2020	267	NA	NA
	Black	2054-5	Female	F	90 years	90	2019	2019	202	NA	NA
	Black	2054-5	Female	F	90 years	90	2020	2020	256	NA	NA
	Black	2054-5	Female	F	91 years	91	2019	2019	229	NA	NA
	Black	2054-5	Female	F	91 years	91	2020	2020	241	NA	NA
	Black	2054-5	Female	F	92 years	92	2019	2019	193	NA	NA
	Black	2054-5	Female	F	92 years	92	2020	2020	235	NA	NA
	Black	2054-5	Female	F	93 years	93	2019	2019	189	NA	NA
	Black	2054-5	Female	F	93 years	93	2020	2020	216	NA	NA
	Black	2054-5	Female	F	94 years	94	2019	2019	144	NA	NA
	Black	2054-5	Female	F	94 years	94	2020	2020	183	NA	NA
	Black	2054-5	Female	F	95 years	95	2019	2019	137	NA	NA
	Black	2054-5	Female	F	95 years	95	2020	2020	146	NA	NA
	Black	2054-5	Female	F	96 years	96	2019	2019	94	NA	NA
	Black	2054-5	Female	F	96 years	96	2020	2020	165	NA	NA
	Black	2054-5	Female	F	97 years	97	2019	2019	112	NA	NA
	Black	2054-5	Female	F	97 years	97	2020	2020	144	NA	NA
	Black	2054-5	Female	F	98 years	98	2019	2019	78	NA	NA
	Black	2054-5	Female	F	98 years	98	2020	2020	92	NA	NA
	Black	2054-5	Female	F	99 years	99	2019	2019	78	NA	NA
	Black	2054-5	Female	F	99 years	99	2020	2020	82	NA	NA
	Black	2054-5	Female	F	100 years	100	2019	2019	49	NA	NA
	Black	2054-5	Female	F	100 years	100	2020	2020	68	NA	NA
	Black	2054-5	Female	F	101 years	101	2019	2019	43	NA	NA
	Black	2054-5	Female	F	101 years	101	2020	2020	50	NA	NA
	Black	2054-5	Female	F	102 years	102	2019	2019	41	NA	NA
	Black	2054-5	Female	F	102 years	102	2020	2020	36	NA	NA
	Black	2054-5	Female	F	103 years	103	2019	2019	15	NA	NA
	Black	2054-5	Female	F	103 years	103	2020	2020	23	NA	NA
	Black	2054-5	Female	F	104 years	104	2019	2019	13	NA	NA
	Black	2054-5	Female	F	104 years	104	2020	2020	8	NA	NA
	Black	2054-5	Female	F	105 years	105	2019	2019	14	NA	NA
	Black	2054-5	Female	F	105 years	105	2020	2020	7	NA	NA
	Black	2054-5	Female	F	106 years	106	2019	2019	6	NA	NA
	Black	2054-5	Female	F	106 years	106	2020	2020	9	NA	NA
	Black	2054-5	Female	F	107 years	107	2019	2019	4	NA	NA
	Black	2054-5	Female	F	107 years	107	2020	2020	2	NA	NA
	Black	2054-5	Female	F	108 years	108	2019	2019	3	NA	NA
	Black	2054-5	Female	F	108 years	108	2020	2020	7	NA	NA
	Black	2054-5	Female	F	109 years	109	2020	2020	1	NA	NA
	Black	2054-5	Female	F	110 years	110	2019	2019	2	NA	NA
	Black	2054-5	Female	F	110 years	110	2020	2020	3	NA	NA
	Black	2054-5	Female	F	111 years	111	2019	2019	2	NA	NA
	Black	2054-5	Female	F	111 years	111	2020	2020	1	NA	NA
	Black	2054-5	Female	F	114 years	114	2019	2019	1	NA	NA
	Black	2054-5	Male	M	9 years	9	2020	2020	1	317472	0.31498840842657
	Black	2054-5	Male	M	12 years	12	2020	2020	1	327048	0.305765514542208
	Black	2054-5	Male	M	13 years	13	2020	2020	1	327196	0.305627208156579
	Black	2054-5	Male	M	15 years	15	2019	2019	1	310970	0.321574428401454
	Black	2054-5	Male	M	15 years	15	2020	2020	1	314000	0.318471337579618
	Black	2054-5	Male	M	17 years	17	2020	2020	1	309196	0.323419449151994
	Black	2054-5	Male	M	18 years	18	2020	2020	1	314231	0.318237220388822
	Black	2054-5	Male	M	19 years	19	2019	2019	3	335530	0.894107829404226
	Black	2054-5	Male	M	19 years	19	2020	2020	2	325780	0.613911228436368
	Black	2054-5	Male	M	20 years	20	2019	2019	3	328058	0.914472440848874
	Black	2054-5	Male	M	20 years	20	2020	2020	2	336085	0.595087552256126
	Black	2054-5	Male	M	21 years	21	2019	2019	2	329921	0.606205728037924
	Black	2054-5	Male	M	21 years	21	2020	2020	4	328369	1.21814178561314
	Black	2054-5	Male	M	22 years	22	2019	2019	4	328309	1.21836440670222
	Black	2054-5	Male	M	22 years	22	2020	2020	7	330312	2.11920850589745
	Black	2054-5	Male	M	23 years	23	2019	2019	3	328840	0.912297773993431
	Black	2054-5	Male	M	23 years	23	2020	2020	4	328580	1.21735954714225
	Black	2054-5	Male	M	24 years	24	2019	2019	6	345727	1.73547336482253
	Black	2054-5	Male	M	24 years	24	2020	2020	1	329039	0.303915341342516
	Black	2054-5	Male	M	25 years	25	2019	2019	8	360801	2.21728875474292
	Black	2054-5	Male	M	25 years	25	2020	2020	7	345949	2.02341963699852
	Black	2054-5	Male	M	26 years	26	2019	2019	14	371270	3.77084062811431
	Black	2054-5	Male	M	26 years	26	2020	2020	8	360985	2.21615856614541
