Cause of death Code	Race	Gender	Gender Code	Five-Year Ages	Five-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
I11.9	Black	Female	F	20-24 years	20-24	1999	1999	4	1331673	0.300374040774274
I12.0	Black	Female	F	20-24 years	20-24	1999	1999	1	1331673	0.0750935101935685
I11.0	Black	Female	F	20-24 years	20-24	1999	1999	1	1331673	0.0750935101935685
I13.2	Black	Female	F	20-24 years	20-24	1999	1999	2	1331673	0.150187020387137
I10	Black	Female	F	20-24 years	20-24	2000	2000	2	1361689	0.146876415980448
I11.9	Black	Female	F	20-24 years	20-24	2000	2000	3	1361689	0.220314623970672
I12.0	Black	Female	F	20-24 years	20-24	2000	2000	3	1361689	0.220314623970672
I13.1	Black	Female	F	20-24 years	20-24	2000	2000	2	1361689	0.146876415980448
I10	Black	Female	F	20-24 years	20-24	2001	2001	1	1420272	0.070409048407629
I11.0	Black	Female	F	20-24 years	20-24	2001	2001	1	1420272	0.070409048407629
I11.9	Black	Female	F	20-24 years	20-24	2001	2001	2	1420272	0.140818096815258
I13.1	Black	Female	F	20-24 years	20-24	2001	2001	1	1420272	0.070409048407629
I10	Black	Female	F	20-24 years	20-24	2002	2002	1	1452733	0.0688357736762364
I11.9	Black	Female	F	20-24 years	20-24	2002	2002	3	1452733	0.206507321028709
I12.0	Black	Female	F	20-24 years	20-24	2002	2002	2	1452733	0.137671547352473
I13.1	Black	Female	F	20-24 years	20-24	2002	2002	1	1452733	0.0688357736762364
I10	Black	Female	F	20-24 years	20-24	2003	2003	1	1474407	0.0678238776674283
I11.9	Black	Female	F	20-24 years	20-24	2003	2003	5	1474407	0.339119388337142
I12.0	Black	Female	F	20-24 years	20-24	2003	2003	4	1474407	0.271295510669713
I10	Black	Female	F	20-24 years	20-24	2004	2004	1	1483898	0.0673900766764292
I12.0	Black	Female	F	20-24 years	20-24	2004	2004	2	1483898	0.134780153352858
I11.0	Black	Female	F	20-24 years	20-24	2004	2004	1	1483898	0.0673900766764292
I11.9	Black	Female	F	20-24 years	20-24	2004	2004	5	1483898	0.336950383382146
I13.1	Black	Female	F	20-24 years	20-24	2004	2004	1	1483898	0.0673900766764292
I10	Black	Female	F	20-24 years	20-24	2005	2005	1	1483098	0.0674264276534659
I11.9	Black	Female	F	20-24 years	20-24	2005	2005	8	1483098	0.539411421227727
I12.0	Black	Female	F	20-24 years	20-24	2005	2005	3	1483098	0.202279282960398
I13.1	Black	Female	F	20-24 years	20-24	2005	2005	1	1483098	0.0674264276534659
I11.9	Black	Female	F	20-24 years	20-24	2006	2006	2	1487479	0.134455679710436
I12.0	Black	Female	F	20-24 years	20-24	2006	2006	2	1487479	0.134455679710436
I13.1	Black	Female	F	20-24 years	20-24	2006	2006	1	1487479	0.0672278398552181
I11.9	Black	Female	F	20-24 years	20-24	2007	2007	8	1498025	0.534036481367133
I12.0	Black	Female	F	20-24 years	20-24	2007	2007	2	1498025	0.133509120341783
I13.1	Black	Female	F	20-24 years	20-24	2007	2007	1	1498025	0.0667545601708917
