Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	20 years	20	50	7472392	0.669129777988093
Black or African American	Female	F	25 years	25	131	6983485	1.87585424755691
Black or African American	Female	F	30 years	30	266	6681550	3.98111216708698
Black or African American	Female	F	35 years	35	437	7036866	6.21015093935283
Black or African American	Female	F	40 years	40	933	7429012	12.5588705469853
Black or African American	Female	F	45 years	45	1494	7255476	20.591343696816
Black or African American	Female	F	50 years	50	1911	6350099	30.0940190066328
Black or African American	Female	F	55 years	55	1904	5138112	37.0564129392275
Black or African American	Female	F	60 years	60	1834	3681274	49.8197091550371
Black or African American	Female	F	65 years	65	1943	2894958	67.1166904666665
Black or African American	Female	F	70 years	70	2357	2327359	101.273589506389
Black or African American	Female	F	75 years	75	2762	1841431	149.992044230818
Black or African American	Female	F	80 years	80	3294	1319230	249.691107691608
Black or African American	Female	F	85 years	85	6943	1211548	573.068504095587
Black or African American	Male	M	20 years	20	90	7387826	1.2182203533218
Black or African American	Male	M	25 years	25	211	6286025	3.35665225639414
Black or African American	Male	M	30 years	30	416	5931822	7.01302230579407
Black or African American	Male	M	35 years	35	807	6238830	12.9351176422502
Black or African American	Male	M	40 years	40	1355	6576944	20.6022736395505
Black or African American	Male	M	45 years	45	2229	6419026	34.7248943998669
Black or African American	Male	M	50 years	50	2903	5500032	52.78151108939
Black or African American	Male	M	55 years	55	2986	4318343	69.1468926854583
Black or African American	Male	M	60 years	60	2791	2953950	94.4836574755835
Black or African American	Male	M	65 years	65	2451	2200168	111.400583955407
Black or African American	Male	M	70 years	70	2315	1624551	142.50091255984
Black or African American	Male	M	75 years	75	2242	1119079	200.34331803206
Black or African American	Male	M	80 years	80	1975	685376	288.16299374358
Black or African American	Male	M	85 years	85	2516	450171	558.898729593865
White	Female	F	20 years	20	18	31338848	0.0574366996514996
White	Female	F	25 years	25	52	29743207	0.174829835935311
White	Female	F	30 years	30	128	29155261	0.439028825706619
White	Female	F	35 years	35	277	33221092	0.833807630405406
White	Female	F	40 years	40	748	37653071	1.98655774983135
White	Female	F	45 years	45	1285	40360287	3.18382275130997
White	Female	F	50 years	50	1665	38350993	4.3414781984915
White	Female	F	55 years	55	2221	34806497	6.38099260606432
White	Female	F	60 years	60	2575	27977902	9.20369225683899
White	Female	F	65 years	65	3010	22100289	13.6197313980826
White	Female	F	70 years	70	4455	18823087	23.6677437659402
White	Female	F	75 years	75	7388	17385694	42.4947085805145
White	Female	F	80 years	80	13240	14595334	90.7139226824134
White	Female	F	85 years	85	44770	14448773	309.853300345988
White	Male	M	20 years	20	70	32327873	0.216531412382126
White	Male	M	25 years	25	180	29877522	0.602459601569367
White	Male	M	30 years	30	396	29629060	1.33652569470648
White	Male	M	35 years	35	912	33558400	2.71765042433489
White	Male	M	40 years	40	1787	37581833	4.75495700276248
White	Male	M	45 years	45	3344	39974085	8.36541974631815
White	Male	M	50 years	50	4314	37526033	11.4960193101147
White	Male	M	55 years	55	4919	33573909	14.6512579157822
White	Male	M	60 years	60	4859	26337876	18.4487162138663
White	Male	M	65 years	65	4456	19979874	22.3024429483389
White	Male	M	70 years	70	4937	15952761	30.9476209165297
White	Male	M	75 years	75	6700	13242662	50.5940572975433
White	Male	M	80 years	80	8682	9339080	92.9641891920832
White	Male	M	85 years	85	16780	6572211	255.317426662047
