Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
Black or African American	Female	F	1999	1999	4692	12163795	38.5734879616107	37.4697499973485	39.6772259258728	0.563131614419471	45.2869379062798	43.9911019501928	46.5827738623668	0.66114079392194
White	Female	F	1999	1999	13373	76100624	17.5727862625673	17.2749467751402	17.8706257499944	0.151958922156687	12.3462385578308	12.1369833316661	12.5554937839955	0.106762870492184
Black or African American	Male	M	1999	1999	3874	10238425	37.8378510366585	36.6463272237124	39.0293748496046	0.607920312727609	56.0812478788	54.315234733852	57.847261023748	0.901027114769398
White	Male	M	1999	1999	8675	70524532	12.3006842498437	12.0418328009608	12.5595356987267	0.132067065756616	13.5275902029503	13.2429201591702	13.8122602467305	0.145239818255175
Black or African American	Female	F	2000	2000	4857	12317864	39.4305376321739	38.3216061367558	40.539469127592	0.565781375213298	46.0901803327586	44.7939552323738	47.3864054331435	0.661339336931059
White	Female	F	2000	2000	13903	76275378	18.2273760740982	17.9243877002993	18.5303644478972	0.15458590499945	12.6926742462193	12.4816876119726	12.9036608804659	0.107646241962563
Black or African American	Male	M	2000	2000	3905	10390872	37.5810615316982	36.4023308300617	38.7597922333347	0.601393215120656	55.4879820829083	53.7476004814516	57.228363684365	0.887949796661574
White	Male	M	2000	2000	9168	70735270	12.9610023401339	12.6956900563012	13.2263146239666	0.135363410118724	14.1085697804034	13.8197667409609	14.3973728198459	0.147348489511472
Black or African American	Female	F	2001	2001	4819	12561888	38.3620678675053	37.2789402800616	39.445195454949	0.552616116042703	44.8235413314972	43.5579783188163	46.089104344178	0.64569541463309
White	Female	F	2001	2001	14407	76650813	18.7956258206942	18.4887051886573	19.1025464527311	0.156592159202496	13.0299821501918	12.8172108173766	13.2427534830071	0.108556802456773
Black or African American	Male	M	2001	2001	4059	10617702	38.2286110497356	37.052535923312	39.4046861761592	0.600038329807956	55.7175701858428	54.0034600834622	57.4316802882234	0.874545970602347
White	Male	M	2001	2001	9564	71245427	13.4240194812784	13.1549782379194	13.6930607246375	0.137265940489319	14.373019260291	14.0849583722682	14.6610801483138	0.146969840827961
Black or African American	Female	F	2002	2002	5109	12751720	40.0651833634992	38.9665437488942	41.1638229781042	0.560530415614786	46.7907007398274	45.5076386616756	48.0737628179791	0.65462350926108
White	Female	F	2002	2002	14874	76913672	19.3385644102391	19.0277748556404	19.6493539648377	0.158566099285044	13.4127709041911	13.1972146195147	13.6283271888676	0.109977696263506
Black or African American	Male	M	2002	2002	4467	10793862	41.3846313766102	40.1709989091744	42.5982638440459	0.61920023848765	59.8458404160017	58.0908204350604	61.600860396943	0.89541835762311
White	Male	M	2002	2002	10442	71592855	14.5852543525468	14.3054991098318	14.8650095952618	0.142732266691328	15.3470509142792	15.0526838878492	15.6414179407091	0.150187258382628
Black or African American	Female	F	2003	2003	5323	12931558	41.1628668409483	40.0570493565471	42.2686843253496	0.564192594082279	47.5848095076359	46.3064701113842	48.8631489038876	0.652213977679444
White	Female	F	2003	2003	15731	77168450	20.3852740336238	20.0667116738553	20.7038363933924	0.162531816208447	14.0355315348557	13.8161971251747	14.2548659445366	0.111905311061717
Black or African American	Male	M	2003	2003	4683	10951819	42.7600200478112	41.5353139149793	43.9847261806432	0.624850067771413	60.7021485589703	58.9635550425706	62.4407420753701	0.887037508367223
White	Male	M	2003	2003	11322	71883621	15.7504586475965	15.4603319458164	16.0405853493766	0.148023827438811	16.2749038391121	15.9751167485724	16.5746909296519	0.152952597214152
Black or African American	Female	F	2004	2004	5314	13119707	40.5039533276162	39.4149161392561	41.5929905159763	0.555631218551073	46.8319144980534	45.5727362623401	48.0910927337667	0.642437875363917
White	Female	F	2004	2004	15830	77411268	20.4492193565412	20.1306585461372	20.7677801669452	0.162531025716324	13.9834244829823	13.7655887329786	14.201260232986	0.111140688777388
Black or African American	Male	M	2004	2004	4879	11147229	43.7687249450065	42.5405660516781	44.9968838383349	0.62661168026961	61.6164651585506	59.8874952204266	63.3454350966747	0.882127519451037
White	Male	M	2004	2004	11739	72292146	16.2382784984693	15.9445267193221	16.5320302776164	0.149873356707733	16.5943010051285	16.2941087498707	16.8944932603863	0.153159313907047
Black or African American	Female	F	2005	2005	5328	13316367	40.0109128863751	38.9365464716269	41.0852793011233	0.548146129973578	45.9583090866959	44.7242441729164	47.1923740004754	0.62962495600995
White	Female	F	2005	2005	16399	77697870	21.1061126900905	20.7830731814445	21.4291521987364	0.164816075839776	14.2481967680797	14.0301210593675	14.4662724767919	0.111263116689908
Black or African American	Male	M	2005	2005	5022	11337702	44.294690405516	43.0695964764503	45.5197843345818	0.62504792299274	62.4235771237219	60.69707797304	64.1500762744038	0.880866913613207
White	Male	M	2005	2005	12168	72693460	16.7387822783508	16.4413621673592	17.0362023893423	0.151744954587526	16.856632229094	16.5571181219654	17.1561463362226	0.152813319963591
Black or African American	Female	F	2006	2006	5058	13520870	37.4088353781968	36.3778776780512	38.4397930783425	0.525998826604931	42.3946835228492	41.2263198199633	43.5630472257351	0.596103930043839
White	Female	F	2006	2006	16365	78000379	20.9806672862449	20.6592143750331	21.3021201974566	0.164006587352912	14.00089387034	13.7863807648804	14.2154069757996	0.109445461969182
Black or African American	Male	M	2006	2006	5061	11539255	43.8589839638694	42.6506236055207	45.0673443222181	0.616510386912584	61.1579980632874	59.4730319793371	62.8429641472377	0.85967657344404
White	Male	M	2006	2006	12365	73119380	16.9107013762972	16.6126297538797	17.2087729987148	0.152077358376307	16.6959255685179	16.4016396302099	16.990211506826	0.150145886891867
Black or African American	Female	F	2007	2007	5140	13726384	37.4461329363946	36.4224122325381	38.4698536402511	0.522306481559453	42.1298270636697	40.9780612381242	43.2815928892152	0.587635625278326
White	Female	F	2007	2007	16530	78281441	21.1161161430332	20.7942067222675	21.4380255637989	0.16423950039065	13.9796578023944	13.7665417390432	14.1927738657457	0.108732685383293
Black or African American	Male	M	2007	2007	5087	11732266	43.3590578324767	42.1675276737837	44.5505879911697	0.607923550353591	58.8733328723698	57.2554621167083	60.4912036280314	0.825444263092639
White	Male	M	2007	2007	12668	73490826	17.237525674293	16.9373489803884	17.5377023681976	0.15315137444112	16.7004889143303	16.4096642540155	16.9913135746452	0.148379928732044
Black or African American	Female	F	2008	2008	5419	13939464	38.8752393922751	37.8401697476561	39.9103090368941	0.528096757458672	43.0664291128277	41.9197672742467	44.2130909514088	0.585031550296445
White	Female	F	2008	2008	16708	78569377	21.2652825285862	20.9428305878629	21.5877344693094	0.164516296287359	13.93775385992	13.7264114629679	14.149096256872	0.107827753546961
Black or African American	Male	M	2008	2008	5238	11935691	43.8851843600844	42.696706073891	45.0736626462778	0.606366472547663	59.0755503461748	57.4756935868806	60.6754071054691	0.816253448619511
White	Male	M	2008	2008	13396	73877367	18.1327523489027	17.8256859951101	18.4398187026954	0.15666650703705	17.3096081422321	17.0164811995849	17.6027350848794	0.149554562575145
Black or African American	Female	F	2009	2009	5329	14164261	37.622859392382	36.6127113867783	38.6330073979857	0.515381635512082	41.2205299413293	40.1137869456443	42.3272729370143	0.56466479371684
White	Female	F	2009	2009	16460	78871375	20.8694218910219	20.5505974736985	21.1882463083454	0.162665519042564	13.6260184508546	13.4178522919779	13.8341846097314	0.106207223916699
Black or African American	Male	M	2009	2009	5444	12149152	44.8097118218621	43.6193769302889	46.0000467134353	0.607313720190404	58.8154942190277	57.2531066899057	60.3778817481498	0.797136494450023
White	Male	M	2009	2009	13649	74262555	18.379383795777	18.0710390153511	18.687728576203	0.157318765523446	17.1981570123949	16.9096292790039	17.4866847457858	0.147208027240283
Black or African American	Female	F	2010	2010	5205	14348500	36.2755688747953	35.2900613691623	37.2610763804283	0.502809951853581	39.3459225076857	38.277001932485	40.4148430828864	0.545367640408529
White	Female	F	2010	2010	16660	79104893	21.0606441247572	20.7408354627215	21.380452786793	0.163167684712121	13.6411159065635	13.4339737602497	13.8482580528772	0.105684768527435
