Race,Hispanic Origin,Five-Year Age Groups,Gender,Deaths,Year
White,Hispanic or Latino,< 1 year,Female,5,1999
White,Hispanic or Latino,1-4 years,Female,38,1999
White,Hispanic or Latino,5-9 years,Female,42,1999
Black or African American,Hispanic or Latino,10-14 years,Female,5,1999
White,Hispanic or Latino,10-14 years,Female,40,1999
White,Hispanic or Latino,15-19 years,Female,39,1999
White,Hispanic or Latino,20-24 years,Female,62,1999
Black or African American,Hispanic or Latino,25-29 years,Female,5,1999
White,Hispanic or Latino,25-29 years,Female,87,1999
Black or African American,Hispanic or Latino,30-34 years,Female,5,1999
White,Hispanic or Latino,30-34 years,Female,151,1999
American Indian or Alaska Native,Hispanic or Latino,35-39 years,Female,5,1999
Black or African American,Hispanic or Latino,35-39 years,Female,5,1999
White,Hispanic or Latino,35-39 years,Female,267,1999
American Indian or Alaska Native,Hispanic or Latino,40-44 years,Female,5,1999
Asian or Pacific Islander,Hispanic or Latino,40-44 years,Female,5,1999
Black or African American,Hispanic or Latino,40-44 years,Female,11,1999
White,Hispanic or Latino,40-44 years,Female,414,1999
Asian or Pacific Islander,Hispanic or Latino,45-49 years,Female,5,1999
Black or African American,Hispanic or Latino,45-49 years,Female,5,1999
White,Hispanic or Latino,45-49 years,Female,544,1999
American Indian or Alaska Native,Hispanic or Latino,50-54 years,Female,5,1999
Asian or Pacific Islander,Hispanic or Latino,50-54 years,Female,5,1999
Black or African American,Hispanic or Latino,50-54 years,Female,12,1999
White,Hispanic or Latino,50-54 years,Female,710,1999
Asian or Pacific Islander,Hispanic or Latino,55-59 years,Female,5,1999
Black or African American,Hispanic or Latino,55-59 years,Female,5,1999
White,Hispanic or Latino,55-59 years,Female,722,1999
American Indian or Alaska Native,Hispanic or Latino,60-64 years ,Female,5,1999
Asian or Pacific Islander,Hispanic or Latino,60-64 years ,Female,5,1999
Black or African American,Hispanic or Latino,60-64 years ,Female,20,1999
White,Hispanic or Latino,60-64 years ,Female,867,1999
