Race,Hispanic Origin,Five-Year Age Groups,Gender,Deaths,Year
Black or African American,Hispanic or Latino,< 1 year,Female,5,2020
White,Hispanic or Latino,< 1 year,Female,5,1999
White,Hispanic or Latino,< 1 year,Female,5,2002
White,Hispanic or Latino,< 1 year,Female,5,2008
White,Hispanic or Latino,< 1 year,Female,5,2009
White,Hispanic or Latino,< 1 year,Female,5,2010
White,Hispanic or Latino,< 1 year,Female,5,2015
Black or African American,Not Hispanic or Latino,< 1 year,Female,5,2002
Black or African American,Not Hispanic or Latino,< 1 year,Female,5,2004
Black or African American,Not Hispanic or Latino,< 1 year,Female,5,2005
Black or African American,Not Hispanic or Latino,< 1 year,Female,5,2011
Black or African American,Not Hispanic or Latino,< 1 year,Female,5,2016
Black or African American,Not Hispanic or Latino,< 1 year,Female,5,2019
White,Not Hispanic or Latino,< 1 year,Female,5,1999
White,Not Hispanic or Latino,< 1 year,Female,5,2002
White,Not Hispanic or Latino,< 1 year,Female,5,2008
White,Not Hispanic or Latino,< 1 year,Female,5,2012
White,Not Hispanic or Latino,< 1 year,Female,5,2018
White,Not Hispanic or Latino,< 1 year,Female,5,2019
Black or African American,Hispanic or Latino,< 1 year,Male,5,2005
White,Hispanic or Latino,< 1 year,Male,5,2000
White,Hispanic or Latino,< 1 year,Male,5,2002
White,Hispanic or Latino,< 1 year,Male,5,2008
White,Hispanic or Latino,< 1 year,Male,5,2013
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,1999
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2001
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2003
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2004
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2006
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2008
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2010
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2011
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2015
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2016
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2017
White,Not Hispanic or Latino,< 1 year,Male,5,1999
White,Not Hispanic or Latino,< 1 year,Male,5,2002
White,Not Hispanic or Latino,< 1 year,Male,5,2005
White,Not Hispanic or Latino,< 1 year,Male,5,2007
White,Not Hispanic or Latino,< 1 year,Male,5,2008
White,Not Hispanic or Latino,< 1 year,Male,5,2013
White,Not Hispanic or Latino,< 1 year,Male,5,2014
White,Not Hispanic or Latino,< 1 year,Male,5,2015
White,Hispanic or Latino,1-4 years,Female,5,1999
White,Hispanic or Latino,1-4 years,Female,5,2000
White,Hispanic or Latino,1-4 years,Female,5,2008
White,Hispanic or Latino,1-4 years,Female,5,2015
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,1999
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2000
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2010
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2014
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2015
White,Not Hispanic or Latino,1-4 years,Female,5,2001
White,Not Hispanic or Latino,1-4 years,Female,5,2006
White,Not Hispanic or Latino,1-4 years,Female,5,2011
White,Not Hispanic or Latino,1-4 years,Female,5,2012
White,Not Hispanic or Latino,1-4 years,Female,5,2019
White,Hispanic or Latino,1-4 years,Male,5,2003
White,Hispanic or Latino,1-4 years,Male,5,2004
White,Hispanic or Latino,1-4 years,Male,5,2013
White,Hispanic or Latino,1-4 years,Male,5,2014
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2015
