Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	707	11050062	6.39815414610343
Black or African American	Not Hispanic or Latino	20-24 years	M	1184	10929409	10.833156669313
Black or African American	Not Hispanic or Latino	25-29 years	F	1283	10158086	12.6303321314665
Black or African American	Not Hispanic or Latino	25-29 years	M	1898	9335122	20.3318178380529
Black or African American	Not Hispanic or Latino	30-34 years	F	2168	9566672	22.6620082720511
Black or African American	Not Hispanic or Latino	30-34 years	M	3328	8570746	38.8297588097932
Black or African American	Not Hispanic or Latino	35-39 years	F	3702	9701843	38.157698490895
Black or African American	Not Hispanic or Latino	35-39 years	M	5987	8605616	69.5708476883003
Black or African American	Not Hispanic or Latino	40-44 years	F	6729	10057585	66.9047291173776
Black or African American	Not Hispanic or Latino	40-44 years	M	10354	8954276	115.631905918468
Black or African American	Not Hispanic or Latino	45-49 years	F	11947	10339811	115.54369804245
Black or African American	Not Hispanic or Latino	45-49 years	M	18107	9185839	197.118630100092
Black or African American	Not Hispanic or Latino	50-54 years	F	17484	9687107	180.4873219631
Black or African American	Not Hispanic or Latino	50-54 years	M	28192	8486455	332.199958639974
Black or African American	Not Hispanic or Latino	55-59 years	F	21127	8148890	259.262304436555
Black or African American	Not Hispanic or Latino	55-59 years	M	35094	6885704	509.664661739744
Black or African American	Not Hispanic or Latino	60-64 years	F	23656	6151985	384.526295171396
Black or African American	Not Hispanic or Latino	60-64 years	M	36510	4992332	731.321554736344
Black or African American	Not Hispanic or Latino	65-69 years	F	25440	4493494	566.151863115874
Black or African American	Not Hispanic or Latino	65-69 years	M	35054	3438593	1019.42858605249
Black or African American	Not Hispanic or Latino	70-74 years	F	30549	3451939	884.980875965653
Black or African American	Not Hispanic or Latino	70-74 years	M	34918	2447118	1426.90299364395
Black or African American	Not Hispanic or Latino	75-79 years	F	38018	2652820	1433.11645720403
Black or African American	Not Hispanic or Latino	75-79 years	M	35004	1655142	2114.86386062344
Black or African American	Not Hispanic or Latino	80-84 years	F	46607	1924283	2422.04499026391
Black or African American	Not Hispanic or Latino	80-84 years	M	32500	1013701	3206.07358580094
White	Not Hispanic or Latino	20-24 years	F	1107	43961502	2.51811232473358
White	Not Hispanic or Latino	20-24 years	M	2103	45419515	4.63016833182829
White	Not Hispanic or Latino	25-29 years	F	1865	42996556	4.33755671035606
White	Not Hispanic or Latino	25-29 years	M	3672	43487715	8.44376394574882
White	Not Hispanic or Latino	30-34 years	F	3285	40500557	8.11099955983321
White	Not Hispanic or Latino	30-34 years	M	6566	41187939	15.9415599794882
White	Not Hispanic or Latino	35-39 years	F	6159	43382242	14.1970532551084
White	Not Hispanic or Latino	35-39 years	M	13060	43852775	29.7814676494247
White	Not Hispanic or Latino	40-44 years	F	12666	48458553	26.1378006891786
White	Not Hispanic or Latino	40-44 years	M	27985	48599406	57.5830083190729
White	Not Hispanic or Latino	45-49 years	F	24141	54602317	44.2124095210099
White	Not Hispanic or Latino	45-49 years	M	57072	54105170	105.483450102828
White	Not Hispanic or Latino	50-54 years	F	37471	55541764	67.4645479390968
White	Not Hispanic or Latino	50-54 years	M	93958	54413985	172.672521595321
White	Not Hispanic or Latino	55-59 years	F	52531	51454895	102.091355934163
White	Not Hispanic or Latino	55-59 years	M	128392	49562426	259.05108034865
White	Not Hispanic or Latino	60-64 years	F	75936	44375263	171.122366080399
White	Not Hispanic or Latino	60-64 years	M	159475	41990687	379.786594108355
White	Not Hispanic or Latino	65-69 years	F	98072	34604279	283.410037238458
White	Not Hispanic or Latino	65-69 years	M	176132	31590281	557.551229126452
White	Not Hispanic or Latino	70-74 years	F	139127	27266367	510.25132904578
White	Not Hispanic or Latino	70-74 years	M	206042	23522947	875.919160979277
White	Not Hispanic or Latino	75-79 years	F	228665	23422782	976.250387336568
White	Not Hispanic or Latino	75-79 years	M	273132	18405785	1483.94648747663
White	Not Hispanic or Latino	80-84 years	F	383525	20018796	1915.82450812726
White	Not Hispanic or Latino	80-84 years	M	357858	13434174	2663.78863337634
