Race	Hispanic Origin	Age_groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	Female	2000	118	1361689	8.66570854284642
Black or African American	Not Hispanic or Latino	20-24 years	Female	2001	119	1420272	8.37867676050785
Black or African American	Not Hispanic or Latino	20-24 years	Female	2002	99	1452733	6.81474159394741
Black or African American	Not Hispanic or Latino	20-24 years	Female	2003	125	1474407	8.47798470842854
Black or African American	Not Hispanic or Latino	20-24 years	Female	2004	89	1483898	5.9977168242022
Black or African American	Not Hispanic or Latino	20-24 years	Female	2005	98	1483098	6.60778991003966
Black or African American	Not Hispanic or Latino	20-24 years	Female	2006	106	1487479	7.12615102465312
Black or African American	Not Hispanic or Latino	20-24 years	Female	2007	92	1498025	6.14141953572203
Black or African American	Not Hispanic or Latino	20-24 years	Female	2008	108	1519892	7.10576804141347
Black or African American	Not Hispanic or Latino	20-24 years	Female	2009	104	1554094	6.692001899499
Black or African American	Not Hispanic or Latino	20-24 years	Female	2010	113	1587829	7.1166353555704
Black or African American	Not Hispanic or Latino	20-24 years	Female	2011	95	1671217	5.6844802320704
Black or African American	Not Hispanic or Latino	20-24 years	Female	2012	89	1731526	5.13997479679774
Black or African American	Not Hispanic or Latino	20-24 years	Female	2013	81	1770138	4.57591442023164
Black or African American	Not Hispanic or Latino	20-24 years	Female	2014	107	1785941	5.99123935225184
Black or African American	Not Hispanic or Latino	20-24 years	Female	2015	101	1762150	5.73163465085265
Black or African American	Not Hispanic or Latino	20-24 years	Female	2016	99	1714649	5.77377644054264
Black or African American	Not Hispanic or Latino	20-24 years	Female	2017	91	1677678	5.42416363569171
Black or African American	Not Hispanic or Latino	20-24 years	Female	2018	84	1643358	5.11148514200801
Black or African American	Not Hispanic or Latino	20-24 years	Female	2019	99	1615209	6.12923776427695
Black or African American	Not Hispanic or Latino	20-24 years	Female	2020	86	1610597	5.33963493040158
Black or African American	Not Hispanic or Latino	20-24 years	Female	2021	106	1607120	6.59564936034646
Black or African American	Not Hispanic or Latino	20-24 years	Female	2022	97	1686424	5.75181567624749
Black or African American	Not Hispanic or Latino	20-24 years	Male	2000	143	1288774	11.0958166443457
Black or African American	Not Hispanic or Latino	20-24 years	Male	2001	164	1354373	12.1089242033029
Black or African American	Not Hispanic or Latino	20-24 years	Male	2002	144	1397013	10.3077065138263
Black or African American	Not Hispanic or Latino	20-24 years	Male	2003	179	1426855	12.5450729050955
