Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	30-34 years	F	2386	9676243	24.658330717821
Black or African American	Not Hispanic or Latino	30-34 years	M	3296	8629446	38.1948041623993
Black or African American	Not Hispanic or Latino	35-39 years	F	4358	10218398	42.6485638942621
Black or African American	Not Hispanic or Latino	35-39 years	M	6335	9049287	70.0055153516515
Black or African American	Not Hispanic or Latino	40-44 years	F	8710	10340537	84.2316022852585
Black or African American	Not Hispanic or Latino	40-44 years	M	12019	9123463	131.737258100351
Black or African American	Not Hispanic or Latino	45-49 years	F	12932	9210609	140.403311007991
Black or African American	Not Hispanic or Latino	45-49 years	M	19633	8043151	244.095877349561
Black or African American	Not Hispanic or Latino	50-54 years	F	16749	7636550	219.326790239048
Black or African American	Not Hispanic or Latino	50-54 years	M	26863	6532343	411.230702368201
Black or African American	Not Hispanic or Latino	55-59 years	F	19009	5702838	333.325267173993
Black or African American	Not Hispanic or Latino	55-59 years	M	29832	4730008	630.696607701298
Black or African American	Not Hispanic or Latino	60-64 years	F	23272	4453084	522.604109870822
Black or African American	Not Hispanic or Latino	60-64 years	M	32747	3525140	928.956013094515
Black or African American	Not Hispanic or Latino	65-69 years	F	29685	3718906	798.218615904785
Black or African American	Not Hispanic or Latino	65-69 years	M	35781	2786073	1284.28077799828
Black or African American	Not Hispanic or Latino	70-74 years	F	38848	3113441	1247.75128226294
Black or African American	Not Hispanic or Latino	70-74 years	M	40121	2108189	1903.10261556246
Black or African American	Not Hispanic or Latino	75-79 years	F	51108	2499398	2044.81239082371
Black or African American	Not Hispanic or Latino	75-79 years	M	42369	1501977	2820.88207742196
Black or African American	Not Hispanic or Latino	80-84 years	F	55662	1704207	3266.15252724581
Black or African American	Not Hispanic or Latino	80-84 years	M	36525	869818	4199.15430584329
White	Not Hispanic or Latino	30-34 years	F	3627	45439511	7.98204012362721
White	Not Hispanic or Latino	30-34 years	M	6886	46078597	14.9440313905391
White	Not Hispanic or Latino	35-39 years	F	7681	51506257	14.9127512799076
White	Not Hispanic or Latino	35-39 years	M	15953	51758252	30.8221382746852
White	Not Hispanic or Latino	40-44 years	F	14917	56585763	26.3617546342885
White	Not Hispanic or Latino	40-44 years	M	35932	56429053	63.6764185994757
White	Not Hispanic or Latino	45-49 years	F	23523	54767272	42.9508338483611
White	Not Hispanic or Latino	45-49 years	M	62259	54187520	114.895459323475
White	Not Hispanic or Latino	50-54 years	F	35583	50150113	70.9529807041511
White	Not Hispanic or Latino	50-54 years	M	92988	49088689	189.428566731534
White	Not Hispanic or Latino	55-59 years	F	52413	42061184	124.611328107169
White	Not Hispanic or Latino	55-59 years	M	121627	40426612	300.85875116124
White	Not Hispanic or Latino	60-64 years	F	74901	33604952	222.886793589231
White	Not Hispanic or Latino	60-64 years	M	150885	31308616	481.92804178888
White	Not Hispanic or Latino	65-69 years	F	113710	28928441	393.073377165399
White	Not Hispanic or Latino	65-69 years	M	194731	25718224	757.171257237669
White	Not Hispanic or Latino	70-74 years	F	196523	27599305	712.057785513077
White	Not Hispanic or Latino	70-74 years	M	280716	22648385	1239.45261439171
White	Not Hispanic or Latino	75-79 years	F	341612	25545359	1337.27617607566
White	Not Hispanic or Latino	75-79 years	M	385527	18465862	2087.78230878147
White	Not Hispanic or Latino	80-84 years	F	519821	19737871	2633.62244083974
White	Not Hispanic or Latino	80-84 years	M	440105	12053862	3651.15346434197
