Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	50	6507984	0.768287076305043
Black or African American	Not Hispanic or Latino	20-24 years	M	66	6639711	0.994019167400509
Black or African American	Not Hispanic or Latino	25-29 years	F	95	6831904	1.39053476161258
Black or African American	Not Hispanic or Latino	25-29 years	M	86	6925840	1.2417266353251
Black or African American	Not Hispanic or Latino	30-34 years	F	227	6977294	3.2534102762475
Black or African American	Not Hispanic or Latino	30-34 years	M	261	6815817	3.82932816418046
Black or African American	Not Hispanic or Latino	35-39 years	F	395	6139306	6.43395198089165
Black or African American	Not Hispanic or Latino	35-39 years	M	463	5758314	8.04054797984271
Black or African American	Not Hispanic or Latino	40-44 years	F	697	5850780	11.9129415223269
Black or African American	Not Hispanic or Latino	40-44 years	M	842	5325992	15.8092614483837
Black or African American	Not Hispanic or Latino	45-49 years	F	1039	5411066	19.2013921101683
Black or African American	Not Hispanic or Latino	45-49 years	M	1274	4820100	26.4309869089853
Black or African American	Not Hispanic or Latino	50-54 years	F	1486	5522007	26.9105055462624
Black or African American	Not Hispanic or Latino	50-54 years	M	2019	4916431	41.0663751815087
Black or African American	Not Hispanic or Latino	55-59 years	F	2312	5594929	41.32313385925
Black or African American	Not Hispanic or Latino	55-59 years	M	3227	4882017	66.0997288620666
Black or African American	Not Hispanic or Latino	60-64 years	F	3498	5373090	65.1022037598477
Black or African American	Not Hispanic or Latino	60-64 years	M	4841	4546046	106.488143762734
Black or African American	Not Hispanic or Latino	65-69 years	F	4510	4491513	100.411598496988
Black or African American	Not Hispanic or Latino	65-69 years	M	5798	3539029	163.830248353433
Black or African American	Not Hispanic or Latino	70-74 years	F	5658	3428226	165.041627944015
Black or African American	Not Hispanic or Latino	70-74 years	M	6002	2498506	240.223557598021
Black or African American	Not Hispanic or Latino	75-79 years	F	6087	2204866	276.071198884649
Black or African American	Not Hispanic or Latino	75-79 years	M	5221	1480750	352.591592098599
Black or African American	Not Hispanic or Latino	80-84 years	F	6761	1421726	475.548734425621
Black or African American	Not Hispanic or Latino	80-84 years	M	4678	840523	556.558238144584
White	Not Hispanic or Latino	20-24 years	F	78	23160565	0.336779348863035
White	Not Hispanic or Latino	20-24 years	M	94	24344469	0.386124667578496
White	Not Hispanic or Latino	25-29 years	F	152	23914353	0.635601556939467
White	Not Hispanic or Latino	25-29 years	M	207	25031387	0.82696176604197
White	Not Hispanic or Latino	30-34 years	F	320	25402788	1.2597042497855
White	Not Hispanic or Latino	30-34 years	M	424	26072070	1.62626135937806
White	Not Hispanic or Latino	35-39 years	F	587	24944474	2.35322661043083
White	Not Hispanic or Latino	35-39 years	M	766	25542073	2.99897349757007
White	Not Hispanic or Latino	40-44 years	F	1026	23961515	4.28186615078387
White	Not Hispanic or Latino	40-44 years	M	1246	24537003	5.07804477995948
White	Not Hispanic or Latino	45-49 years	F	1736	22817839	7.60808243059301
White	Not Hispanic or Latino	45-49 years	M	2170	23256687	9.33064971807893
White	Not Hispanic or Latino	50-54 years	F	3067	25631386	11.9657984940807
White	Not Hispanic or Latino	50-54 years	M	4082	26018553	15.688804830922
White	Not Hispanic or Latino	55-59 years	F	5094	28282803	18.0109446719266
White	Not Hispanic or Latino	55-59 years	M	7218	27934894	25.8386518309323
White	Not Hispanic or Latino	60-64 years	F	8766	30180500	29.0452444459171
White	Not Hispanic or Latino	60-64 years	M	12023	29101987	41.3133302547348
White	Not Hispanic or Latino	65-69 years	F	13232	27999819	47.2574483427911
White	Not Hispanic or Latino	65-69 years	M	16797	26051775	64.4754532080828
White	Not Hispanic or Latino	70-74 years	F	21170	24135087	87.7146206268078
White	Not Hispanic or Latino	70-74 years	M	22866	21646222	105.635061859755
White	Not Hispanic or Latino	75-79 years	F	31091	17597508	176.678425149743
White	Not Hispanic or Latino	75-79 years	M	29361	14977342	196.036119092426
White	Not Hispanic or Latino	80-84 years	F	42073	11538481	364.63205165394
White	Not Hispanic or Latino	80-84 years	M	33468	8861350	377.685115699075
