Race	Hispanic Origin	Age_groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	Female	2000	14	1361689	1.02813491186313
Black or African American	Not Hispanic or Latino	20-24 years	Female	2001	26	1420272	1.83063525859835
Black or African American	Not Hispanic or Latino	20-24 years	Female	2002	13	1452733	0.894865057791074
Black or African American	Not Hispanic or Latino	20-24 years	Female	2003	25	1474407	1.69559694168571
Black or African American	Not Hispanic or Latino	20-24 years	Female	2004	13	1483898	0.87607099679358
Black or African American	Not Hispanic or Latino	20-24 years	Female	2005	16	1483098	1.07882284245545
Black or African American	Not Hispanic or Latino	20-24 years	Female	2006	16	1487479	1.07564543768349
Black or African American	Not Hispanic or Latino	20-24 years	Female	2007	10	1498025	0.667545601708917
Black or African American	Not Hispanic or Latino	20-24 years	Female	2008	14	1519892	0.921118079442487
Black or African American	Not Hispanic or Latino	20-24 years	Female	2009	13	1554094	0.836500237437375
Black or African American	Not Hispanic or Latino	20-24 years	Female	2010	17	1587829	1.07064425703272
Black or African American	Not Hispanic or Latino	20-24 years	Female	2011	10	1671217	0.598366340217937
Black or African American	Not Hispanic or Latino	20-24 years	Female	2012	12	1731526	0.693030309680594
Black or African American	Not Hispanic or Latino	20-24 years	Female	2013	5	1770138	0.282463853100719
Black or African American	Not Hispanic or Latino	20-24 years	Female	2014	16	1785941	0.895886258280649
Black or African American	Not Hispanic or Latino	20-24 years	Female	2015	15	1762150	0.851232868938513
Black or African American	Not Hispanic or Latino	20-24 years	Female	2016	10	1714649	0.583209741468954
Black or African American	Not Hispanic or Latino	20-24 years	Female	2017	15	1677678	0.89409290698215
Black or African American	Not Hispanic or Latino	20-24 years	Female	2018	13	1643358	0.791063176739335
Black or African American	Not Hispanic or Latino	20-24 years	Female	2019	4	1615209	0.247645970273816
Black or African American	Not Hispanic or Latino	20-24 years	Female	2020	11	1610597	0.682976560865319
Black or African American	Not Hispanic or Latino	20-24 years	Female	2021	13	1607120	0.808900393250037
Black or African American	Not Hispanic or Latino	20-24 years	Female	2022	13	1686424	0.770861894754818
Black or African American	Not Hispanic or Latino	20-24 years	Female	2023	13	1603843	0.810553152646487
Black or African American	Not Hispanic or Latino	20-24 years	Male	2000	15	1288774	1.16389685080549
Black or African American	Not Hispanic or Latino	20-24 years	Male	2001	12	1354373	0.886018844144117
Black or African American	Not Hispanic or Latino	20-24 years	Male	2002	12	1397013	0.858975542818857
Black or African American	Not Hispanic or Latino	20-24 years	Male	2003	12	1426855	0.841010474084613
Black or African American	Not Hispanic or Latino	20-24 years	Male	2004	17	1455519	1.16796826424114
Black or African American	Not Hispanic or Latino	20-24 years	Male	2005	16	1467280	1.09045308325609
Black or African American	Not Hispanic or Latino	20-24 years	Male	2006	15	1480574	1.01312058701558
Black or African American	Not Hispanic or Latino	20-24 years	Male	2007	19	1486497	1.27817277801435
Black or African American	Not Hispanic or Latino	20-24 years	Male	2008	17	1497956	1.13487979620229
Black or African American	Not Hispanic or Latino	20-24 years	Male	2009	12	1522604	0.788123504207266
Black or African American	Not Hispanic or Latino	20-24 years	Male	2010	5	1550237	0.32253132908065
Black or African American	Not Hispanic or Latino	20-24 years	Male	2011	12	1654175	0.725437151450119
Black or African American	Not Hispanic or Latino	20-24 years	Male	2012	17	1737366	0.978492729799018
Black or African American	Not Hispanic or Latino	20-24 years	Male	2013	11	1794159	0.61310062263155
Black or African American	Not Hispanic or Latino	20-24 years	Male	2014	20	1826372	1.09506716046895
Black or African American	Not Hispanic or Latino	20-24 years	Male	2015	14	1815640	0.771077966997863
Black or African American	Not Hispanic or Latino	20-24 years	Male	2016	10	1773358	0.56390193068743
Black or African American	Not Hispanic or Latino	20-24 years	Male	2017	9	1733291	0.519243450753509
Black or African American	Not Hispanic or Latino	20-24 years	Male	2018	11	1691428	0.650338057546641
Black or African American	Not Hispanic or Latino	20-24 years	Male	2019	10	1660340	0.602286278713998
Black or African American	Not Hispanic or Latino	20-24 years	Male	2020	11	1652385	0.665704421185135
Black or African American	Not Hispanic or Latino	20-24 years	Male	2021	17	1642560	1.03496980323398
Black or African American	Not Hispanic or Latino	20-24 years	Male	2022	21	1718441	1.2220378820105
Black or African American	Not Hispanic or Latino	20-24 years	Male	2023	17	1626325	1.04530152337325
Black or African American	Not Hispanic or Latino	25-29 years	Female	2000	23	1345107	1.70990114541074
Black or African American	Not Hispanic or Latino	25-29 years	Female	2001	24	1304639	1.83958934233914
Black or African American	Not Hispanic or Latino	25-29 years	Female	2002	30	1293736	2.31886567274931
Black or African American	Not Hispanic or Latino	25-29 years	Female	2003	21	1295263	1.62129235529773
Black or African American	Not Hispanic or Latino	25-29 years	Female	2004	37	1324683	2.79312107122987
Black or African American	Not Hispanic or Latino	25-29 years	Female	2005	28	1363164	2.05404485447092
Black or African American	Not Hispanic or Latino	25-29 years	Female	2006	23	1406128	1.63569746139754
Black or African American	Not Hispanic or Latino	25-29 years	Female	2007	24	1434645	1.67288771786749
Black or African American	Not Hispanic or Latino	25-29 years	Female	2008	31	1454865	2.13078189385269
Black or African American	Not Hispanic or Latino	25-29 years	Female	2009	22	1459525	1.50733971668865
Black or African American	Not Hispanic or Latino	25-29 years	Female	2010	22	1454543	1.51250255234806
Black or African American	Not Hispanic or Latino	25-29 years	Female	2011	17	1465672	1.15987751693421
Black or African American	Not Hispanic or Latino	25-29 years	Female	2012	21	1482708	1.41632742252689
Black or African American	Not Hispanic or Latino	25-29 years	Female	2013	16	1510526	1.05923367091993
Black or African American	Not Hispanic or Latino	25-29 years	Female	2014	30	1571068	1.90952905921322
Black or African American	Not Hispanic or Latino	25-29 years	Female	2015	24	1639497	1.46386361182729
Black or African American	Not Hispanic or Latino	25-29 years	Female	2016	21	1707945	1.22954778988785
Black or African American	Not Hispanic or Latino	25-29 years	Female	2017	32	1773228	1.80461846981888
Black or African American	Not Hispanic or Latino	25-29 years	Female	2018	25	1811064	1.38040400560113
Black or African American	Not Hispanic or Latino	25-29 years	Female	2019	24	1817908	1.32019882194258
Black or African American	Not Hispanic or Latino	25-29 years	Female	2020	27	1789798	1.50855012688583
