Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	92	11050062	0.83257451406155
Black or African American	Not Hispanic or Latino	20-24 years	M	97	10929409	0.887513679833923
Black or African American	Not Hispanic or Latino	25-29 years	F	160	10158086	1.57509987609871
Black or African American	Not Hispanic or Latino	25-29 years	M	161	9335122	1.72466947941334
Black or African American	Not Hispanic or Latino	30-34 years	F	312	9566672	3.26132222365312
Black or African American	Not Hispanic or Latino	30-34 years	M	342	8570746	3.99031776230447
Black or African American	Not Hispanic or Latino	35-39 years	F	626	9701843	6.45238229478667
Black or African American	Not Hispanic or Latino	35-39 years	M	740	8605616	8.59903579244066
Black or African American	Not Hispanic or Latino	40-44 years	F	1332	10057585	13.2437359465518
Black or African American	Not Hispanic or Latino	40-44 years	M	1323	8954276	14.7750638912627
Black or African American	Not Hispanic or Latino	45-49 years	F	2417	10339811	23.3756690523647
Black or African American	Not Hispanic or Latino	45-49 years	M	2548	9185839	27.7383481247603
Black or African American	Not Hispanic or Latino	50-54 years	F	3411	9687107	35.2117510418745
Black or African American	Not Hispanic or Latino	50-54 years	M	4114	8486455	48.4772499235547
Black or African American	Not Hispanic or Latino	55-59 years	F	3729	8148890	45.7608336840969
Black or African American	Not Hispanic or Latino	55-59 years	M	5231	6885704	75.9689931487035
Black or African American	Not Hispanic or Latino	60-64 years	F	4103	6151985	66.6939207426546
Black or African American	Not Hispanic or Latino	60-64 years	M	5239	4992332	104.94093742163
Black or African American	Not Hispanic or Latino	65-69 years	F	4503	4493494	100.211550299166
Black or African American	Not Hispanic or Latino	65-69 years	M	5449	3438593	158.465977218007
Black or African American	Not Hispanic or Latino	70-74 years	F	5770	3451939	167.152432299644
Black or African American	Not Hispanic or Latino	70-74 years	M	5823	2447118	237.953380262006
Black or African American	Not Hispanic or Latino	75-79 years	F	7698	2652820	290.181768834674
Black or African American	Not Hispanic or Latino	75-79 years	M	5975	1655142	360.996216638814
Black or African American	Not Hispanic or Latino	80-84 years	F	9438	1924283	490.468397839611
Black or African American	Not Hispanic or Latino	80-84 years	M	5599	1013701	552.332492519984
White	Not Hispanic or Latino	20-24 years	F	187	43961502	0.425372181323559
White	Not Hispanic or Latino	20-24 years	M	245	45419515	0.539415711506387
White	Not Hispanic or Latino	25-29 years	F	315	42996556	0.732616817030648
White	Not Hispanic or Latino	25-29 years	M	316	43487715	0.726641995331325
White	Not Hispanic or Latino	30-34 years	F	546	40500557	1.34812960720516
White	Not Hispanic or Latino	30-34 years	M	589	41187939	1.43003028143749
White	Not Hispanic or Latino	35-39 years	F	1022	43382242	2.35580263463562
White	Not Hispanic or Latino	35-39 years	M	1137	43852775	2.59276636427227
White	Not Hispanic or Latino	40-44 years	F	2184	48458553	4.50694431589817
White	Not Hispanic or Latino	40-44 years	M	2375	48599406	4.886891004388
White	Not Hispanic or Latino	45-49 years	F	4158	54602317	7.61506146341739
White	Not Hispanic or Latino	45-49 years	M	4770	54105170	8.81616303950251
White	Not Hispanic or Latino	50-54 years	F	6189	55541764	11.142966219078
White	Not Hispanic or Latino	50-54 years	M	7878	54413985	14.4778957100826
White	Not Hispanic or Latino	55-59 years	F	8234	51454895	16.002364789589
White	Not Hispanic or Latino	55-59 years	M	11168	49562426	22.5331988389753
White	Not Hispanic or Latino	60-64 years	F	12040	44375263	27.1322335599453
White	Not Hispanic or Latino	60-64 years	M	15306	41990687	36.4509397047969
White	Not Hispanic or Latino	65-69 years	F	16656	34604279	48.1327757182862
White	Not Hispanic or Latino	65-69 years	M	19856	31590281	62.8547748593942
White	Not Hispanic or Latino	70-74 years	F	26284	27266367	96.3971474454224
White	Not Hispanic or Latino	70-74 years	M	27041	23522947	114.955834402892
White	Not Hispanic or Latino	75-79 years	F	46837	23422782	199.963437306465
White	Not Hispanic or Latino	75-79 years	M	40362	18405785	219.289750477907
White	Not Hispanic or Latino	80-84 years	F	81462	20018796	406.927569470212
White	Not Hispanic or Latino	80-84 years	M	55374	13434174	412.187604537503
