Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	39	6507984	0.599263919517934
Black or African American	Not Hispanic or Latino	20-24 years	M	90	6639711	1.35548068281888
Black or African American	Not Hispanic or Latino	25-29 years	F	133	6831904	1.94674866625761
Black or African American	Not Hispanic or Latino	25-29 years	M	262	6925840	3.78293463319973
Black or African American	Not Hispanic or Latino	30-34 years	F	333	6977294	4.77262388542034
Black or African American	Not Hispanic or Latino	30-34 years	M	667	6815817	9.78606086401674
Black or African American	Not Hispanic or Latino	35-39 years	F	599	6139306	9.75680313051671
Black or African American	Not Hispanic or Latino	35-39 years	M	1279	5758314	22.2113625620277
Black or African American	Not Hispanic or Latino	40-44 years	F	1247	5850780	21.313397529902
Black or African American	Not Hispanic or Latino	40-44 years	M	2494	5325992	46.8269573067327
Black or African American	Not Hispanic or Latino	45-49 years	F	1848	5411066	34.1522354375275
Black or African American	Not Hispanic or Latino	45-49 years	M	3937	4820100	81.678803344329
Black or African American	Not Hispanic or Latino	50-54 years	F	3062	5522007	55.4508532857709
Black or African American	Not Hispanic or Latino	50-54 years	M	6691	4916431	136.094658910091
Black or African American	Not Hispanic or Latino	55-59 years	F	5184	5594929	92.6553312830243
Black or African American	Not Hispanic or Latino	55-59 years	M	10352	4882017	212.043505788693
Black or African American	Not Hispanic or Latino	60-64 years	F	7705	5373090	143.399794159413
Black or African American	Not Hispanic or Latino	60-64 years	M	15274	4546046	335.984281725262
Black or African American	Not Hispanic or Latino	65-69 years	F	9354	4491513	208.259443978009
Black or African American	Not Hispanic or Latino	65-69 years	M	16539	3539029	467.331575977479
Black or African American	Not Hispanic or Latino	70-74 years	F	10129	3428226	295.458934154283
Black or African American	Not Hispanic or Latino	70-74 years	M	15502	2498506	620.450781386957
Black or African American	Not Hispanic or Latino	75-79 years	F	9980	2204866	452.635216834039
Black or African American	Not Hispanic or Latino	75-79 years	M	11916	1480750	804.727334121222
Black or African American	Not Hispanic or Latino	80-84 years	F	9831	1421726	691.483450397615
Black or African American	Not Hispanic or Latino	80-84 years	M	9659	840523	1149.16546007664
White	Not Hispanic or Latino	20-24 years	F	53	23160565	0.228837249868473
White	Not Hispanic or Latino	20-24 years	M	138	24344469	0.566863873679069
White	Not Hispanic or Latino	25-29 years	F	159	23914353	0.664872681272205
White	Not Hispanic or Latino	25-29 years	M	460	25031387	1.8376928134266
White	Not Hispanic or Latino	30-34 years	F	377	25402788	1.48408906927854
White	Not Hispanic or Latino	30-34 years	M	1224	26072070	4.69467901858195
White	Not Hispanic or Latino	35-39 years	F	985	24944474	3.94877037695804
White	Not Hispanic or Latino	35-39 years	M	2827	25542073	11.0680131561757
White	Not Hispanic or Latino	40-44 years	F	2193	23961515	9.15217589538892
White	Not Hispanic or Latino	40-44 years	M	6204	24537003	25.2842614886586
White	Not Hispanic or Latino	45-49 years	F	4143	22817839	18.1568464919049
White	Not Hispanic or Latino	45-49 years	M	11610	23256687	49.9211259110122
White	Not Hispanic or Latino	50-54 years	F	7955	25631386	31.036167923186
White	Not Hispanic or Latino	50-54 years	M	23963	26018553	92.0996644202312
White	Not Hispanic or Latino	55-59 years	F	15171	28282803	53.6403693792302
White	Not Hispanic or Latino	55-59 years	M	41996	27934894	150.335276017156
White	Not Hispanic or Latino	60-64 years	F	25613	30180500	84.8660558970196
White	Not Hispanic or Latino	60-64 years	M	66331	29101987	227.926017560244
White	Not Hispanic or Latino	65-69 years	F	33979	27999819	121.354355897801
White	Not Hispanic or Latino	65-69 years	M	80977	26051775	310.831027828238
White	Not Hispanic or Latino	70-74 years	F	45661	24135087	189.189291093088
White	Not Hispanic or Latino	70-74 years	M	92767	21646222	428.55977361777
White	Not Hispanic or Latino	75-79 years	F	55395	17597508	314.788889426844
White	Not Hispanic or Latino	75-79 years	M	97823	14977342	653.139922958293
White	Not Hispanic or Latino	80-84 years	F	64865	11538481	562.162385152777
White	Not Hispanic or Latino	80-84 years	M	95708	8861350	1080.06116449525
